地区名,埠頭名,種別,今回計画水深(m),今回計画バース数,今回計画延長(m),今回計画対象船舶（DWT）,既定計画水深(m),既定計画バース数,既定計画延長(m),既定計画対象船舶（DWT）
内港地区,品川多目的,既設の変更計画,10,1,195,15000,-,-,-,-
南部地区,大井多目的,既定計画の変更計画,-,-,-,-,11,1,200,30000
南部地区,大井多目的,既設の変更計画,-,-,-,-,12,1,250,30000
南部地区,大井食品,既設,12,1,225,30000,12,1,225,30000
南部地区,大井食品,既設,11,2,380,15000,11,2,380,15000
中部地区,お台場ライナー,既設,10,9,1800,15000,10,9,1800,15000
東部地区,15号地木材,既設の廃止・既設の変更計画,12,1,240,30000,12,2,480,30000
中央防波堤地区,中央防波堤内側多目的,既定計画,12,1,240,30000,12,1,240,30000
中央防波堤地区,中央防波堤内側ばらもの,既設,12,1,240,30000,12,1,240,30000
