品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,移出(千トン),8,14,17,28,43,6,0,0,2,2,2,4,1
農水産品米穀類,移入(千トン),17,17,14,40,19,21,33,26,18,30,77,62,30
農水産品米穀類,計(千トン),25,31,31,68,61,27,33,26,20,32,79,66,31
農水産品野菜・果物,移出(千トン),36,15,17,28,23,11,8,14,12,11,9,10,11
農水産品野菜・果物,移入(千トン),15,16,17,27,17,8,6,7,6,6,5,5,6
農水産品野菜・果物,計(千トン),51,30,34,56,40,19,13,21,17,17,15,15,18
農水産品水産品,移出(千トン),,1,4,6,7,3,0,0,7,7,7,7,3
農水産品水産品,移入(千トン),17,4,10,9,10,11,7,24,17,20,21,18,16
農水産品水産品,計(千トン),17,5,14,15,17,15,7,24,24,27,28,25,19
農水産品その他,移出(千トン),34,32,23,28,8,0,0,29,7,7,7,7,6
農水産品その他,移入(千トン),24,20,26,34,17,5,0,0,0,0,0,0,0
農水産品その他,計(千トン),57,51,48,62,26,6,0,29,7,7,7,7,6
林産品原木,移出(千トン),0,0,0,,0,0,0,1,,,,,
林産品原木,移入(千トン),2,3,2,1,2,5,3,3,1,4,0,,3
林産品原木,計(千トン),3,3,2,1,2,5,3,4,1,4,0,,3
林産品製材,移出(千トン),4,2,2,7,3,2,2,24,21,20,27,28,18
林産品製材,移入(千トン),0,0,0,1,1,0,0,2,2,4,5,5,4
林産品製材,計(千トン),4,2,3,8,4,3,2,27,24,24,32,33,22
林産品その他,移出(千トン),2,1,3,0,0,2,3,3,3,2,2,2,3
林産品その他,移入(千トン),1,1,3,4,3,2,1,1,5,2,1,2,1
林産品その他,計(千トン),4,1,5,4,3,4,4,4,8,3,3,4,4
鉱産品石炭,移出(千トン),,,0,1,,1,,3,1,,2,,
鉱産品石炭,移入(千トン),1,3,4,5,6,3,3,,,1,5,,1
鉱産品石炭,計(千トン),1,3,4,6,6,4,3,3,1,1,6,,1
鉱産品砂利・砂,移出(千トン),99,77,31,5,27,15,22,35,21,8,58,13,14
鉱産品砂利・砂,移入(千トン),1571,1744,1952,1835,2235,2101,2209,1744,1370,1426,1284,1069,2234
鉱産品砂利・砂,計(千トン),1670,1821,1983,1840,2262,2116,2231,1780,1390,1433,1342,1083,2248
鉱産品原油,移出(千トン),,,,,,,,,,,,,
鉱産品原油,移入(千トン),2,1,,,,,,,,,,,
鉱産品原油,計(千トン),2,1,,,,,,,,,,,
鉱産品その他,移出(千トン),2,15,22,19,6,0,1,1,,44,67,24,44
鉱産品その他,移入(千トン),31,75,171,71,79,27,76,90,63,56,6,77,61
鉱産品その他,計(千トン),32,90,193,91,86,27,76,91,63,100,74,101,105
金属機械工業品鉄鋼,移出(千トン),49,69,72,198,56,56,48,33,22,40,48,37,42
金属機械工業品鉄鋼,移入(千トン),363,270,302,356,326,330,292,358,253,255,351,343,298
金属機械工業品鉄鋼,計(千トン),412,340,375,554,382,386,340,392,275,295,400,380,339
金属機械工業品非鉄金属金属類,移出(千トン),6,5,15,9,9,32,56,61,23,26,24,20,38
金属機械工業品非鉄金属金属類,移入(千トン),83,70,55,70,73,32,68,73,61,65,79,56,59
金属機械工業品非鉄金属金属類,計(千トン),90,75,69,79,82,65,123,134,84,92,103,76,97
金属機械工業品輸送機械(フェリー除),移出(千トン),203,168,176,175,142,76,89,104,79,54,62,69,74
金属機械工業品輸送機械(フェリー除),移入(千トン),55,92,70,49,57,50,95,123,54,29,23,24,45
金属機械工業品輸送機械(フェリー除),計(千トン),258,259,246,224,199,127,184,226,134,82,85,93,119
金属機械工業品その他,移出(千トン),3,7,17,12,14,9,9,10,10,14,50,54,8
金属機械工業品その他,移入(千トン),1,3,11,9,14,40,5,13,4,6,13,9,5
金属機械工業品その他,計(千トン),5,10,28,20,27,48,14,22,14,20,62,63,12
化学工業品石油類,移出(千トン),28,46,34,29,27,23,22,10,23,18,18,18,19
化学工業品石油類,移入(千トン),5,11,7,4,1,1,2,0,0,1,4,6,1
化学工業品石油類,計(千トン),33,57,41,33,29,23,24,10,23,19,22,24,20
化学工業品セメント,移出(千トン),34,31,15,38,42,44,22,52,51,50,50,50,44
化学工業品セメント,移入(千トン),2348,1194,965,777,722,739,627,591,587,600,587,585,599
化学工業品セメント,計(千トン),2382,1225,981,815,764,784,648,643,638,649,637,635,643
化学工業品その他,移出(千トン),26,40,39,28,24,19,16,21,22,18,20,19,19
化学工業品その他,移入(千トン),91,64,70,62,84,150,70,91,74,91,62,63,77
化学工業品その他,計(千トン),117,105,109,90,108,169,87,111,95,109,82,81,96
軽工業品紙・パルプ,移出(千トン),8,12,6,4,9,18,11,12,11,9,6,6,3
軽工業品紙・パルプ,移入(千トン),741,651,602,521,565,455,501,467,362,389,386,346,257
軽工業品紙・パルプ,計(千トン),748,663,608,524,574,474,512,479,373,398,393,352,260
軽工業品砂糖,移出(千トン),0,1,0,,0,0,0,,,,0,,
軽工業品砂糖,移入(千トン),33,15,3,3,3,0,1,0,,,,,
軽工業品砂糖,計(千トン),33,16,3,3,3,0,1,0,,,0,,
軽工業品その他,移出(千トン),35,51,64,67,52,48,29,40,23,24,20,17,32
軽工業品その他,移入(千トン),150,163,68,151,148,125,113,114,109,113,158,167,28
軽工業品その他,計(千トン),185,214,132,219,199,173,142,153,131,137,178,184,60
雑工業品,移出(千トン),28,37,65,53,66,70,77,49,40,36,33,32,44
雑工業品,移入(千トン),5,27,37,54,21,72,71,74,38,13,9,8,24
雑工業品,計(千トン),33,64,101,107,87,142,147,122,78,50,43,39,67
特殊品金属くず,移出(千トン),163,221,140,68,25,19,26,6,14,22,5,2,21
特殊品金属くず,移入(千トン),9,5,10,10,9,26,17,12,11,15,18,15,16
特殊品金属くず,計(千トン),172,226,149,78,35,44,43,18,25,37,23,16,37
特殊品廃棄物(廃土砂),移出(千トン),382,1041,1056,1065,1315,1543,1993,1813,1060,1694,1890,2001,1990
特殊品廃棄物(廃土砂),移入(千トン),6,2,3,57,9,9,6,9,73,5,4,4,20
特殊品廃棄物(廃土砂),計(千トン),388,1043,1059,1122,1323,1552,1999,1822,1133,1699,1895,2005,2010
特殊物取寄せ品,移出(千トン),440,373,329,306,279,144,115,144,120,115,139,143,
特殊物取寄せ品,移入(千トン),184,157,115,81,45,37,30,43,41,42,45,43,
特殊物取寄せ品,計(千トン),624,529,443,387,324,181,145,187,161,157,184,186,
特殊品その他,移出(千トン),42,26,56,19,20,32,16,8,15,17,19,11,9
特殊品その他,移入(千トン),13,22,21,28,36,38,31,49,41,39,46,46,27
特殊品その他,計(千トン),56,48,77,46,56,70,47,57,56,56,65,58,36
分別不能のもの,移出(千トン),,,,,,,,,,,,,
分別不能のもの,移入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
フェリー,移出(千トン),,,,,,,,,,,,,
フェリー,移入(千トン),,,,,,,,,,,,,
フェリー,計(千トン),,,,,,,,,,,,,
合計(ベース貨物),移出(千トン),1633,2283,2203,2194,2199,2174,2563,2473,1587,2238,2568,2575,2443
合計(ベース貨物),移入(千トン),5768,4629,4537,4260,4503,4288,4265,3914,3190,3209,3191,2954,3810
合計(ベース貨物),計(千トン),7401,6912,6740,6455,6701,6462,6828,6387,4776,5446,5759,5528,6254
合計（同、フェリー除く）,移出(千トン),1633,2283,2203,2194,2199,2174,2563,2473,1587,2238,2568,2575,2443
合計（同、フェリー除く）,移入(千トン),5768,4629,4537,4260,4503,4288,4265,3914,3190,3209,3191,2954,3810
合計（同、フェリー除く）,計(千トン),7401,6912,6740,6455,6701,6462,6828,6387,4776,5446,5759,5528,6254
品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値H30代後半
農水産品米穀類,移出(千トン),42,39,39,90,94,57,57,46,44,36,49,43,41
農水産品米穀類,移入(千トン),68,56,32,90,57,45,60,46,29,45,92,77,45
農水産品米穀類,計(千トン),109,95,71,180,151,102,118,93,73,82,141,120,87
農水産品野菜・果物,移出(千トン),44,24,23,36,40,40,48,35,46,43,36,50,63
農水産品野菜・果物,移入(千トン),30,39,41,66,54,64,62,56,51,48,50,44,59
農水産品野菜・果物,計(千トン),74,63,63,103,94,104,110,91,97,91,86,94,122
農水産品水産品,移出(千トン),18,11,16,23,40,38,32,14,24,28,26,34,28
農水産品水産品,移入(千トン),22,7,14,22,30,44,33,37,30,38,33,33,49
農水産品水産品,計(千トン),40,18,30,45,70,82,66,51,54,66,59,67,76
農水産品その他,移出(千トン),53,39,29,37,20,8,12,42,32,41,27,36,114
農水産品その他,移入(千トン),44,34,35,43,27,20,15,14,17,17,20,18,17
農水産品その他,計(千トン),97,73,64,80,47,29,27,56,50,59,47,54,130
林産品原木,移出(千トン),0,3,1,1,1,0,0,5,,0,0,0,0
林産品原木,移入(千トン),3,3,2,2,2,5,3,3,1,4,0,,3
林産品原木,計(千トン),3,6,3,3,3,5,3,8,1,4,0,0,3
林産品製材,移出(千トン),56,74,56,65,54,13,27,41,43,34,43,62,56
林産品製材,移入(千トン),5,4,6,10,15,14,11,16,11,14,21,13,15
林産品製材,計(千トン),61,79,62,75,69,28,38,57,54,47,63,75,71
林産品その他,移出(千トン),10,24,20,18,14,11,15,15,16,16,18,18,17
林産品その他,移入(千トン),12,20,27,33,44,38,15,7,9,7,9,14,7
林産品その他,計(千トン),22,44,47,51,59,49,30,22,26,23,28,31,23
鉱産品石炭,移出(千トン),0,0,0,1,0,1,0,3,1,0,3,2,2
鉱産品石炭,移入(千トン),1,3,4,5,6,4,3,,,1,5,0,2
鉱産品石炭,計(千トン),1,3,4,6,6,5,3,3,1,2,8,2,4
鉱産品砂利・砂,移出(千トン),103,81,36,12,36,21,28,43,26,14,65,21,26
鉱産品砂利・砂,移入(千トン),1574,1746,1956,1836,2238,2108,2212,1748,1371,1426,1286,1070,2238
