名称,幅員（m）,水深（m）,位置,港則法の航路
第一航路,600～700,15.0～16.0,中央防波堤西側中央防波堤西側,"東京西航路延長7,200m幅員600～700m"
第二航路,300,12,中央防波堤北側第1と第3を結ぶ,
第三航路,300～550,12,中央防波堤東側,"東京東航路延長1,500m幅員300～550m"
