運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
COSCO,上海/東京/横浜/上海,１隻７日ラウンド（月、ウィークリー）,YONGDINGHE,764,12668,中防内側外貿雑貨
COSCO［Sinotans］,上海/東京/名古屋/上海,１隻７日ラウンド（金、ウィークリー）,COSCOSAKURA,542,9287,中防内側外貿雑貨
COSCO［HASCO/Sinotans/SITC］,上海/東京/横浜/上海,１隻７日ラウンド（金、ウィークリー）,ZIYAHE,764,12714,中防内側外貿雑貨
COSCO［HASCO/S.T.Lines/GoTo/Sinotrans］,寧波/上海/東京/横浜/寧波/巣安杯/東京/横浜/名古屋/寧波,３隻２１日ラウンド（月、金、ウィークリー）,CSCLYOKOHAMA,908,12550,青海公共
COSCO［HASCO/S.T.Lines/GoTo/Sinotrans］,寧波/上海/東京/横浜/寧波/巣安杯/東京/横浜/名古屋/寧波,３隻２１日ラウンド（月、金、ウィークリー）,CSCLTOKYO,908,12550,青海公共
COSCO［HASCO/S.T.Lines/GoTo/Sinotrans］,寧波/上海/東京/横浜/寧波/巣安杯/東京/横浜/名古屋/寧波,３隻２１日ラウンド（月、金、ウィークリー）,CSCLNAGOYA,908,12562,青海公共
GoTo［CSCL/T.S.Lines/Winland］,青島/東京/横浜/青島,１隻７日ラウンド（火/水、ウィークリー）,GLORYOCEAN,1118,13702,青海A3
GoTo［CSCL］,大連/大阪/神戸/東京/横浜/名古屋/新港/大連,２隻14日ラウンド（金、ウィークリー）,CONTIESPERANCE,2758,34927,青海A3
GoTo［CSCL］,大連/大阪/神戸/東京/横浜/名古屋/新港/大連,２隻14日ラウンド（金、ウィークリー）,CONTIBRISBANE,2754,34894,青海A3
HASCO［COSCO/GoldStar/SITC］,上海/東京/横浜/上海,1隻7日ラウンド（水、ウィークリー）,GLORYFORTUNE,1098,13979,青海公共
JiZhou,福州/水島/大阪/横浜/東京/名古屋/厦門/福州,２隻14日ラウンド（木、ウィークリー）,JIPENG,571,7835,青海公共
JiZhou,福州/水島/大阪/横浜/東京/名古屋/厦門/福州,２隻14日ラウンド（木、ウィークリー）,JIHONG,550,7485,青海公共
JJSCO,上海/東京/横浜/上海,1隻７日ラウンド（月、ウィークリー）,JJSKY,1080,13769,青海公共
JJSCO,上海/東京/横浜/上海,１隻７日ラウンド（木、ウィークリー）,JJSTAR,1080,13793,品川公共
NingboOcean［COSCO/SITC］,寧波/名古屋/東京/寧波,１隻７日ラウンド（火、ウィークリー）,NEWMINGZHOU,1100,12599,大井O1/2
ShanghaPuhai［CCL/GoTo］,上海/東京/横浜/上海,１隻７日ラウンド（水、ウィークリー）,CONMARDELTA,735,7957,青海公共
Sinotrans［CCL/Sinokor/Winland］,青島/大阪/神戸/青島/東京/横浜/青島,２隻14日ラウンド（火、ウィークリー）,REFLECTION,915,11229,品川公共
Sinotrans［CCL/Sinokor/Winland］,青島/大阪/神戸/青島/東京/横浜/青島,２隻14日ラウンド（火、ウィークリー）,SINOTRANSNAGOYA,915,11179,品川公共
Sinotrans［COSCO/Winland］,大連/東京/横浜/名古屋/営口/新港/煙台/大連,2隻14日ラウンド（金、ウィークリー）,NORTHERNVALENCE,2742,37921,大井O5
Sinotrans［COSCO/Winland］,大連/東京/横浜/名古屋/営口/新港/煙台/大連,2隻14日ラウンド（金、ウィークリー）,CAPEMOLLINI,2742,37882,大井O5
Sinotrans［SITC/YangMing/Sinokor］,上海/東京/横浜/上海,1隻７日ラウンド（日、ウィークリー）,SINOTRANSXIAMEN,931,12550,大井O5
Sinotrans,南通/大阪/神戸/名古屋/横浜/東京/南京/張家港/南通,2隻14日ラウンド（金、ウィークリー）,YISHENG,385,6816,品川公共/大井O5
Sinotrans,南通/大阪/神戸/名古屋/横浜/東京/南京/張家港/南通,2隻14日ラウンド（金、ウィークリー）,TRADEHOPE,385,6810,品川公共/大井O5
SITC［QingdaoMarine/Sinotrans］,青島/東京/川崎/横浜/名古屋/釜山/新港/秦皇島/新港/大連/名古屋/四日市/東京/横浜/新港/煙台/威海/大連/大阪/神戸/東京/横浜/連雲港/青島,5日35日ラウンド（水/木、木/金、火/水、ウィークリー）,JOSCOVIEW,1049,12830,大井O1/2
SITC［QingdaoMarine/Sinotrans］,青島/東京/川崎/横浜/名古屋/釜山/新港/秦皇島/新港/大連/名古屋/四日市/東京/横浜/新港/煙台/威海/大連/大阪/神戸/東京/横浜/連雲港/青島,5日35日ラウンド（水/木、木/金、火/水、ウィークリー）,SITCSHIMIZU,1042,11694,大井O1/2
SITC［QingdaoMarine/Sinotrans］,青島/東京/川崎/横浜/名古屋/釜山/新港/秦皇島/新港/大連/名古屋/四日市/東京/横浜/新港/煙台/威海/大連/大阪/神戸/東京/横浜/連雲港/青島,5日35日ラウンド（水/木、木/金、火/水、ウィークリー）,JOSCOSTAR,1043,12820,大井O1/2
SITC［QingdaoMarine/Sinotrans］,青島/東京/川崎/横浜/名古屋/釜山/新港/秦皇島/新港/大連/名古屋/四日市/東京/横浜/新港/煙台/威海/大連/大阪/神戸/東京/横浜/連雲港/青島,5日35日ラウンド（水/木、木/金、火/水、ウィークリー）,SITCYANTAI,1042,12692,大井O1/2
SITC［QingdaoMarine/Sinotrans］,青島/東京/川崎/横浜/名古屋/釜山/新港/秦皇島/新港/大連/名古屋/四日市/東京/横浜/新港/煙台/威海/大連/大阪/神戸/東京/横浜/連雲港/青島,5日35日ラウンド（水/木、木/金、火/水、ウィークリー）,SITCBUSAN,1040,13009,大井O1/2
