品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,移出(千トン),2,1,0,2,1,2,2,1,3,2,8,3,7
農水産品米穀類,移入(千トン),,,,,,,,,0,0,0,0,0
農水産品米穀類,計(千トン),2,1,0,2,1,2,2,1,3,2,9,3,7
農水産品野菜・果物,移出(千トン),2,0,1,4,12,16,18,7,15,10,7,18,34
農水産品野菜・果物,移入(千トン),,,01,9,11,17,13,4,5,3,4,4,11
農水産品野菜・果物,計(千トン),2,0,,13,23,33,31,11,20,14,10,22,45
農水産品水産品,移出(千トン),6,3,2,6,23,25,27,8,10,5,3,11,15
農水産品水産品,移入(千トン),07,03,1,10,18,30,22,7,8,8,6,6,27
農水産品水産品,計(千トン),,,4,15,40,55,49,15,18,13,9,17,43
農水産品その他,移出(千トン),1,0,0,4,8,4,7,10,22,31,17,25,101
農水産品その他,移入(千トン),,1,1,1,1,,,,1,031,3,026,0101
農水産品その他,計(千トン),1,1,1,5,9,4,7,10,23,,20,,
林産品原木,移出(千トン),0,2,1,1,1,,,4,,,,0,
林産品原木,移入(千トン),,,,,,,,,,,,,
林産品原木,計(千トン),0,2,1,1,1,,,4,,,,0,
林産品製材,移出(千トン),49,69,49,51,45,4,18,8,12,11,13,31,35
林産品製材,移入(千トン),2,,,,,,,,0,1,4,,2
林産品製材,計(千トン),51,69,49,51,45,4,18,8,12,11,17,31,36
林産品その他,移出(千トン),2,,,,,,1,0,0,0,0,0,0
林産品その他,移入(千トン),,,,,,,,,,,0,,
林産品その他,計(千トン),2,,,,,,1,0,0,0,0,0,0
鉱産品石炭,移出(千トン),,,,,,,,0,1,0,1,2,1
鉱産品石炭,移入(千トン),,,,,,,,,,0,0,,1
鉱産品石炭,計(千トン),,,,,,,,0,1,1,1,2,2
鉱産品砂利・砂,移出(千トン),,,,,,,,2,0,0,0,0,0
鉱産品砂利・砂,移入(千トン),,,,,,,,,,,0,,
鉱産品砂利・砂,計(千トン),,,,,,,,2,0,0,0,0,0
鉱産品原油,移出(千トン),,,,,,,,,,,,0,
鉱産品原油,移入(千トン),,,,,,,,,,,,,
鉱産品原油,計(千トン),,,,,,,,,,,,0,
鉱産品その他,移出(千トン),,,0,,,,,2,9,9,1,7,29
鉱産品その他,移入(千トン),,,,0,,,,,,,1,,0
鉱産品その他,計(千トン),,,0,0,,,,2,9,9,3,7,29
金属機械工業品鉄鋼,移出(千トン),,,,,,,,0,0,0,0,0,0
金属機械工業品鉄鋼,移入(千トン),,,,,,,,1,1,1,2,1,3
金属機械工業品鉄鋼,計(千トン),,,,,,,,1,1,1,2,1,4
金属機械工業品非鉄金属金属類,移出(千トン),0,0,0,0,,0,0,5,5,6,2,4,20
金属機械工業品非鉄金属金属類,移入(千トン),,,,,,,,1,2,1,2,1,2
