運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
CKLine/TaiYoung［KMTC/PanCon］,釜山/清水/東京/横浜/名古屋/和歌山/釜山/仁川/木浦/釜山/横浜/東京/千葉/釜山/仁川/釜山,3隻21日ラウンド（月、金、ウィークリー）,SUZANNE,841,10747,品川公共
CKLine/TaiYoung［KMTC/PanCon］,釜山/清水/東京/横浜/名古屋/和歌山/釜山/仁川/木浦/釜山/横浜/東京/千葉/釜山/仁川/釜山,3隻21日ラウンド（月、金、ウィークリー）,OSGADMIRAL,639,9676,品川公共
CKLine/TaiYoung［KMTC/PanCon］,釜山/清水/東京/横浜/名古屋/和歌山/釜山/仁川/木浦/釜山/横浜/東京/千葉/釜山/仁川/釜山,3隻21日ラウンド（月、金、ウィークリー）,HUNZETRADER,704,8509,品川公共
DongYoung［Dongjin/Heung-A/NamSung］,釜山/蔚山/横浜/東京/名古屋/和歌山/蔚山/釜山/光陽/仁川/大連/釜山,2隻14日ラウンド（火、ウィークリー）,PEGASUSPACER,708,9618,品川公共
DongYoung［Dongjin/Heung-A/NamSung］,釜山/蔚山/横浜/東京/名古屋/和歌山/蔚山/釜山/光陽/仁川/大連/釜山,2隻14日ラウンド（火、ウィークリー）,PEGASUSPRIME,708,9618,品川公共
Dongkjin［DongYoung/Heung-A］,釜山/東京/横浜/名古屋/釜山,1隻7日ラウンド（金、ウィークリー）,O.M.AESTATIS,660,8524,品川公共
Hanjin,東京/横浜/名古屋/釜山/光陽/東京,1隻7日ラウンド（水/木、ウィークリー）,MEDAEGEAN,980,11968,青海A3
Heung-A［Dongjin/DongYoung］,釜山/東京/横浜/名古屋/豊橋/釜山,1隻7日ラウンド（月、ウィークリー）,DSBLUEWAVE,698,8166,品川公共
KMTC［CKLine/PanCon/TaiYoung］,釜山/東京/千葉/横浜/名古屋/蔚山/釜山,1隻7日ラウンド（火、ウィークリー）,STADTRAVENSBURG,698,8184,品川公共
NamSung［Sinokor/STXPanOcean］,釜山/東京/川崎/横浜/名古屋/釜山,1隻7日ラウンド（水、ウィークリー）,VICTORYSTAR,706,9157,品川公共
PanCon［CKLine/Heung-A/KMTC/NamSung/TaiYoung］,釜山/清水/東京/豊橋/四日市/名古屋/蔚山/釜山,1隻7日ラウンド（水、ウィークリー）,PANCONGROLY,1060,11898,品川公共
Sinokor［NamSung/STXPanOcean］,釜山/東京/横浜/名古屋/光陽/釜山,1隻7日ラウンド（月、ウィークリー）,HAMILTONSTRAIT,834,10974,品川公共
STXPanOcean［Dongjin/NamSung/Sinokor］,青島/光陽/馬山/釜山/横浜/東京/清水/3名古屋/四日市/釜山/光陽/連雲港/青島,2隻14日ラウンド（火、ウィークリー）,STXTOKYO,702,10299,品川公共
STXPanOcean［Dongjin/NamSung/Sinokor］,青島/光陽/馬山/釜山/横浜/東京/清水/3名古屋/四日市/釜山/光陽/連雲港/青島,2隻14日ラウンド（火、ウィークリー）,STXYOKOHOMA,702,10298,品川公共
