外内別,種別,基準年H22,推計値H30代後半,増減量H22～H37
外貿,コンテナ計（千TEU),3817,5601,1784
外貿,コンテナ計輸出（千TEU),1739,2518,779
外貿,コンテナ計輸入（千TEU),2078,3083,1005
内貿,コンテナ計（千TEU),306,536,230
内貿,コンテナ計移出（千TEU),245,344,99
内貿,コンテナ計移入（千TEU),61,192,131
合計,合計,4123,6137,2014
