運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
川崎汽船/日本郵船[HanjinSamudera],大坂/名古屋/清水/東京/横浜/御前崎/シンガポール/ジャカルタ/シンガポール/マニラ/大阪,4隻28日ラウンド(土/日、ウィークリー）,NYKPAULA,2664,34532,大井O6/7
川崎汽船/日本郵船[HanjinSamudera],大坂/名古屋/清水/東京/横浜/御前崎/シンガポール/ジャカルタ/シンガポール/マニラ/大阪,4隻28日ラウンド(土/日、ウィークリー）,NYKDANIELLA,2846,34536,大井O6/7
川崎汽船/日本郵船[HanjinSamudera],大坂/名古屋/清水/東京/横浜/御前崎/シンガポール/ジャカルタ/シンガポール/マニラ/大阪,4隻28日ラウンド(土/日、ウィークリー）,ARICABRIDGE,2450,32997,大井O1/2
川崎汽船/日本郵船[HanjinSamudera],大坂/名古屋/清水/東京/横浜/御前崎/シンガポール/ジャカルタ/シンガポール/マニラ/大阪,4隻28日ラウンド(土/日、ウィークリー）,LOSANDESBRIDGE,2450,33003,大井O1/2
川崎汽船/SITC,東京/横浜/ひたちなか/上海/寧波/ホーチミンシティー/バンコク/レムチャバン//北マニラ/上海/東京,4隻28日ラウンド(月、ウィークリー）,CAPEFALCON,1221,16421,大井O1/2
川崎汽船/SITC,東京/横浜/ひたちなか/上海/寧波/ホーチミンシティー/バンコク/レムチャバン//北マニラ/上海/東京,4隻28日ラウンド(月、ウィークリー）,ASIANGYRO,1098,18069,大井O1/2
川崎汽船/SITC,東京/横浜/ひたちなか/上海/寧波/ホーチミンシティー/バンコク/レムチャバン//北マニラ/上海/東京,4隻28日ラウンド(月、ウィークリー）,CAPEFRASER,1221,16403,大井O1/2
川崎汽船/SITC,東京/横浜/ひたちなか/上海/寧波/ホーチミンシティー/バンコク/レムチャバン//北マニラ/上海/東京,4隻28日ラウンド(月、ウィークリー）,SITCHAKATA,1098,18069,大井O1/2
MCCTranspot/OOCL[Evergreen/GoldStar],東京/横浜/名古屋/高雄/香港/塩田/タンジュンペラパス/シンガポール/ジャカルタ/タンジュンペラパス/シンガポール/レムチャバン/香港/厦門/東京,5隻35日ラウンド(水/木、ウィークリー）,SFLTIGER,2824,39266,大井O3/4
MCCTranspot/OOCL[Evergreen/GoldStar],東京/横浜/名古屋/高雄/香港/塩田/タンジュンペラパス/シンガポール/ジャカルタ/タンジュンペラパス/シンガポール/レムチャバン/香港/厦門/東京,5隻35日ラウンド(水/木、ウィークリー）,HEIKEP,2732,39128,大井O3/4
MCCTranspot/OOCL[Evergreen/GoldStar],東京/横浜/名古屋/高雄/香港/塩田/タンジュンペラパス/シンガポール/ジャカルタ/タンジュンペラパス/シンガポール/レムチャバン/香港/厦門/東京,5隻35日ラウンド(水/木、ウィークリー）,SATTHABHUM,2732,38948,大井O3/4
MCCTranspot/OOCL[Evergreen/GoldStar],東京/横浜/名古屋/高雄/香港/塩田/タンジュンペラパス/シンガポール/ジャカルタ/タンジュンペラパス/シンガポール/レムチャバン/香港/厦門/東京,5隻35日ラウンド(水/木、ウィークリー）,LIWIAP,2732,39128,大井O3/4
MCCTranspot/OOCL[Evergreen/GoldStar],東京/横浜/名古屋/高雄/香港/塩田/タンジュンペラパス/シンガポール/ジャカルタ/タンジュンペラパス/シンガポール/レムチャバン/香港/厦門/東京,5隻35日ラウンド(水/木、ウィークリー）,SFLHAWK,2824,39418,大井O3/4
商船三井[HapagLioyd/インターエイシアライン/OOCL/RCL/WanHai],東京/横浜/名古屋/神戸/香港/シンガポール/ポートケラン/シンガポール/大鐘湾/香港/東京,3隻21日ラウンド（月/火、ウィークリー）,MOLEMISSARY,5041,67000,大井O3/4
商船三井[HapagLioyd/インターエイシアライン/OOCL/RCL/WanHai],東京/横浜/名古屋/神戸/香港/シンガポール/ポートケラン/シンガポール/大鐘湾/香港/東京,3隻21日ラウンド（月/火、ウィークリー）,MOLEMPIRE,5041,67000,大井O3/4
商船三井[HapagLioyd/インターエイシアライン/OOCL/RCL/WanHai],東京/横浜/名古屋/神戸/香港/シンガポール/ポートケラン/シンガポール/大鐘湾/香港/東京,3隻21日ラウンド（月/火、ウィークリー）,MOLEMERALD,5041,67518,大井O3/4
商船三井[インターエイシアライン/WanHai],大坂/四日市/横浜/東京/香港/シンガポール/ポートケラン/ジャカルタ/ポートケラン/シンガポールカイメップ/香港/大阪,4隻28日ラウンド(木/金、ウィークリー),MOLDAWN,4252,52146,大井O3/4
商船三井[インターエイシアライン/WanHai],大坂/四日市/横浜/東京/香港/シンガポール/ポートケラン/ジャカルタ/ポートケラン/シンガポールカイメップ/香港/大阪,4隻28日ラウンド(木/金、ウィークリー),MOLDAYLIGHT,4252,52146,大井O3/4
商船三井[インターエイシアライン/WanHai],大坂/四日市/横浜/東京/香港/シンガポール/ポートケラン/ジャカルタ/ポートケラン/シンガポールカイメップ/香港/大阪,4隻28日ラウンド(木/金、ウィークリー),MOLDEDICATION,4250,50596,大井O3/4
商船三井[インターエイシアライン/WanHai],大坂/四日市/横浜/東京/香港/シンガポール/ポートケラン/ジャカルタ/ポートケラン/シンガポールカイメップ/香港/大阪,4隻28日ラウンド(木/金、ウィークリー),MOLDOMINANCE,4250,50595,大井O3/4
商船三井[ChengLie/Evergreen/Heung-A],東京/横浜/清水/四日市/名古屋/釜山/レムチャバン/マニラ/東京,3隻21日ラウンド（土/日、ウィークリー）,MOLSPARLE,2553,33541,大井O3/4
商船三井[ChengLie/Evergreen/Heung-A],東京/横浜/清水/四日市/名古屋/釜山/レムチャバン/マニラ/東京,3隻21日ラウンド（土/日、ウィークリー）,MOLSEABREEZE,2483,33508,大井O3/4
商船三井[ChengLie/Evergreen/Heung-A],東京/横浜/清水/四日市/名古屋/釜山/レムチャバン/マニラ/東京,3隻21日ラウンド（土/日、ウィークリー）,MOLSUCCESS,2483,33543,大井O3/4
日本郵船[SPIC],東京/清水/名古屋/神戸/ホーチミンシティー/レムチャバン/ホーチミンシティー/東京,3隻42日ラウンド（水、ウィークリー）,ACXMARGUERITE,1613,24386,大井O6/7
日本郵船[SPIC],東京/清水/名古屋/神戸/ホーチミンシティー/レムチャバン/ホーチミンシティー/東京,3隻42日ラウンド（水、ウィークリー）,IGA,1613,24376,大井O6/7
日本郵船[SPIC],東京/清水/名古屋/神戸/ホーチミンシティー/レムチャバン/ホーチミンシティー/東京,3隻42日ラウンド（水、ウィークリー）,IMARI,1613,24376,大井O6/7
日本郵船[ChengLie/KL],東京/横浜/清水/名古屋/神戸/釜山/光陽/基隆/高雄/ハイフォン/厦門/基隆/東京,3隻21日ラウンド(火/水、ウィークリー),SANUKI,1157,17182,大井O6/7
日本郵船[ChengLie/KL],東京/横浜/清水/名古屋/神戸/釜山/光陽/基隆/高雄/ハイフォン/厦門/基隆/東京,3隻21日ラウンド(火/水、ウィークリー),SOGA,1157,17224,大井O6/7
日本郵船[ChengLie/KL],東京/横浜/清水/名古屋/神戸/釜山/光陽/基隆/高雄/ハイフォン/厦門/基隆/東京,3隻21日ラウンド(火/水、ウィークリー),SUMIRE,1177,17732,大井O6/7
OOCL,東京/横浜/名古屋/神戸/大阪/高雄/香港/シンガポール/蛇口/香港/東京,3隻21日ラウンド（水、ウィークリー）,OOCLBUSAN,4578,50567,青海A3
OOCL,東京/横浜/名古屋/神戸/大阪/高雄/香港/シンガポール/蛇口/香港/東京,3隻21日ラウンド（水、ウィークリー）,OOCLCHARLESTON,4578,50518,青海A3
OOCL,東京/横浜/名古屋/神戸/大阪/高雄/香港/シンガポール/蛇口/香港/東京,3隻21日ラウンド（水、ウィークリー）,OOCLZHOUSHAN,4583,52214,青海A3
OOCL[インターエイシアライン/商船三井],大坂/神戸/東京/横浜/香港/レムチャバン/蛇口/香港/厦門/大阪,3隻21日ラウンド(木/金、ウィークリー),MAINTRADER,2702,38061,青海A3
OOCL[インターエイシアライン/商船三井],大坂/神戸/東京/横浜/香港/レムチャバン/蛇口/香港/厦門/大阪,3隻21日ラウンド(木/金、ウィークリー),OLYMPIA,2702,38013,青海A3
OOCL[インターエイシアライン/商船三井],大坂/神戸/東京/横浜/香港/レムチャバン/蛇口/香港/厦門/大阪,3隻21日ラウンド(木/金、ウィークリー),RACHABHUM,2732,38968,青海A3
