所在,給水栓箇所数,給水能力(m3/h)
芝浦岸壁,16,40
芝浦物揚場,4,15
日の出桟橋,3,20
竹芝桟橋,6,35
晴海桟橋,16,50
月島物揚場,6,20
辰巳岸壁,2,20
合計,53,
