名称,総面積（m2）,許可面積（m2）,名称,総面積（m2）,許可面積（m2）
豊洲,29243,0,12号地,561283,22000
14号地第1,124860,0,7号地,94466,0
14号地第2,131747,0,新砂,57614,0
,,,合計,999213,22000
