河川名等,現況（平成22年度）,将来（平成36年度）
(1)江戸川（10^３m3／日）,10744.1,10688.0
(2)中川（10^３m3／日）,7116.5,7270.1
(3)荒川（10^３m3／日）,7191.4,7161.8
(4)隅田川（10^３m3／日）,4078.1,4494.4
(5)多摩川（10^３m3／日）,2564.4,2608.7
(6)古川（10^３m3／日）,10.0,8.3
(7)目黒川（10^３m3／日）,19.7,15.9
(8)立会川（10^３m3／日）,4.5,4.5
(9)内川（10^３m3／日）,0.0,0.0
(10)呑川（10^３m3／日）,21.2,17.2
A砂町水再生センター（10^３m3／日）,437.3,547.1
B葛西水再生センター（10^３m3／日）,342.8,431.5
C森ヶ崎水再生センター（10^３m3／日）,1175.5,1339.2
D芝浦水再生センター（10^３m3／日）,626.6,673.3
E有明水再生センター（10^３m3／日）,12.2,44.2
合計（10^３m3／日）,34344.3,35304.2
