地区名,埠頭名,種別,水深(m),バース数,延長(m),対象船舶(DWT)
内港地区,竹芝貨客船,既設※対象船舶を大型化,7.5,3,465,10600(GT)
内港地区,日の出貨客船,既定計画,7.5,2,310,5000
内港地区,晴海客船,既設,10,1,225,20000(GT)
中部地区,新客船,既定計画,11.5,1,430,230000(GT)
