図番,施設名,起点,終点,車線数,現況交通量（H24.9月時点）交通量（百台／日）,現況交通量（H24.9月時点）大型車混入率,現況交通量（H24.9月時点）計測地点,計画交通量（百台／日）,規模及び配置の考え方,備考
（1）,海岸青海線,海岸通り,青海・有明南連絡線,4,366,31.4,レインボ－ブリッジ,209,計画交通量より既定計画どおりとする。,既設
（2）,東京港臨海道路（1期区間）,城南島,中防外埋立地,4,462,61.3,臨海トンネル,455,計画交通量より既定計画どおりとする。,既設
（3）,東京港臨海道路（2期区間）,中防外埋立地,新木場・若洲線,4,268,54.7,ゲ－トブリッジ,339,計画交通量より既定計画どおりとする。,既設
（4）,新木場・若洲線,国道357号,東京港臨海道路,6,414,49.5,新木場交差点,452,計画交通量より既定計画どおりとする。,既設
（5）,青海縦貫線,国道357号,中防外埋立地,4～6,271,67.5,第二航路海底トンネル,219,計画交通量より既定計画どおりとする。,既設
（6）,大井ふ頭その1線,大井北部陸橋,環状七号線,6～10,186,76.3,大井税関前交差点,292,計画交通量より既定計画どおりとする。,既設
（7）,南北線,有明ふ頭連絡線,中防内5号線,4,-,-,-,324,計画交通量より既定計画どおりとする。,既定計画
（8）,中防外1号線,東京港臨海道路,新海面処分場,6,-,-,-,243,計画交通量より既定計画どおりとする。,既定計画
