品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,輸出(千トン),15,,1,3,,,,,,,,,
農水産品米穀類,輸入(千トン),347,357,360,301,236,110,303,337,317,303,264,242,297
農水産品米穀類,計(千トン),362,357,361,304,236,110,303,337,317,303,264,242,297
農水産品野菜・果物,輸出(千トン),1,1,,,,,,,,,,,
農水産品野菜・果物,輸入(千トン),278,315,332,356,683,622,611,718,778,660,632,627,741
農水産品野菜・果物,計(千トン),279,316,332,356,683,622,611,718,778,660,632,627,741
農水産品水産品,輸出(千トン),5,1,0,,0,,0,,,,0,,
農水産品水産品,輸入(千トン),83,71,55,41,35,34,21,16,21,16,21,2,19
農水産品水産品,計(千トン),88,72,55,41,35,34,21,16,21,16,22,2,19
農水産品その他,輸出(千トン),,,,,,,,,,,,,
農水産品その他,輸入(千トン),28,14,3,1,13,,,1,,,,,
農水産品その他,計(千トン),28,14,3,1,13,,,1,,,,,
林産品原木,輸出(千トン),,8,,2,,8,,,,,,,
林産品原木,輸入(千トン),225,383,146,153,178,183,137,52,4,,,,
林産品原木,計(千トン),225,391,146,155,178,190,137,52,4,,,,
林産品製材,輸出(千トン),49,2,,,10,2,,1,1,6,,2,3
林産品製材,輸入(千トン),426,183,413,458,422,401,315,242,190,199,256,196,215
林産品製材,計(千トン),474,185,413,458,433,404,315,243,191,205,256,198,218
林産品その他,輸出(千トン),,,,,,,,,,,,,
林産品その他,輸入(千トン),,0,2,,23,1,,,0,24,6,0,8
林産品その他,計(千トン),,0,2,,23,1,,,0,24,6,0,8
鉱産品石炭,輸出(千トン),,,,,2,,,3,,,,,
鉱産品石炭,輸入(千トン),63,43,62,121,85,61,120,89,97,98,88,63,99
鉱産品石炭,計(千トン),63,43,62,121,87,61,120,91,97,98,88,63,99
鉱産品砂利・砂,輸出(千トン),,,,,,,,,,,,,
鉱産品砂利・砂,輸入(千トン),,10,83,42,,,,,,,,,
鉱産品砂利・砂,計(千トン),,10,83,42,,,,,,,,,
鉱産品原油,輸出(千トン),,,,,,,,,,,,,
鉱産品原油,輸入(千トン),,,,,,,,,,,,,
鉱産品原油,計(千トン),,,,,,,,,,,,,
鉱産品その他,輸出(千トン),2,,,,,,,,,,,,
鉱産品その他,輸入(千トン),102,35,11,36,109,17,46,26,35,110,94,69,71
鉱産品その他,計(千トン),104,35,11,36,109,17,46,26,35,110,94,69,71
金属機械鉄鋼,輸出(千トン),58,18,22,18,17,28,7,11,,12,7,0,23
金属機械鉄鋼,輸入(千トン),123,18,32,38,75,119,132,99,82,42,49,41,85
金属機械鉄鋼,計(千トン),180,36,55,56,92,146,139,110,82,54,57,41,108
金属機械非鉄金属金属類,輸出(千トン),,8,11,11,2,2,,16,37,7,,0,22
金属機械非鉄金属金属類,輸入(千トン),8,55,37,43,22,20,25,15,4,4,5,1,8
金属機械非鉄金属金属類,計(千トン),8,63,48,54,25,22,25,30,41,11,5,1,30
金属機械輸送機械(フェリー除),輸出(千トン),0,0,0,0,3,1,0,0,,1,1,2,1
金属機械輸送機械(フェリー除),輸入(千トン),0,1,7,3,12,0,,,,0,2,5,0
金属機械輸送機械(フェリー除),計(千トン),0,1,7,3,15,1,0,0,,1,3,6,1
金属機械その他,輸出(千トン),1,2,,3,0,9,12,20,8,11,13,1,16
金属機械その他,輸入(千トン),,3,2,7,2,6,2,2,,1,12,0,2
金属機械その他,計(千トン),1,4,2,10,2,15,14,22,8,13,26,1,18
化学工業品石油類,輸出(千トン),,,,,,,,,,,,,
化学工業品石油類,輸入(千トン),,,,,,,6,,,,1,,
化学工業品石油類,計(千トン),,,,,,,6,,,,1,,
化学工業品セメント,輸出(千トン),,,,,5,11,,,,,,,
化学工業品セメント,輸入(千トン),,2,,,,,1,4,2,2,1,1,4
化学工業品セメント,計(千トン),,2,,,5,11,1,4,2,2,1,1,4
化学工業品その他,輸出(千トン),47,,0,1,,,0,,,,,,
化学工業品その他,輸入(千トン),20,36,35,37,26,66,62,51,71,55,90,63,88
化学工業品その他,計(千トン),67,36,35,38,26,66,62,51,71,55,90,63,88
軽工業品紙・パルプ,輸出(千トン),191,18,,,55,,,,,,,,
軽工業品紙・パルプ,輸入(千トン),123,247,248,241,68,35,168,136,127,147,141,124,148
軽工業品紙・パルプ,計(千トン),314,264,248,241,122,35,168,136,127,147,141,124,148
軽工業品砂糖,輸出(千トン),,,,,,,,,,,,,
軽工業品砂糖,輸入(千トン),225,55,2,,,,,,4,,,,
軽工業品砂糖,計(千トン),225,55,2,,,,,,4,,,,
軽工業品その他,輸出(千トン),,,,,,,3,,,,,,
