地区名,埠頭名,水深(m),バース数,延長(m),対象船舶（DWT）,規模及び配置の考え方
内港地区,豊洲（官庁船）,8,1,-,3000,既定計画
内港地区,豊洲新市場,8,1,200,6000,既定計画
中央防波堤地区,中央防波堤内側セメント,12,1,200,30000,既定計画
