水深,既設バース数,既設延長,工事中バース数,工事中延長
15m～,10,3404,1,400
13m～,2,520,,
12m～,,,,
11m～,,,1,230
10m～,3,555,,
7.5m～,,,,
5m～,,,,
5m未満,,,,
合計,15,4479,2,630
