出入,実績値Ｈ13/2001,実績値Ｈ14/2002,実績値Ｈ15/2003,実績値Ｈ16/2004,実績値Ｈ17/2005,実績値Ｈ18/2006,実績値Ｈ19/2007,実績値Ｈ20/2008,実績値Ｈ21/2009,基準年実績値Ｈ22/2010,（参考）実績値Ｈ23/2011,（参考）実績値Ｈ24/2012,推計値目標年Ｈ37/2025,類型,推計方法
輸出,14,19,4,9,10,12,5,1,1,2,1,1,2,4型,現状維持
輸入,253,463,166,196,258,213,159,61,10,7,8,6,7,4型,現状維持
計,266,483,170,205,268,225,163,63,12,8,9,7,8,,
