用途地区名,埠頭用地,港湾関連用地,交流厚生用地,工業用地,都市機能用地,交通機能用地,緑地,廃棄物処理施設用地,海面処分用地,危険物取扱施設用地,合計
内港地区,(57),(73),(13),(11),152,(5),(31),(3),,,(192)
内港地区,57,73,13,11,,29,35,3,,,373
南部地区,(156),(232),,(126),151,(38),(107),(37),,,(697)
南部地区,156,232,,126,,287,149,37,,,1139
中部地区,(147),(93),(50),(29),194,(44),(49),,,,(412)
中部地区,147,93,50,29,,135,114,,,,761
東部地区,(72),(229),(16),(44),68,(16),(127),(17),,(6),(526)
東部地区,72,229,16,44,,92,185,17,,6,726
中央防波堤地区,(147),(212),,(17),17,(76),(184),(46),(245),,(926)
中央防波堤地区,147,212,,17,,102,210,46,245,,996
羽田空港,,,,,,977,,,,,977
合計,(579),(839),(79),(227),582,(179),(498),(103),(245),(6),(2735)
合計,579,839,79,227,,1622,693,103,245,6,4972
