品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,移出(千トン),32,24,22,60,50,49,55,45,39,32,39,36,33
農水産品米穀類,移入(千トン),51,38,18,50,39,23,28,20,11,16,15,15,16
農水産品米穀類,計(千トン),82,63,40,110,89,72,83,66,50,48,53,52,48
農水産品野菜・果物,移出(千トン),5,9,5,4,4,13,22,14,19,21,20,21,18
農水産品野菜・果物,移入(千トン),15,23,23,29,26,39,44,45,40,39,41,36,41
農水産品野菜・果物,計(千トン),20,32,29,34,31,52,66,59,60,61,61,58,59
農水産品水産品,移出(千トン),12,8,9,11,10,9,5,6,8,17,16,15,10
農水産品水産品,移入(千トン),5,2,3,4,3,3,4,6,4,9,6,9,5
農水産品水産品,計(千トン),17,10,12,15,13,13,9,12,12,26,22,24,15
農水産品その他,移出(千トン),19,7,6,5,4,5,5,3,4,3,4,4,7
農水産品その他,移入(千トン),20,13,8,9,8,15,15,14,16,17,17,18,17
農水産品その他,計(千トン),39,21,15,13,13,19,20,17,20,20,20,21,23
林産品原木,移出(千トン),0,1,0,,0,0,,,,0,0,0,0
林産品原木,移入(千トン),0,0,0,1,0,,,0,0,0,,,0
林産品原木,計(千トン),0,1,0,1,0,0,,0,0,0,0,0,0
林産品製材,移出(千トン),4,4,5,6,7,7,7,8,10,3,3,2,3
林産品製材,移入(千トン),2,4,6,9,13,14,11,14,9,9,11,9,9
林産品製材,計(千トン),5,8,11,16,20,21,19,22,18,12,14,11,12
林産品その他,移出(千トン),5,23,17,18,14,10,11,11,13,14,16,16,13
林産品その他,移入(千トン),10,20,24,29,42,36,14,6,4,5,9,11,5
林産品その他,計(千トン),16,42,41,46,56,46,25,17,18,19,24,27,18
鉱産品石炭,移出(千トン),0,0,0,0,0,0,0,,0,0,0,0,1
鉱産品石炭,移入(千トン),0,0,0,0,,1,0,,,0,0,0,0
鉱産品石炭,計(千トン),0,0,0,0,0,1,0,,0,0,0,0,1
