運航社,船名,TEU,DWT,利用ターミナル
CKLineTaiYoung,SUZANNE,841,10747,品川公共
CKLineTaiYoung,OSGADMIRAL,639,9676,品川公共
CKLineTaiYoung,HUNZETRADER,704,8509,品川公共
DongYoung,PEGASUSPACER,708,9618,品川公共
DongYoung,PEGASUSPRIME,708,9618,品川公共
Dongjin,O.M.AESTATIS,660,8524,品川公共
Hanjin,MEDAEGEAN,980,11968,青海A3
Heung-A,DSBLUEWAVE,698,8166,品川公共
KMTC,STADTRAVENSBURG,698,8184,品川公共
NamSung,VICTORYSTAR,706,9157,品川公共
PanCon,PANCONGLORY,1060,11898,品川公共
Sinokor,HAMILTONSTRAIT,834,10974,品川公共
ST×PanOcean,STXTOKYO,702,10299,品川公共
ST×PanOcean,STXYOKOHAMA,702,10298,品川公共
