臨海副都心の用地,臨海開発部誘致促進課誘致担当,03-5320-5586
臨海副都心以外の用地,臨海開発部誘致促進課開発調整担当,03-5320-5565
防潮堤護岸用地,港湾経営部経営課指導担当,03-5320-5551
●港湾局所管用地の長期的貸付又は購入,,
