品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,輸出(千トン),,,,,,,,,,,,,
農水産品米穀類,輸入(千トン),,,,,,,,,,,,,
農水産品米穀類,計(千トン),,,,,,,,,,,,,
農水産品野菜・果物,輸出(千トン),,,,,,,,,,,,,
農水産品野菜・果物,輸入(千トン),,,,71,,,,,,,,,
農水産品野菜・果物,計(千トン),,,,71,,,,,,,,,
農水産品水産品,輸出(千トン),,,,,,,,,,,,,
農水産品水産品,輸入(千トン),,,,,,,,,,,,,
農水産品水産品,計(千トン),,,,,,,,,,,,,
農水産品その他,輸出(千トン),,,,,,,,,,,,,
農水産品その他,輸入(千トン),,,,,,,,,,,,,
農水産品その他,計(千トン),,,,,,,,,,,,,
林産品原木,輸出(千トン),,,,,,,,,,,,,
林産品原木,輸入(千トン),,,,,,,,,,,,,
林産品原木,計(千トン),,,,,,,,,,,,,
林産品製材,輸出(千トン),,,,,,,,,,,,,
林産品製材,輸入(千トン),,,,,,,,,,,,,
林産品製材,計(千トン),,,,,,,,,,,,,
林産品その他,輸出(千トン),,,,,,,,,,,,,
林産品その他,輸入(千トン),,,,,,,,,,,,,
林産品その他,計(千トン),,,,,,,,,,,,,
鉱産品石炭,輸出(千トン),,,,,,,,,,,,,
鉱産品石炭,輸入(千トン),,,,,,,,,,,,,
鉱産品石炭,計(千トン),,,,,,,,,,,,,
鉱産品砂利・砂,輸出(千トン),,,,,,,,,,,,,
鉱産品砂利・砂,輸入(千トン),,,,,,,,,,,,,
鉱産品砂利・砂,計(千トン),,,,,,,,,,,,,
鉱産品原油,輸出(千トン),,,,,,,,,,,,,
鉱産品原油,輸入(千トン),,,,,,,,,,,,,
鉱産品原油,計(千トン),,,,,,,,,,,,,
鉱産品その他,輸出(千トン),,,,,,,,,,,,,
鉱産品その他,輸入(千トン),,,,,,,,,,,,,
鉱産品その他,計(千トン),,,,,,,,,,,,,
金属機械工業品鉄鋼,輸出(千トン),1,,,,,,,,,3,,,3
金属機械工業品鉄鋼,輸入(千トン),25,2,19,26,27,16,4,,,10,6,6,10
金属機械工業品鉄鋼,計(千トン),27,2,19,26,27,16,4,,,14,6,6,14
金属機械工業品非鉄金属金属類,輸出(千トン),,,,0,,,,,,,,,
金属機械工業品非鉄金属金属類,輸入(千トン),1,13,20,11,3,6,7,9,7,1,2,,1
金属機械工業品非鉄金属金属類,計(千トン),1,13,20,11,3,6,7,9,7,1,2,,1
金属機械工業品輸送機械(フェリー除),輸出(千トン),,,,,,,,,,,,,
金属機械工業品輸送機械(フェリー除),輸入(千トン),,,,,,,,,,,,,
金属機械工業品輸送機械(フェリー除),計(千トン),,,,,,,,,,,,,
金属機械工業品その他,輸出(千トン),,,,,,,,,,,,,
金属機械工業品その他,輸入(千トン),,4,2,,1,,,,,,,,
金属機械工業品その他,計(千トン),,4,2,,1,,,,,,,,
化学工業品石油類,輸出(千トン),,,,,,,,,,,,,
化学工業品石油類,輸入(千トン),,,,0,,,,,,,,,
化学工業品石油類,計(千トン),,,,0,,,,,,,,,
化学工業品セメント,輸出(千トン),,,,,,,,,,,,,
化学工業品セメント,輸入(千トン),,,,,,,,,,,,,
化学工業品セメント,計(千トン),,,,,,,,,,,,,
化学工業品その他,輸出(千トン),,,,,,,,,,,,,
化学工業品その他,輸入(千トン),,,,,,,,,,,,,
化学工業品その他,計(千トン),,,,,,,,,,,,,
軽工業品紙・パルプ,輸出(千トン),,,,,,,,,,,,,
軽工業品紙・パルプ,輸入(千トン),,,,,,,,,,,,,
軽工業品紙・パルプ,計(千トン),,,,,,,,,,,,,
軽工業品砂糖,輸出(千トン),,,,,,,,,,,,,
軽工業品砂糖,輸入(千トン),,,,,,,,,,,,,
軽工業品砂糖,計(千トン),,,,,,,,,,,,,
軽工業品その他,輸出(千トン),,,,,,,,,,,,,
軽工業品その他,輸入(千トン),,,,,,,,,,,,,
軽工業品その他,計(千トン),,,,,,,,,,,,,
雑工業品,輸出(千トン),,,,,,,,,,,,,
雑工業品,輸入(千トン),,,,,,,,,,,,,
雑工業品,計(千トン),,,,,,,,,,,,,
特殊品金属くず,輸出(千トン),9,7,5,5,,2,,,,,,,
特殊品金属くず,輸入(千トン),,,2,,,,,,,,,,
特殊品金属くず,計(千トン),9,7,7,5,,2,,,,,,,
特殊品廃棄物(廃土砂),輸出(千トン),,,,,,,,,,,,,
特殊品廃棄物(廃土砂),輸入(千トン),,,,,,,,,,,,,
特殊品廃棄物(廃土砂),計(千トン),,,,,,,,,,,,,
特殊物取合せ品,輸出(千トン),,,,,,,,,,,,,
特殊物取合せ品,輸入(千トン),,,,,,,,,,,,,
特殊物取合せ品,計(千トン),,,,,,,,,,,,,
特殊品その他,輸出(千トン),,,,,,,,,,,,,
特殊品その他,輸入(千トン),,,,,,,,,,,,,
特殊品その他,計(千トン),,,,,,,,,,,,,
分別不能のもの,輸出(千トン),,,,,,,,,,,,,
分別不能のもの,輸入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
合計,輸出(千トン),10,7,5,5,,2,,,,3,,,3
合計,輸入(千トン),26,19,43,108,32,21,10,9,7,11,8,6,11
合計,計(千トン),36,26,48,113,32,23,10,9,7,15,8,6,15
