外内別,種別,実績値Ｈ13,実績値Ｈ14,実績値Ｈ15,実績値Ｈ16,実績値Ｈ17,実績値Ｈ18,実績値Ｈ19,実績値Ｈ20,実績値Ｈ21,実績値Ｈ22,実績値(参考)Ｈ23,実績値(参考)Ｈ24,推計値Ｈ30代後半,増減量Ｈ22～Ｈ37
外貿,コンテナ計(千トン),34746,37111,40189,42972,43281,42987,43421,42782,38228,42819,44695,45302,66234,23415
外貿,コンテナ計(千ＴＥＵ),(2607),(2784),(3075),(3358),(3598),(3696),(3720),(3727),(3399),(3816),(4144),(4235),(5601),(1785)
外貿,コンテナ輸出(千トン),13947,15188,15998,17448,17607,16645,16929,13148,11446,12926,12504,12491,21436,8510
外貿,コンテナ輸出(千ＴＥＵ),(1194),(1258),(1384),(1531),(1664),(1716),(1721),(1729),(1560),(1739),(1913),(1948),(2518),(780)
外貿,コンテナ輸入(千トン),20799,21923,24190,25524,25673,26343,26492,29634,26782,29893,32191,32811,44799,14906
外貿,コンテナ輸入(千ＴＥＵ）,(1413),(1526),(1690),(1827),(1934),(1980),(2000),(1998),(1839),(2078),(2231),(2287),(3083),(1005)
外貿,在来計(千トン）,3282,2673,3092,2869,3197,2848,2680,2328,2449,2316,2138,2091,2513,198
外貿,在来輸出(千トン）,1097,814,1194,929,1110,846,707,531,689,645,450,655,714,69
外貿,在来輸入(千トン）,2185,1859,1898,1940,2087,2002,1974,1797,1760,1671,1689,1436,1799,129
外貿,専用計(千トン）,36,26,48,113,32,23,10,9,7,15,8,6,15,
外貿,専用輸出(千トン）,10,7,5,5,,2,,,,3,,,3,
外貿,専用輸入(千トン）,26,19,43,108,32,21,10,9,7,11,8,6,11,
内貿,ユニット計(千トン）,5877,6382,7697,8761,9499,9420,10865,9470,8880,8638,9692,9865,12389,3751
内貿,ユニット移出(千トン）,3225,3484,4285,4893,5221,5328,6035,5263,5018,4822,5262,5509,6688,1865
内貿,ユニット移入(千トン）,2652,2898,3412,3868,4278,4093,4830,4207,3862,3815,4429,4356,5701,1886
内貿,フィーダー計(千トン）,435,468,477,576,448,538,715,1187,983,1123,1100,1168,3659,2536
内貿,フィーダー計(千ＴＥＵ）,(63),(59),(50),(59),(63),(107),(218),(262),(259),(305),(319),(342),(535),
内貿,フィーダー移出（千トン）,246,254,212,259,231,244,302,496,377,513,483,593,1673,
内貿,フィーダー移出（千ＴＥＵ）,(36),(37),(28),(32),(27),(53),(157),(182),(192),(245),(254),(284),(344),
内貿,フィーダー移入（千トン）,188,215,265,318,217,294,413,692,605,609,617,575,1986,
内貿,フィーダー移入（千ＴＥＵ）,(27),(23),(21),(27),(36),(54),(61),(80),(67),(61),(65),(58),(192),
内貿,在来計(千トン）,7401,6912,6740,6455,6701,6462,6828,6387,4776,5446,5759,5528,6254,807
内貿,在来移出(千トン）,1633,2283,2203,2194,2199,2174,2563,2473,1587,2238,2568,2575,2443,205
内貿,在来移入(千トン）,5768,4629,4537,4260,4503,4288,4265,3914,3190,3209,3191,2954,3810,602
内貿,フェリー計(千トン）,15900,15195,16066,15899,15681,15699,10634,7370,6231,7057,9491,7779,7057,
内貿,フェリー移出(千トン）,8196,8052,8451,8250,8079,8068,5620,3832,3191,3604,4844,3941,3604,3941
内貿,フェリー移入(千トン）,7704,7143,7615,7649,7602,7632,5013,3538,3040,3453,4647,3838,3453,3838
内貿,専用計(千トン）,14358,13753,14161,13770,13190,12833,12475,11820,10859,10099,10512,11047,10125,26
内貿,専用移出(千トン）,714,511,493,477,504,521,413,391,303,254,202,216,254,0
内貿,専用移入(千トン）,13644,13242,13667,13293,12686,12312,12062,11430,10557,9845,10310,10832,9871,26
内貿,合計(千トン）,82035,82520,88469,91415,92028,90811,87628,81354,72413,77513,83395,82786,108246,30734
内貿,合計外貿(千トン）,38064,39810,43329,45954,46509,45858,46112,45119,40684,45150,46841,47399,68763,23613
内貿,合計内貿(千トン）,43971,42710,45139,45461,45519,44953,41517,36235,31729,32363,36553,35387,39484,7121
,外内コンテナ貨物量(千トン）,35181,37579,40665,43548,43729,43525,44136,43969,39211,43942,45795,46470,69893,25951
,外内コンテナ貨物量（千ＴＥＵ）,(2670),(2844),(3124),(3417),(3661),(3803),(3939),(3989),(3658),(4122),(4462),(4577),(6137),
,外内コンテナ貨物量外貿(千トン）,34746,37111,40189,42972,43281,42987,43421,42782,38228,42819,44695,45302,66234,23415
,外内コンテナ貨物量外貿（千ＴＥＵ）,(2607),(2784),(3075),(3358),(3598),(3696),(3720),(3727),(3399),(3816),(4144),(4235),(5601),(1785)
,外内コンテナ貨物量内貿(千トン）,435,468,477,576,448,538,715,1187,983,1123,1100,1168,3659,2536
,外内コンテナ貨物量内貿（千ＴＥＵ）,(63),(59),(50),(59),(63),(107),(218),(262),(259),(305),(319),(342),(535),(230)
