水深,既設バース数,既設延長,工事中バース数,工事中延長
15m～,10,3404,1,400
13m～,2,520,,
12m～,7,1640,,
11m～,3,570,1,230
10m～,13,2655,,
7.5m～,23,3053,6,1420
5m～,37,2800,,
5m未満,,,,
合計,95,14642,8,2050
