外内別,種別,基準年Ｈ22,推計値Ｈ30代後半,増減量Ｈ22～Ｈ37
外貿,コンテナ計(千ＴＥＵ),3817,5601,1784
外貿,コンテナ輸出(千ＴＥＵ),1739,2518,779
外貿,コンテナ輸入(千ＴＥＵ）,2078,3083,1005
内貿,コンテナ計(千ＴＥＵ),306,536,230
内貿,コンテナ輸出(千ＴＥＵ),245,344,99
内貿,コンテナ輸入(千ＴＥＵ）,61,192,131
,合計(千ＴＥＵ),4123,6137,2014
