地区名,埠頭名,種別,今回計画対象船型(DWT),今回計画水深(m),今回計画面積(ha),既定計画対象船型(DWT),既定水深(m),既定面積(ha)
内港地区,品川コンテナ,新規計画,20000,11,3.0,15000,,
南部地区,大井コンテナ,既定計画,150000,15~16,12.1,100000,15~16,12.1
南部地区,大井コンテナ,既設の変更計画,150000,15~16,2.3,,,
南部地区,大井水産物,既設の変更計画,30000,12,1.5,,,
中部地区,青海コンテナ,既定計画,150000,15~16,3.6,100000,15~16,3.6
中部地区,10号地その1,既定計画,,,,23000(GT),8.5,1.9
中部地区,10号地その2(東)多目的,既定計画,,,,23000(GT),8.5,1.6
中部地区,10号地その2(西)ユニットロード,既定計画,,,,12000(GT),9,7.6
中部地区,新客船,既定計画,,,,230000(GT),11.5,2.3
東部地区,15号地木材,既設の変更計画,30000,12,1.7,,,
東部地区,15号地コンテナ,既設の変更計画,30000,11～12,2.7,,,
東部地区,15号地(民間),既設の変更計画,30000,12,1.2,,,
東部地区,12号地貯木場,新規計画,10000,9,1.8,,,
中央防波堤地区,中央防波堤外側コンテナ,既設（工事中）,,,,20000,11,1.2
中央防波堤地区,中央防波堤外側コンテナ,既設（工事中）,150000,15~16,2.0,100000,15~16,2.0
中央防波堤地区,中央防波堤外側・新海面処分場コンテナ,既定計画,150000,16~16.5,5.7,120000,16~16.5,5.7
