外内別,種別,トン階級,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値（参考）H23,実績値（参考）H24
外航船,合計,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航船,合計,100～499（隻）,1,7,3,1,4,2,4,12,10,3,4,4
外航船,合計,500～999（隻）,63,54,38,34,41,21,13,6,9,4,3,5
外航船,合計,1000～2999（隻）,404,438,569,502,530,517,517,477,387,458,369,423
外航船,合計,3000～5999（隻）,1041,820,929,894,833,600,445,402,383,280,149,176
外航船,合計,6000～9999（隻）,1020,1198,1540,1892,2392,2566,2458,2188,2275,2472,2640,2595
外航船,合計,10000～19999（隻）,1259,1310,1453,1414,1340,1348,1361,1282,1133,1142,1264,931
外航船,合計,20000～29999（隻）,241,219,186,156,138,131,168,199,344,516,513,551
外航船,合計,30000～39999（隻）,237,183,191,228,273,236,250,236,159,158,178,270
外航船,合計,40000～49999（隻）,631,498,426,451,321,230,190,290,401,189,161,195
外航船,合計,50000～59999（隻）,334,378,519,484,608,561,467,354,378,450,465,429
外航船,合計,60000～69999（隻）,297,367,310,179,202,279,332,359,149,135,155,153
外航船,合計,70000～79999（隻）,-,-,-,133,145,217,255,266,288,230,152,116
外航船,合計,80000～89999（隻）,-,-,-,-,-,-,-,-,9,5,-,19
外航船,合計,90000～99999（隻）,-,-,-,-,-,-,-,-,-,80,89,82
外航船,合計,100000～（隻）,-,-,-,-,-,-,-,-,-,6,15,7
外航船,合計,合計,5528,5472,6164,6368,6827,6708,6460,6071,5925,6128,6157,5956
外航,うちコンテナ船,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うちコンテナ船,100～499（隻）,-,-,-,-,1,-,-,-,-,-,-,2
外航,うちコンテナ船,500～999（隻）,-,-,-,-,1,-,1,-,-,-,-,-
外航,うちコンテナ船,1000～2999（隻）,59,62,63,40,28,35,30,64,18,1,-,-
外航,うちコンテナ船,3000～5999（隻）,608,372,484,538,537,402,286,296,272,200,106,135
外航,うちコンテナ船,6000～9999（隻）,900,1084,1455,1742,2157,2307,2226,1978,2036,2219,2395,2384
外航,うちコンテナ船,10000～19999（隻）,1094,1151,1320,1294,1219,1235,1252,1176,1046,1075,1192,892
外航,うちコンテナ船,20000～29999（隻）,159,146,134,111,103,94,143,176,331,498,485,527
外航,うちコンテナ船,30000～39999（隻）,218,171,180,218,266,226,241,231,153,152,159,261
外航,うちコンテナ船,40000～49999（隻）,630,498,410,424,302,221,187,283,392,183,155,188
外航,うちコンテナ船,50000～59999（隻）,333,377,518,484,608,560,466,353,372,450,465,428
外航,うちコンテナ船,60000～69999（隻）,297,364,307,177,202,279,330,357,147,132,153,153
外航,うちコンテナ船,70000～79999（隻）,-,-,-,133,145,217,255,266,288,230,152,116
外航,うちコンテナ船,80000～89999（隻）,-,-,-,-,-,-,-,-,9,5,-,19
外航,うちコンテナ船,90000～99999（隻）,-,-,-,-,-,-,-,-,-,80,89,82
外航,うちコンテナ船,100000～（隻）,-,-,-,-,-,-,-,-,-,6,15,7
外航,うちコンテナ船,小計,4298,4225,4871,5161,5569,5576,5417,5180,5064,5231,5366,5194
外航,うち客船,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,100～499（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,500～999（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,1000～2999（隻）,-,-,-,1,-,-,-,-,-,-,-,-
