運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船ＴＥＵ,投入船ＤＷＴ,利用ターミナル
Ｈａｎｊｉｎ[ＣＯＳＣＯＥｖｅｒｇｒｅｅｎ日本郵船],高雄/塩田/上海/釜山/ロングビーチ/オークランド/シアトル/東京/大阪/高雄,6隻４２日ラウンド（火、ウィークリー）,ＨＡＮＪＩＮＴＵＲＫＥＹ,3600,45542,青海Ａ3
Ｈａｎｊｉｎ[ＣＯＳＣＯＥｖｅｒｇｒｅｅｎ日本郵船],高雄/塩田/上海/釜山/ロングビーチ/オークランド/シアトル/東京/大阪/高雄,6隻４２日ラウンド（火、ウィークリー）,ＨＡＮＪＩＮＡＲＧＥＮＴＩＮＡ,3600,45542,青海Ａ3
Ｈａｎｊｉｎ[ＣＯＳＣＯＥｖｅｒｇｒｅｅｎ日本郵船],高雄/塩田/上海/釜山/ロングビーチ/オークランド/シアトル/東京/大阪/高雄,6隻４２日ラウンド（火、ウィークリー）,ＨＡＮＪＩＮＩＮＤＯＮＥＳＩＡ,3600,45542,青海Ａ3
Ｈａｎｊｉｎ[ＣＯＳＣＯＥｖｅｒｇｒｅｅｎ日本郵船],高雄/塩田/上海/釜山/ロングビーチ/オークランド/シアトル/東京/大阪/高雄,6隻４２日ラウンド（火、ウィークリー）,ＨＡＮＪＩＮＭＥＸＩＣＯ,3600,45542,青海Ａ3
Ｈａｎｊｉｎ[ＣＯＳＣＯＥｖｅｒｇｒｅｅｎ日本郵船],高雄/塩田/上海/釜山/ロングビーチ/オークランド/シアトル/東京/大阪/高雄,6隻４２日ラウンド（火、ウィークリー）,ＨＡＮＪＩＮＡＬＧＥＣＩＲＡＳ,3398,44144,青海Ａ3
Ｈａｎｊｉｎ[ＣＯＳＣＯＥｖｅｒｇｒｅｅｎ日本郵船],高雄/塩田/上海/釜山/ロングビーチ/オークランド/シアトル/東京/大阪/高雄,6隻４２日ラウンド（火、ウィークリー）,ＡＶＥＳＳＥＬ,,,青海Ａ3
ＨａｎｊｉｎＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,神戸/名古屋/東京/仙台/ロサンゼルス/オークランド/東京/名古屋/神戸,５隻３５日ラウンド（土、日、ウィークリー）,ＳＰＲＩＮＧＲ,3586,46230,大井Ｏ6/7
ＨａｎｊｉｎＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,神戸/名古屋/東京/仙台/ロサンゼルス/オークランド/東京/名古屋/神戸,５隻３５日ラウンド（土、日、ウィークリー）,ＨＡＮＪＩＮＣＯＮＳＴＡＮＴＺＡ,3398,44012,大井Ｏ6/7
ＨａｎｊｉｎＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,神戸/名古屋/東京/仙台/ロサンゼルス/オークランド/東京/名古屋/神戸,５隻３５日ラウンド（土、日、ウィークリー）,ＷＩＬＬＩＡＭＳＨＡＫＥＳＰＥＡＲＥ,3398,44022,大井Ｏ6/7
ＨａｎｊｉｎＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,神戸/名古屋/東京/仙台/ロサンゼルス/オークランド/東京/名古屋/神戸,５隻３５日ラウンド（土、日、ウィークリー）,ＲＩＯＤＥＪＡＮＥＩＲＯＥＸＰＲＥＳＳ,4248,50500,大井Ｏ6/7
ＨａｎｊｉｎＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,神戸/名古屋/東京/仙台/ロサンゼルス/オークランド/東京/名古屋/神戸,５隻３５日ラウンド（土、日、ウィークリー）,ＡＤＥＬＨＥＩＤ－Ｓ,3398,44053,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＤＡＬＬＡＳＥＸＰＲＥＳＳ,4890,67145,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＳＥＯＵＬＥＸＰＲＥＳＳ,4890,66971,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＤＲＥＳＤＥＮＥＸＰＲＥＳＳ,4639,67618,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＤＵＥＳＳＥＬＤＯＲＦＥＸＰＲＥＳＳ,4612,66525,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＫＩＥＬＥＸＰＲＥＳＳ,4639,67686,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＨＯＥＣＨＳＴＥＸＰＲＥＳＳ,4639,67684,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＫＯＢＥＥＸＰＲＥＳＳ,4612,66771,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＯＡＫＬＡＮＤＥＸＰＲＥＳＳ,4873,66781,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＬＯＮＤＯＮＥＸＰＲＥＳＳ,4612,66577,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＨＡＬＩＦＡＸＥＸＰＲＥＳＳ,4843,66818,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＰＡＲＩＳＥＸＰＲＥＳＳ,4639,65815,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＲＯＴＴＥＲＤＡＭＥＸＰＲＥＳＳ,4890,66975,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＳＴＵＴＴＧＡＲＴＥＸＰＲＥＳＳ,4639,67680,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＴＯＫＹＯＥＸＰＲＥＳＳ,4890,67145,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬ,高雄/塩田/上海/神戸/名古屋/東京/タコマ/オークランド/ロサンゼルス/マンザニーロ/デパナマ/サバンナ/ノーフォーク/ニューヨーク/ハリファックス/ニューヨーク/ノーフォーク/サバンナ/マンザニーロデマナマ/ロサンゼルス/オークランド/横浜/神戸/高雄,１５隻１０７日ラウンド（木、ウィークリー）,ＢＯＳＴＯＮＥＸＰＲＥＳＳ,4639,67680,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬＺｉｍ,寧波/上海(洋山)/青島/釜山/バンクーバー/タコマ/バンクーバー/東京/名古屋/神戸/釜山/寧波,６隻４２日ラウンド（月/火、ウィークリー）,ＶＩＥＮＮＡＥＸＰＲＥＳＳ,8749,103648,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬＺｉｍ,寧波/上海(洋山)/青島/釜山/バンクーバー/タコマ/バンクーバー/東京/名古屋/神戸/釜山/寧波,６隻４２日ラウンド（月/火、ウィークリー）,ＫＹＯＴＯＥＸＰＲＥＳＳ,8749,103800,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬＺｉｍ,寧波/上海(洋山)/青島/釜山/バンクーバー/タコマ/バンクーバー/東京/名古屋/神戸/釜山/寧波,６隻４２日ラウンド（月/火、ウィークリー）,ＯＳＡＫＡＥＸＰＲＥＳＳ,8749,103800,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬＺｉｍ,寧波/上海(洋山)/青島/釜山/バンクーバー/タコマ/バンクーバー/東京/名古屋/神戸/釜山/寧波,６隻４２日ラウンド（月/火、ウィークリー）,ＨＡＮＯＶＥＲＥＸＰＲＥＳＳ,8749,103800,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬＺｉｍ,寧波/上海(洋山)/青島/釜山/バンクーバー/タコマ/バンクーバー/東京/名古屋/神戸/釜山/寧波,６隻４２日ラウンド（月/火、ウィークリー）,ＰＲＡＧＵＥＥＸＰＲＥＳＳ,8749,104015,大井Ｏ6/7
ＨａｐａｇＬｉｏｙｄ日本郵船ＯＯＣＬＺｉｍ,寧波/上海(洋山)/青島/釜山/バンクーバー/タコマ/バンクーバー/東京/名古屋/神戸/釜山/寧波,６隻４２日ラウンド（月/火、ウィークリー）,ＳＯＦＩＡＥＸＰＲＥＳＳ,8749,104007,大井Ｏ6/7
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],高雄/厦門/香港/塩田/名古屋/東京/タコマ/バンクーバー/東京/名古屋/神戸/高雄,６隻４２日ラウンド（木/金、火/水、、ウィークリー）,ＡＫＩＮＡＤＯＥＢＩＤＦＪ,5610,71366,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],高雄/厦門/香港/塩田/名古屋/東京/タコマ/バンクーバー/東京/名古屋/神戸/高雄,６隻４２日ラウンド（木/金、火/水、、ウィークリー）,ＣＨＩＣＡＧＯＢＲＩＤＧＥ,5896,67170,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],高雄/厦門/香港/塩田/名古屋/東京/タコマ/バンクーバー/東京/名古屋/神戸/高雄,６隻４２日ラウンド（木/金、火/水、、ウィークリー）,ＣＨＩＳＷＩＣＫＢＲＩＤＧＥ,5610,71362,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],高雄/厦門/香港/塩田/名古屋/東京/タコマ/バンクーバー/東京/名古屋/神戸/高雄,６隻４２日ラウンド（木/金、火/水、、ウィークリー）,ＧＲＡＮＶＩＬＬＥＢＲＩＤＧＥ,5642,71326,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],高雄/厦門/香港/塩田/名古屋/東京/タコマ/バンクーバー/東京/名古屋/神戸/高雄,６隻４２日ラウンド（木/金、火/水、、ウィークリー）,ＧＬＥＮＣＡＮＹＯＮＢＲＩＤＧＥ,5642,71291,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],高雄/厦門/香港/塩田/名古屋/東京/タコマ/バンクーバー/東京/名古屋/神戸/高雄,６隻４２日ラウンド（木/金、火/水、、ウィークリー）,ＴＳＩＮＧＭＡＢＲＩＤＧＥ,5610,71310,大井Ｏ1/2
川崎汽船三井商船[ＡＰＬＣＯＳＣＯＥｖｅｒｇｒｅｅｎＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],神戸/塩田/厦門/ロングビーチ/オークランド/東京名古屋/香港,５隻３５日ラウンド（土、月、ウィークリー）,ＶＥＲＲＡＺＡＮＯＢＲＩＤＧＥ,4014,65038,大井Ｏ1/2
川崎汽船三井商船[ＡＰＬＣＯＳＣＯＥｖｅｒｇｒｅｅｎＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],神戸/塩田/厦門/ロングビーチ/オークランド/東京名古屋/香港,５隻３５日ラウンド（土、月、ウィークリー）,ＶＩＲＧＩＮＩＡＢＲＩＤＧＥ,4014,64990,大井Ｏ1/2
川崎汽船三井商船[ＡＰＬＣＯＳＣＯＥｖｅｒｇｒｅｅｎＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],神戸/塩田/厦門/ロングビーチ/オークランド/東京名古屋/香港,５隻３５日ラウンド（土、月、ウィークリー）,ＭＯＬＥＸＰＬＯＲＥＲ,4803,62958,大井Ｏ3/4
