類型,地点,夏季平均値（mg/L）現況,夏季平均値（mg/L）今回計画,夏季平均値（mg/L）既定計画,年平均値（mg/L）現況,年平均値（mg/L）今回計画,年平均値（mg/L）既定計画,年平均値（mg/L）今回-既定,環境基準値（mg/L）
4類型,St.5,0.28,0.25,0.25,0.18,0.20,0.20,0.00,0.09以下
4類型,St.6,0.19,0.16,0.16,0.14,0.12,0.12,0.00,0.09以下
4類型,St.11,0.26,0.23,0.23,0.18,0.18,0.18,0.00,0.09以下
4類型,St.23,0.29,0.35,0.35,0.32,0.28,0.28,0.00,0.09以下
4類型,St.8,0.24,0.15,0.15,0.16,0.12,0.12,0.00,0.09以下
4類型,St.22,0.12,0.09,0.09,0.08,0.07,0.07,0.00,0.09以下
4類型,St.25,0.17,0.17,0.17,0.13,0.13,0.13,0.00,0.09以下
