地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,ベトナム,ネパール,インド,タイ,ミャンマー,英国,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,417442,172769,94010,28681,16097,14645,14355,8730,7154,5627,5345,50029,394410,23032
1,13100,区部,350863,147518,79277,21545,13215,12364,12712,8027,5838,5370,4695,40302,330586,20277
4,13101,千代田区,2484,1132,381,48,157,26,69,91,32,8,66,474,2457,27
4,13102,中央区,5153,2200,1138,114,279,89,79,248,54,25,104,823,4916,237
4,13103,港区,18420,3717,3501,915,3311,129,99,619,186,37,807,5099,18104,316
4,13104,新宿区,36016,13236,10554,673,965,2468,2284,199,699,1244,331,3363,34121,1895
4,13105,文京区,7696,3243,1857,193,286,309,239,76,204,147,95,1047,7087,609
4,13106,台東区,13248,6231,3372,659,206,382,413,644,300,88,72,881,12802,446
4,13107,墨田区,9865,4809,1947,1236,123,182,196,62,363,71,56,820,9309,556
4,13108,江東区,22766,11680,4595,1418,362,400,328,1384,328,236,111,1924,21234,1532
4,13109,品川区,10663,4004,2267,674,554,254,533,368,160,188,172,1489,10446,217
4,13110,目黒区,7386,1703,1498,493,750,103,247,149,148,44,344,1907,6982,404
4,13111,大田区,19353,7760,3716,2180,571,675,1348,239,397,138,171,2158,18545,808
4,13112,世田谷区,15693,4304,4112,770,1287,340,328,381,217,80,606,3268,14845,848
4,13113,渋谷区,9091,1969,1538,279,1318,175,161,161,172,30,619,2669,8880,211
4,13114,中野区,12283,4877,2798,415,418,825,783,77,213,197,134,1546,10949,1334
4,13115,杉並区,11421,4212,2510,440,601,568,929,97,206,128,246,1484,10709,712
4,13116,豊島区,21616,12059,2496,423,375,1370,1622,156,296,1124,134,1561,19533,2083
4,13117,北区,16005,8517,2714,767,176,669,562,125,152,674,72,1577,14558,1447
4,13118,荒川区,16188,7120,5799,515,135,718,543,101,155,318,48,736,15559,629
4,13119,板橋区,18022,10115,3086,1307,271,635,469,133,250,191,123,1442,16714,1308
4,13120,練馬区,13552,5580,3876,881,455,343,307,125,241,61,146,1537,12858,694
4,13121,足立区,23679,9513,7728,3317,247,395,269,110,389,82,97,1532,22516,1163
4,13122,葛飾区,14969,7641,3284,1400,129,429,352,80,237,128,50,1239,13966,1003
4,13123,江戸川区,25294,11896,4510,2428,239,880,552,2402,439,131,91,1726,23496,1798
1,13200,市部,65657,25108,14558,6874,2820,2227,1641,701,1294,255,649,9530,62957,2700
4,13201,八王子市,9475,3954,1929,1098,241,328,300,88,135,28,44,1330,9020,455
4,13202,立川市,3298,1556,792,307,109,35,68,65,41,7,17,301,3197,101
4,13203,武蔵野市,2480,870,542,75,368,37,81,34,33,13,69,358,2277,203
4,13204,三鷹市,2958,1005,687,160,272,70,49,19,55,30,87,524,2794,164
4,13205,青梅市,1454,387,226,365,58,45,14,6,66,2,5,280,1421,33
4,13206,府中市,4277,1635,807,472,234,117,60,52,85,31,34,750,4110,167
4,13207,昭島市,2192,780,566,245,52,118,94,38,36,4,6,253,2048,144
4,13208,調布市,3633,1405,1020,285,130,86,44,57,80,23,34,469,3534,99
4,13209,町田市,4902,1970,1064,513,177,125,35,78,109,6,60,765,4780,122
4,13210,小金井市,2038,906,293,106,125,73,75,18,54,15,36,337,1999,39
4,13211,小平市,4123,1397,1544,250,93,134,37,21,85,12,29,521,3961,162
4,13212,日野市,2561,1105,500,231,59,192,69,12,53,13,22,305,2449,112
4,13213,東村山市,2255,892,587,239,41,52,68,7,35,23,15,296,2088,167
4,13214,国分寺市,1731,782,412,97,68,61,57,9,19,5,26,195,1675,56
4,13215,国立市,1314,537,331,69,50,31,54,25,22,1,12,182,1271,43
4,13218,福生市,2712,666,257,328,114,364,347,36,106,3,4,487,2533,179
4,13219,狛江市,1018,376,219,91,53,17,54,12,35,5,26,130,975,43
4,13220,東大和市,1074,413,291,245,25,11,2,3,21,1,11,51,1046,28
4,13221,清瀬市,1077,414,178,180,35,59,19,5,21,4,2,160,993,84
4,13222,東久留米市,1700,546,313,235,204,36,13,31,44,4,27,247,1634,66
4,13223,武蔵村山市,1159,424,187,294,28,56,2,3,23,0,1,141,1100,59
4,13224,多摩市,2047,856,492,233,56,47,46,24,32,8,17,236,2022,25
4,13225,稲城市,1115,408,278,170,30,19,6,10,24,0,13,157,1082,33
4,13227,羽村市,1175,195,101,220,43,26,7,6,14,2,11,550,1195,-20
4,13228,あきる野市,650,175,134,103,50,27,5,8,15,0,4,129,626,24
4,13229,西東京市,3239,1454,808,263,105,61,35,34,51,15,37,376,3127,112
1,13550,町村部,922,143,175,262,62,54,2,2,22,2,1,197,867,55
2,13300,郡部,677,129,90,194,43,49,2,2,15,2,1,150,640,37
4,13303,瑞穂町,554,101,63,171,24,46,0,2,13,2,0,132,527,27
4,13305,日の出町,81,22,17,15,12,0,2,0,1,0,0,12,77,4
4,13307,檜原村,13,0,6,3,4,0,0,0,0,0,0,0,13,0
4,13308,奥多摩町,29,6,4,5,3,3,0,0,1,0,1,6,23,6
2,13350,島部,245,14,85,68,19,5,0,0,7,0,0,47,227,18
3,13360,大島支庁,72,7,13,5,3,0,0,0,5,0,0,39,58,14
3,13380,三宅支庁,51,1,20,19,6,5,0,0,0,0,0,0,43,8
3,13400,八丈支庁,103,4,47,43,3,0,0,0,2,0,0,4,105,-2
3,13420,小笠原支庁,19,2,5,1,7,0,0,0,0,0,0,4,21,-2
,,,,,,,,,,,,,,,,
外国人人口　平成27年1月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人人口 （平成27年1月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成２７年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
