地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,ベトナム,ネパール,インド,タイ,ミャンマー,英国,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,421639,173656,93627,28859,16378,16026,15095,8983,7142,5822,5411,50640,396160,25479
1,13100,区部,354895,148377,79102,21688,13461,13550,13411,8281,5842,5575,4747,40861,332383,22512
4,13101,千代田区,2501,1133,391,51,161,25,61,84,40,8,65,482,2451,50
4,13102,中央区,5287,2237,1140,123,288,99,82,265,53,24,110,866,5021,266
4,13103,港区,18708,3753,3517,910,3372,137,98,612,177,38,803,5291,18442,266
4,13104,新宿区,36128,13112,10428,705,975,2597,2395,216,700,1310,339,3351,33815,2313
4,13105,文京区,7786,3286,1860,198,278,337,243,80,190,156,97,1061,7111,675
4,13106,台東区,13287,6188,3388,648,212,416,415,651,302,88,72,907,12712,575
4,13107,墨田区,9895,4811,1942,1239,125,198,201,66,360,64,56,833,9395,500
4,13108,江東区,22965,11783,4538,1426,371,441,354,1507,317,252,110,1866,21541,1424
4,13109,品川区,10836,4066,2275,701,553,273,560,362,165,186,174,1521,10554,282
4,13110,目黒区,7383,1721,1505,487,766,105,245,159,143,45,350,1857,6970,413
4,13111,大田区,19482,7798,3729,2190,559,676,1395,229,421,150,172,2163,18684,798
4,13112,世田谷区,15838,4365,4066,781,1300,369,349,370,227,79,613,3319,14950,888
4,13113,渋谷区,9226,2026,1492,276,1387,186,166,169,165,39,618,2702,8957,269
4,13114,中野区,12513,4905,2796,414,432,903,843,80,207,198,136,1599,11187,1326
4,13115,杉並区,11680,4290,2546,439,604,640,974,99,200,136,257,1495,10755,925
4,13116,豊島区,21996,12017,2492,428,384,1589,1789,151,289,1163,136,1558,19710,2286
4,13117,北区,16242,8545,2713,769,171,776,622,123,153,685,68,1617,14786,1456
4,13118,荒川区,16165,7032,5741,517,138,777,571,100,157,329,50,753,15575,590
4,13119,板橋区,18129,10039,3090,1323,294,730,498,125,251,195,122,1462,16692,1437
4,13120,練馬区,13795,5634,3945,894,473,376,336,128,254,60,152,1543,12859,936
4,13121,足立区,24185,9937,7731,3337,247,447,272,111,388,86,100,1529,22630,1555
4,13122,葛飾区,15265,7772,3288,1421,132,457,368,82,251,131,50,1313,14144,1121
4,13123,江戸川区,25603,11927,4489,2411,239,996,574,2512,432,153,97,1773,23442,2161
1,13200,市部,65807,25137,14353,6906,2857,2416,1683,700,1278,245,663,9569,62914,2893
4,13201,八王子市,9480,3954,1891,1103,250,337,308,92,135,24,47,1339,9061,419
4,13202,立川市,3344,1580,788,310,109,42,76,64,44,7,17,307,3232,112
4,13203,武蔵野市,2516,887,542,77,365,48,85,30,34,13,71,364,2348,168
4,13204,三鷹市,2918,983,680,156,271,76,47,19,51,29,80,526,2739,179
4,13205,青梅市,1478,398,226,367,59,62,14,7,66,2,3,274,1428,50
4,13206,府中市,4237,1677,790,477,234,129,53,41,81,30,34,691,4049,188
4,13207,昭島市,2236,772,576,249,50,130,111,47,33,4,8,256,2079,157
4,13208,調布市,3576,1242,1013,287,127,92,45,56,78,20,34,582,3556,20
4,13209,町田市,5006,1994,1077,521,188,140,39,87,112,6,72,770,4796,210
4,13210,小金井市,2026,919,285,107,131,68,80,17,52,13,38,316,1983,43
4,13211,小平市,3898,1368,1391,240,99,136,36,14,77,10,29,498,3761,137
4,13212,日野市,2582,1146,496,241,60,183,63,8,53,13,24,295,2410,172
4,13213,東村山市,2233,881,583,241,40,54,71,7,40,22,14,280,2127,106
4,13214,国分寺市,1746,817,403,94,63,62,57,9,19,3,26,193,1708,38
4,13215,国立市,1341,544,342,68,52,38,55,28,23,1,11,179,1271,70
4,13218,福生市,2814,635,261,330,115,444,365,40,108,8,4,504,2552,262
4,13219,狛江市,1023,390,207,93,57,19,54,13,33,7,24,126,958,65
4,13220,東大和市,1064,408,287,246,22,11,3,3,20,1,11,52,1058,6
4,13221,清瀬市,1056,396,178,179,36,60,23,3,21,4,2,154,1002,54
4,13222,東久留米市,1742,567,325,240,210,38,12,31,43,4,28,244,1672,70
4,13223,武蔵村山市,1220,451,182,293,31,59,3,3,23,0,2,173,1112,108
4,13224,多摩市,2062,886,486,233,56,47,44,24,30,8,15,233,2016,46
4,13225,稲城市,1113,413,280,170,30,22,2,9,23,0,13,151,1094,19
4,13227,羽村市,1155,188,99,217,41,18,5,7,13,2,11,554,1202,-47
4,13228,あきる野市,664,180,133,107,49,28,6,8,17,0,4,132,628,36
4,13229,西東京市,3277,1461,832,260,112,73,26,33,49,14,41,376,3072,205
1,13550,町村部,937,142,172,265,60,60,1,2,22,2,1,210,863,74
2,13300,郡部,690,128,89,199,43,55,1,2,15,2,1,155,627,63
4,13303,瑞穂町,571,100,65,177,24,52,0,2,13,2,0,136,509,62
4,13305,日の出町,78,22,14,15,12,0,1,0,1,0,0,13,80,-2
4,13307,檜原村,12,0,6,2,4,0,0,0,0,0,0,0,13,-1
4,13308,奥多摩町,29,6,4,5,3,3,0,0,1,0,1,6,25,4
2,13350,島部,247,14,83,66,17,5,0,0,7,0,0,55,236,11
3,13360,大島支庁,75,7,12,5,2,0,0,0,5,0,0,44,66,9
3,13380,三宅支庁,50,1,20,18,6,5,0,0,0,0,0,0,45,5
3,13400,八丈支庁,104,4,46,42,3,0,0,0,2,0,0,7,107,-3
3,13420,小笠原支庁,18,2,5,1,6,0,0,0,0,0,0,4,18,0
,,,,,,,,,,,,,,,,
外国人人口　平成27年4月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人人口 （平成27年4月１日現在）,,,,,,,,,,,,,,,,
注1）国籍は、平成２７年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注2）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
