"年度[西暦]","東京都認証数"
"2018","800"
"2019","770"
"2020","767"
"2021","761"
"2022","747"
"2023","733"

"令和5年度港区行政資料集　区内に主たる事務所を有するＮＰＯ法人数","Ver202306"
