"年度","開示[件]","訂正[件]","削除[件]","目的外利用中止[件]","外部提供中止[件]","合計[件]"
"2015","83","0","0","0","0","83"
"2016","91","0","0","0","0","91"
"2017","90","1","1","0","0","92"
"2018","117","1","1","0","1","120"
"2019","100","0","0","0","0","100"

"令和2年度港区行政資料集　自己情報開示等請求件数","Ver202003",,,,,
