年度,訓練事業_生活介護,訓練事業_機能訓練,訓練事業_児童発達支援事業,その他の事業_入浴事業,その他の事業_入浴事業(人数),その他の事業_図書貸出事業,その他の事業_緊急一時入所事業,その他の事業_循環バス運行事業,その他の事業_施設貸出事業,その他の事業_施設貸出事業(人数),その他の事業_地域自立生活支援事業,その他の事業_地域自立生活支援事業(人数)
1982,710,1229,1866,425,190,120,20,6238,3918,505,…,…
1983,2222,2943,2456,950,328,366,35,10903,7710,601,…,…
1984,3147,3191,3288,960,372,378,47,11351,8221,618,…,…
1985,2823,3211,2833,937,367,551,109,15938,9922,708,…,…
1986,3764,4814,3251,1172,476,308,99,19507,10769,667,…,…
1987,3623,5580,3096,931,404,291,32,19963,9507,648,…,…
1988,3792,4519,1854,1102,476,238,39,15710,10431,961,…,…
1989,4023,3772,1829,1052,521,126,30,14708,11155,832,…,…
1990,4307,3702,4099,1335,617,57,15,14493,10936,904,…,…
1991,5360,3593,5243,1104,502,57,10,16396,9146,785,…,…
1992,5938,3612,5291,1030,489,74,20,17091,9318,925,…,…
1993,6287,3446,5575,656,302,21,17,17977,8201,744,…,…
1994,7418,3693,5254,506,232,37,17,19324,11082,825,…,…
1995,7949,3778,4244,454,202,18,11,20943,9992,543,…,…
1996,7839,4263,2670,508,233,23,11,20848,8964,773,…,…
1997,8626,4732,4308,365,172,3,19,20361,3937,291,…,…
1998,8999,4801,5143,329,159,22,67,20859,4043,499,…,…
1999,9290,3843,5000,256,209,24,289,20456,4813,372,…,…
2000,10087,3473,4882,434,400,14,250,22327,5336,433,…,…
2001,11103,2812,3654,762,714,80,371,23567,4867,438,4351,1892
2002,11636,3603,4629,862,862,347,511,23018,4803,533,4960,1835
2003,11884,3887,5215,774,774,630,480,23226,4359,492,5320,2128
2004,11477,4360,5208,820,820,494,424,23435,4324,493,7179,2688
2005,12229,4217,5110,796,796,415,490,24127,6176,598,8730,3908
2006,12661,4231,5934,705,705,479,471,25620,6419,587,10775,5262
2007,13333,3834,5735,565,565,246,521,27399,7926,644,9436,3870
2008,13714,4017,5576,430,430,313,422,28333,7435,648,12051,5011
2009,13293,3993,5263,394,394,235,366,26322,7195,683,14526,6587
2010,13543,3655,4826,274,274,266,366,25409,6468,738,14528,7047
2011,14035,3634,5430,452,452,204,471,27645,8115,995,19103,8880
2012,14198,4044,5592,457,457,342,533,29570,9185,1093,14373,6357
2013,13951,4120,5738,363,363,235,451,28967,8405,1032,6294,2630
2014,14021,5554,5049,410,410,172,631,29296,9313,1071,4507,1862
2015,14335,5169,4941,436,436,210,603,28442,9282,956,4001,1672
2016,13756,4576,5104,352,352,237,514,27332,9233,1054,4126,1530
2017,13249,4014,5829,257,257,91,462,28966,10640,1153,4842,1431
2018,12678,3379,5636,175,175,205,301,27807,9818,1111,5655,1122
2019,13316,3157,5433,185,185,89,410,28193,7732,863,3981,1703
2020,11524,2175,4563,199,199,43,205,22300,5956,711,2082,1176
2022,11210,2497,4807,170,170,27,207,21470,9407,817,5058,1750
2023,10915,2827,5333,111,111,15,252,21005,9392,891,3539,4610
