年度,法律相談(件),人権身の上相談(件),行政相談(件),交通事故相談(件),税務相談(件),登記相談(件),労務相談(件),労働相談(件),不動産取引相談(件),住宅建築相談(件),外国人相談(件),年金･労災･雇用保険相談(昭和57年度以前は年金のみ)(件),相続･遺言等暮らしの書類作成相談(件)
1960,16,0,…,0,…,…,…,…,…,…,…,…,…
1961,128,0,…,0,…,…,…,…,…,…,…,…,…
1962,122,0,…,0,0,…,…,…,…,…,…,…,…
1963,239,0,…,0,0,…,…,…,…,…,…,…,…
1964,261,26,…,0,0,…,…,…,…,…,…,…,…
1965,349,56,…,0,0,…,…,…,…,…,…,…,…
1966,353,43,…,0,0,…,…,…,…,…,…,…,…
1967,425,49,…,21,0,…,…,…,…,…,…,…,…
1968,446,52,…,32,0,0,…,…,…,…,…,…,…
1969,549,40,…,36,0,0,…,…,…,…,…,…,…
1970,536,50,0,46,0,0,…,…,…,…,…,…,…
1971,532,44,0,39,27,0,…,…,…,…,…,…,…
1972,637,34,0,39,58,38,…,…,…,…,…,…,…
1973,489,36,0,37,61,55,…,…,…,…,…,…,…
1974,600,31,24,39,54,51,…,…,…,…,…,0,…
1975,640,34,10,27,39,30,…,…,…,…,…,0,…
1976,609,60,15,44,57,41,…,…,…,…,…,0,…
1977,710,57,25,46,61,43,…,…,…,…,…,0,…
1978,659,50,14,42,119,72,…,…,…,…,…,193,…
1979,709,58,14,57,101,58,…,0,0,…,…,144,…
1980,637,50,23,52,91,49,…,0,0,…,…,123,…
1981,746,66,20,35,93,65,…,7,0,…,…,162,…
1982,742,60,13,68,110,73,…,15,0,…,…,58,…
1983,707,71,12,48,100,60,…,12,45,…,…,…,…
1984,770,76,11,54,100,72,…,9,44,0,…,…,…
1985,732,70,24,57,114,68,…,6,95,0,0,…,…
1986,789,76,18,55,134,78,…,4,96,0,0,…,…
1987,699,112,11,66,217,84,…,3,95,10,0,…,…
1988,725,97,24,67,158,68,…,7,80,25,0,…,…
1989,887,123,74,109,244,98,…,11,68,25,16,…,…
1990,958,84,85,93,244,108,…,10,63,16,51,…,…
1991,1088,99,127,69,250,101,…,16,70,19,77,…,…
1992,1070,112,87,84,250,75,…,11,84,13,60,…,…
1993,1253,94,66,97,229,96,…,11,54,18,46,…,…
1994,1203,84,55,62,217,83,…,8,101,10,20,…,…
1995,1173,110,56,54,205,82,…,9,64,6,15,…,…
1996,1203,104,69,98,227,74,…,30,90,11,8,…,…
1997,1201,102,28,90,176,61,…,17,109,14,8,…,…
1998,1433,112,22,104,197,72,…,17,84,16,7,…,…
1999,1504,114,9,138,202,84,…,11,91,14,4,…,…
2000,1492,114,9,138,210,89,…,17,92,13,70,…,…
2001,1710,86,6,176,208,97,…,14,73,16,49,…,…
2002,1786,90,11,134,149,67,…,15,62,10,55,…,…
2003,1681,100,9,124,167,59,…,9,83,18,33,…,41
2004,1566,93,11,107,156,51,…,10,78,12,46,…,36
2005,1582,92,18,121,161,53,…,6,76,18,28,…,50
2006,1525,65,22,77,150,59,…,7,85,15,16,…,47
2007,1421,79,10,66,110,33,…,7,74,8,18,…,46
2008,1310,65,5,54,114,50,…,16,73,19,18,…,41
2009,1411,48,11,75,134,35,…,11,56,9,8,28,32
2010,1474,84,20,79,128,40,6,…,41,14,9,13,73
2011,1524,82,16,83,148,61,19,…,55,21,8,16,69
2012,1354,89,23,87,155,50,25,…,79,16,2,14,65
2013,1329,55,33,85,167,64,23,…,60,23,1,17,66
2014,1348,61,29,80,187,56,12,…,64,13,4,6,64
2015,1333,69,26,54,185,58,19,…,49,16,0,8,59
2016,1306,64,23,58,188,42,17,…,65,13,3,9,62
2017,1362,64,29,48,195,51,18,…,61,10,3,9,67
2018,1396,45,37,49,207,56,17,…,63,6,15,15,70
2019,1354,70,40,66,268,61,19,…,61,11,12,13,64
2020,892,1,18,34,176,34,4,…,31,7,16,11,35
2021,1220,22,6,25,251,61,21,…,60,5,25,18,63
2022,1452,42,36,53,275,64,18,…,38,9,6,14,47
2023,1388,23,25,33,274,70,22,…,57,11,1,15,48
