年度,市民プール_総数(人),市民プール_大人(人),市民プール_生徒(人),市民プール_子ども(人),市民プール(ナイター)_総数(人),市民プール(ナイター)_大人(人),市民プール(ナイター)_生徒(人),市民プール(ナイター)_子ども(人),美好水遊び広場_総数(人),美好水遊び広場_大人(人),美好水遊び広場_生徒(人),美好水遊び広場_子ども(人),小柳プール_総数(人),小柳プール_大人(人),小柳プール_生徒(人),小柳プール_子ども(人),総合プール_総数(人),総合プール_大人(人),総合プール_生徒(人),総合プール_子ども(人),西府プール_総数(人),西府プール_大人(人),西府プール_生徒(人),西府プール_子ども(人),白糸台プール_総数(人),白糸台プール_大人(人),白糸台プール_生徒(人),白糸台プール_子ども(人),武蔵台プール_総数(人),武蔵台プール_大人(人),武蔵台プール_生徒(人),武蔵台プール_子ども(人),新町プール_総数(人),新町プール_大人(人),新町プール_生徒(人),新町プール_子ども(人)
1973,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,207938,70300,6871,130767,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1974,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,138663,46809,4525,87329,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1975,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,187864,62433,5973,119458,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1976,32200,…,…,…,…,…,…,…,17239,…,…,…,12036,…,…,…,140303,49358,4334,86611,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1977,30773,…,…,…,…,…,…,…,13318,…,…,…,9973,…,…,…,128740,43277,4109,81354,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1978,47222,…,…,…,…,…,…,…,19626,…,…,…,17179,…,…,…,193980,71270,5907,116803,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1979,31467,…,…,…,…,…,…,…,13059,…,…,…,12973,…,…,…,134543,47749,3828,82966,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1980,23835,…,…,…,…,…,…,…,10013,…,…,…,8426,…,…,…,104005,31952,2792,69261,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1981,35995,…,…,…,…,…,…,…,2827,…,…,…,17070,…,…,…,163751,54184,5261,104306,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1982,32110,…,…,…,2300,…,…,…,14867,…,…,…,11623,…,…,…,167026,55070,5105,106851,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1983,37771,…,…,…,4581,…,…,…,14920,…,…,…,19949,…,…,…,153073,52516,5613,94944,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1984,40658,…,…,…,6556,…,…,…,14361,…,…,…,24416,…,…,…,187114,70616,7840,108658,18389,…,…,…,29929,…,…,…,27690,…,…,…,…,…,…,…
1985,35667,…,…,…,5549,…,…,…,15950,…,…,…,27506,…,…,…,183751,67986,7545,108220,19303,…,…,…,28275,…,…,…,28784,…,…,…,30554,…,…,…
1986,26853,…,…,…,5260,…,…,…,12414,…,…,…,19937,…,…,…,151220,57607,5403,88210,15095,…,…,…,22979,…,…,…,22952,…,…,…,25044,…,…,…
1987,15496,…,…,…,2598,…,…,…,8234,…,…,…,12362,…,…,…,101765,39437,3107,59221,10273,…,…,…,13487,…,…,…,14766,…,…,…,16004,…,…,…
1988,17512,4760,686,12066,2463,1031,324,1108,8855,2374,3,6478,13779,3657,32,10090,108416,39746,3068,65602,11189,2964,36,8189,15738,4077,129,11532,15277,4183,31,11063,18006,4461,48,13497
1989,22779,6416,863,15500,3233,1532,384,1317,11999,3522,5,8472,15825,3853,26,11946,119839,45643,3757,70439,13781,3717,50,10014,19259,4817,88,14354,17819,4599,41,13179,21796,5312,43,16441
1990,22440,6906,632,14902,3998,2034,436,1528,11047,3665,2,7380,17755,4604,35,13116,148661,62228,4573,81860,16261,4478,33,11750,21986,5940,91,15955,22420,6490,34,15896,24357,6403,88,17866
1991,17943,5577,364,12002,2888,1456,297,1135,13480,5002,9,8469,13785,3540,28,10217,110553,46532,3074,60947,11563,2802,35,8726,16072,4243,84,11745,15632,4328,68,11236,16544,4164,34,12346
1992,21805,7803,658,13344,3892,2261,381,1250,17598,6991,4,10603,17389,4757,39,12593,149460,66140,4021,79299,14442,3774,51,10617,20706,5839,67,14800,18622,5760,61,12801,20233,5385,156,14692
1993,10520,4387,288,5845,1507,841,134,532,11088,4087,4,6997,9424,2412,33,6979,91060,40188,2280,48592,8165,2076,40,6049,9919,2708,55,7156,11037,3410,43,7584,9010,2548,23,6439
1994,18584,8353,398,9833,2396,1460,165,771,17440,6968,3,10469,16095,4487,25,11583,146006,68573,3216,74217,13064,3714,38,9312,18441,5569,43,12829,18305,5878,116,12311,16384,4803,37,11544
1995,17486,7963,456,9067,2523,1530,135,858,15827,6454,3,9370,14342,4195,24,10123,139774,66944,2892,69938,13216,3944,72,9200,17166,5339,61,11766,17688,5500,87,12101,16875,5151,40,11684
1996,11571,4935,213,6423,1617,902,71,644,9993,3912,0,6081,9995,2747,59,7189,94023,42237,2144,49642,9120,2387,45,6688,11041,2984,51,8006,11318,3153,53,8112,10541,2775,51,7715
1997,12079,5421,332,6326,1724,1025,194,505,9985,4095,6,5884,10522,3363,22,7137,96336,45162,1907,49267,7630,2284,51,5295,8545,2597,34,5914,10674,3463,46,7165,9128,2739,33,6356
1998,8345,3719,238,4388,1381,749,192,440,7828,3158,2,4668,8257,2506,11,5740,75913,34335,1467,40111,5982,1809,32,4141,7613,2167,32,5414,8625,2630,64,5931,7043,2027,31,4985
1999,13721,6359,265,7097,2623,1592,249,782,11540,4733,2,6805,11875,3644,19,8212,107698,48689,2242,56767,8155,2596,38,5521,11158,3467,31,7660,13077,3774,107,9196,9627,2992,76,6559
