年度,現年課税分_調定額(円),現年課税分_収納額(円),現年課税分_収納率(%),滞納繰越分_調定額(円),滞納繰越分_収納額(円),滞納繰越分_収納率(％)
1954,6583148,5669095,86.1,523750,282333,53.9
1955,8375620,6794634,81.1,1150400,458016,39.8
1956,9403156,7725070,82.2,2475929,966328,39
1957,12918750,10966440,84.9,3118624,918543,29.5
1958,16055740,12828880,79.9,4091113,846766,20.7
1959,16357860,13515810,82.6,6060668,1215761,20.1
1960,19687490,16278182,82.7,6989055,1800243,25.8
1961,28399390,23375100,82.3,8315719,1325957,15.9
1962,34701920,28951820,83.4,11446661,2928612,25.6
1963,35855510,31032440,86.5,13162759,3526180,26.8
1964,44290000,37648040,85,13573559,4680320,34.5
1965,58031240,48954310,84.4,14277909,7374242,51.6
1966,67271520,56725350,84.3,15079437,5838333,38.7
1967,77554920,66400420,85.6,18552394,7598112,41
1968,82965160,71170420,85.8,20458572,10814071,52.9
1969,96337150,89847140,93.3,20227831,10927000,54
1970,116806910,105470300,90.3,14201621,6379139,44.9
1971,170880450,155590809,91.1,17418662,8569731,49.2
1972,207310870,190799250,92,22027572,11512510,52.3
1973,226603150,210760340,93.00856586,25068562,13965260,55.70826121
1974,276084710,258959620,93.79716102,25516012,13399640,52.51463277
1975,310467870,291627255,93.93154113,27873322,14608783,52.41134516
1976,641619920,592652180,92.3681079,30973322,15917563,51.39120369
1977,704579080,650528120,92.32861697,62550341,29621528,47.35630138
1978,898077130,830607064,92.4872749,83752383,37958162,45.32188893
1979,1015957060,913659890,89.93095535,107889004,47324150,43.86373796
1980,1103140720,996714360,90.35242213,158946914,62774971,39.49429996
1981,1384512370,1241155780,89.7,197022163,67971438,34.49938675
1982,1446358990,1322829240,91.45926075,267221765,91767648,34.34138233
1983,1530851670,1394070070,91.06499979,289905097,87182399,30.07273756
1984,1528261720,1404782150,91.92026023,330401848,99181694,30.01850462
1985,1683158160,1546211580,91.86371291,341639644,95041296,27.81916492
1986,2216765790,2040684070,92.05681896,371502638,106564706,28.68477774
1987,2331016770,2159731650,92.65191387,422506192,124246102,29.40693044
1988,2344435700,2181945680,93.06912022,433405840,127467418,29.41063692
1989,2354439400,2212772118,93.98297183,435636552,126168396,28.96184799
1990,2506046500,2362861860,94.28643323,436374708,123835248,28.37819097
1991,2775420100,2595954210,93.53373963,436308700,102590297,23.51323661
1992,2975200100,2757197530,92.67267536,488352543,108472288,22.21188147
1993,3112244500,2856279295,91.77554318,564018925,137322275,24.34710413
1994,3190288000,2921860810,91.58611417,650753295,141256185,21.7065647
1995,3293255800,3008553280,91.35498311,739919810,154219430,20.84272213
1996,3350557900,3059864300,91.32402398,826628250,161427570,19.52843615
1997,3497053300,3189062020,91.19283426,916150360,158479073,17.29836934
1998,3999237700,3610035545,90.26809147,1019155377,168545240,16.53773741
1999,4408584100,3937608860,89.31685935,1147255562,176294719,15.36664758
2000,5070725600,4501980440,88.78375197,1312743454,211428688,16.10586496
2001,5217355900,4605531320,88.27328264,1537575521,242989931,15.8034469
2002,5409620400,4755338231,87.90521108,1740288918,270788546,15.55997646
2003,5432387100,4784757801,88.07836616,2040568537,298591240,14.63274742
2004,5481219600,4826394817,88.05330144,2161553336,329264817,15.23278707
2005,5530835800,4912443379,88.81918677,2328641892,368456440,15.8228039
2006,6092356600,5440720280,89.30403516,2383200134,369172489,15.49062052
2007,6072815470,5419539495,89.24261772,2301044853,435363607,18.92025731
2008,5045253400,4385245069,86.91823227,2060665705,381340648,18.50570168
2009,5016462700,4369002731,87.09329646,2060025813,362467880,17.59530768
2010,4756828600,4164456590,87.54691287,2127427676,363252044,17.07470708
2011,5031967000,4462909110,88.69114424,2180718068,395686182,18.14476561
2012,5163539000,4587963826,88.8530875,2187292254,401915336,18.37501757
2013,5101374956,4649695404,91.14592525,2208801667,410668704,18.59237568
2014,5024396200,4648505059,92.51868033,2118411987,351507987,16.59299462
2015,4818195600,4500701593,93.41052059,1829027798,337150514,18.4333182
2016,4562800800,4258807048,93.33756249,1451762271,361210660,24.88084084
2017,4331568300,4082242179,94.24397577,1039382765,319886939,30.7766253
2018,4210169000,3967901065,94.24564822,871964574,258054995,29.59466505
2019,4207780700,3908624319,92.8903999,748347826,235305668,31.44335559
2023,3998089800,3795828746,94.94105775,664371616,206827081,31.13123379
