年度,市民陸上競技場(人),市民球場(人),市民球場ナイター(人),市民第1野球場(旧：少年野球場)(人),市民第1野球場ナイター(人),市民第2野球場(人),市民サッカー場(旧：陸上競技場兼サッカー場)(人),その他の野球場(人),調布暫定少年サッカー場(旧：関東村少年サッカー場)(人),府中朝日フットボールパーク(旧：朝日サッカー場)(人)
1976,16734,13860,…,10649,…,48195,8830,…,…,…
1977,12159,17231,…,12139,…,32841,3316,…,…,…
1978,17051,15800,…,10987,…,58131,9924,…,…,…
1979,17853,17499,…,21363,…,49973,7834,…,…,…
1980,9089,17959,…,19830,…,56158,18687,…,…,…
1981,17541,11971,…,21091,…,51655,13374,…,…,…
1982,11850,7402,…,16590,…,50808,14626,…,…,…
1983,22002,16512,…,23664,…,39118,22191,…,…,…
1984,15767,17122,…,20671,…,41078,30085,43555,54510,…
1985,10980,17712,3559,15299,…,37112,30839,86567,52380,…
1986,15302,14602,3361,19169,…,38002,28387,90021,51970,…
1987,18889,19151,3494,15941,4331,35810,27153,93643,67940,…
1988,24955,17270,3380,40927,9510,39142,29500,64119,65400,…
1989,41765,17550,2844,50218,11774,37802,32777,84359,65000,…
1990,77711,26053,4015,58341,13637,41446,39149,116154,72500,…
1991,44303,20558,3055,44713,12899,35638,36272,74168,69750,…
1992,56985,19372,3509,67535,14207,54489,40165,90317,58960,…
1993,51281,29794,4448,44310,12812,42314,23344,89079,51011,…
1994,65393,30046,3645,41022,13483,40986,26966,97772,67901,…
1995,54006,35621,4750,55324,11670,43067,21911,80885,90015,…
1996,54139,28521,6032,49859,13132,40941,15740,82687,71644,…
1997,56592,28096,3726,40507,13040,35143,15853,74058,59520,…
1998,43767,21055,2878,35162,9504,31205,13590,70929,62988,…
1999,43397,21373,2762,34286,10537,34150,16119,74046,51151,…
2000,43276,17873,2730,34391,9826,30525,16368,86903,40256,12806
2001,43943,23223,3316,36815,8842,31991,13769,108835,87561,13325
2002,45578,21665,3626,39262,8827,31440,12900,105050,83595,14738
2003,50291,22832,4791,40830,7771,30481,11977,134787,73834,13978
2004,46890,32443,5917,48917,8596,35654,16172,111097,53570,13000
2005,55381,32012,4323,57265,9004,38401,13996,132803,72652,18993
2006,65399,33392,3488,51334,8293,32850,11147,134919,75604,15168
2007,63927,24588,5994,52376,14208,45009,8625,141796,84788,5885
2008,57875,22321,9450,100798,19844,36893,9729,159151,76039,6772
2009,67721,23826,6839,51275,9095,32745,30178,163629,77097,6114
2010,68963,21566,6376,51280,9717,33755,33146,155779,74343,6620
2011,67614,34437,9375,51796,6636,33764,31951,183421,44264,8232
2012,76322,28201,8593,53784,7853,33131,33692,196107,58594,2433
2013,73493,25101,5316,52547,7228,34521,33871,178242,56151,16352
2014,55982,23033,5376,60849,7535,32206,42964,218298,54053,14155
2015,66661,23105,4979,64542,6706,32827,45238,171372,33900,12382
2016,67973,29649,5149,63638,7087,34238,42632,181701,62402,12172
2017,69067,23712,6534,59170,7858,32014,46482,176831,71866,0
2018,73027,19907,10384,59964,8061,34074,47698,181558,76040,0
2019,62001,26381,10356,57299,6348,23984,31463,159178,78300,0
2020,24549,12579,7206,45840,4424,14381,21679,134782,65005,0
2023,71582,28918,15098,60762,5664,38031,46595,173268,91570,55529
