年度,総数,一類,二類,三類,四類
2007,85,0,80,3,2
2008,61,0,54,6,1
2009,67,0,63,4,0
2010,69,0,60,6,3
2011,80,0,72,7,1
2012,63,0,57,4,2
2013,69,0,62,4,3
2014,86,0,78,2,6
2015,64,0,58,1,5
2016,49,0,40,7,2
2017,56,0,45,8,3
2018,64,0,50,5,9
2019,56,0,45,7,4
2020,42,0,34,4,4
2021,36,0,30,5,1
2022,29,0,24,2,3
