年度,総合体育館_総数(人),総合体育館_大人(人),総合体育館_子ども(人),朝日体育館_総数(人),朝日体育館_大人(人),朝日体育館_子ども(人),栄町体育館_総数(人),栄町体育館_大人(人),栄町体育館_子ども(人),四谷体育館_総数(人),四谷体育館_大人(人),四谷体育館_子ども(人),日吉体育館_総数(人),日吉体育館_大人(人),日吉体育館_子ども(人),白糸台体育館_総数(人),白糸台体育館_大人(人),白糸台体育館_子ども(人),押立体育館_総数(人),押立体育館_大人(人),押立体育館_子ども(人),本宿体育館_総数(人),本宿体育館_大人(人),本宿体育館_子ども(人)
1973,32528,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1974,40779,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1975,38651,…,…,15919,2842,13077,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1976,40539,…,…,9573,2199,7374,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1977,48898,…,…,13686,2026,11660,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1978,51235,…,…,10464,2557,7907,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1979,55696,…,…,6498,539,5959,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1980,61722,41699,20023,2990,633,2357,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1981,65453,49044,16409,1165,440,725,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1982,60344,44024,16320,1186,765,421,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1983,61737,46185,15552,1558,779,779,5614,2569,3045,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1984,61065,45792,15273,1519,777,742,17348,11029,6319,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1985,63662,47074,16588,1687,769,918,17605,12236,5369,11516,4332,7184,5430,3319,2111,…,…,…,…,…,…,…,….,…
1986,37904,28765,9139,659,456,203,16647,10785,5862,15866,7811,8055,7221,4666,2555,22636,11272,11364,21935,8946,12989,…,…,…
1987,19742,16019,3723,444,286,158,14813,9341,5472,13270,8636,4634,5835,4523,1312,18366,10592,7774,26838,13735,13103,11364,6535,4829
1988,66547,50369,16178,881,807,74,15320,8826,6494,15166,9190,5976,7384,5437,1947,16643,8228,8415,22585,10883,11702,21215,14214,7001
1989,99210,80639,18571,1079,1041,38,16293,9066,7227,13143,8267,4876,5717,4612,1105,16477,8694,7783,20919,10113,10806,19306,12504,6802
1990,102475,84890,17585,1456,1094,362,17582,10548,7034,13153,9128,4025,4308,3618,690,15291,6903,8388,21864,10888,10976,18833,12783,6050
1991,113811,96661,17150,1260,923,337,18389,10830,7559,14526,10322,4204,4652,4104,548,17695,8964,8731,22818,10853,11965,23310,14776,8534
1992,128283,112731,15552,1400,1132,268,24003,14767,9236,17013,11585,5428,4920,4722,198,20534,10408,10126,26017,11954,14063,25946,15836,10110
1993,117169,102248,14921,2010,1651,359,22827,14392,8435,16114,10923,5191,4011,3702,309,18535,11184,7351,26254,13367,12887,23634,15472,8162
1994,108790,93724,15066,1734,1343,391,24107,15489,8618,15470,10528,4942,3979,3582,397,19721,10546,9175,24630,13232,11398,24700,15678,9022
1995,101971,87806,14165,1897,1516,381,21275,14795,6480,15876,10496,5380,3898,3567,331,18321,10042,8279,25320,14582,10738,23994,16075,7919
1996,97425,85940,11485,1846,1682,164,21210,15064,6146,13553,9785,3768,3906,3574,332,17451,11046,6405,25809,15741,10068,23494,16946,6548
