年度,総数(稼働単位),学習室(稼働単位),学研室(稼働単位),第1会議室(稼働単位),第2会議室(稼働単位),和室(稼働単位),工芸室(稼働単位),保育室(稼働単位),小会議室(稼働単位),料理講習室(稼働単位)
1994,343,216,40,28,38,21,0,…,…,…
1995,1754,416,290,253,228,364,203,…,…,…
1996,2403,709,362,363,287,437,245,…,…,…
1997,2641,762,405,394,336,436,308,…,…,…
1998,3121,892,437,493,369,499,431,…,…,…
1999,3188,902,475,478,336,498,499,…,…,…
2000,3228,1004,441,483,334,486,480,…,…,…
2001,3411,1037,474,497,378,500,525,…,…,…
2002,3508,1069,466,529,409,472,563,…,…,…
2003,3738,1104,531,557,430,500,616,…,…,…
2004,3651,1012,494,589,417,514,625,…,…,…
2005,3913,1063,465,614,538,505,728,…,…,…
2006,3866,969,453,538,553,561,541,251,…,…
2007,4044,1013,515,537,550,578,543,308,…,…
2008,3699,954,466,485,512,563,455,264,…,…
2009,3366,866,447,472,462,510,407,202,…,…
2010,3195,781,423,487,400,499,419,186,…,…
2011,3240,809,377,542,440,486,375,211,…,…
2012,3274,802,382,540,503,477,371,199,…,…
2013,3606,841,409,508,520,526,355,447,…,…
2014,3675,847,446,520,513,500,379,470,…,…
2015,3496,811,429,538,498,513,284,423,…,…
2016,3389,774,434,528,483,503,331,336,…,…
2017,2840,509,419,475,460,489,271,166,39,12
2018,3043,492,442,468,472,492,269,166,181,61
2019,2781,446,409,393,425,395,214,169,239,91
2020,1132,243,193,223,204,122,54,78,0,15
2021,1733,364,283,317,309,201,129,115,0,15
2022,2562,506,434,476,491,284,143,154,0,74
2023,2856,579,430,520,515,305,159,161,0,187
