年度,注意報発令回数,警報発令回数,被害者届出数
1975,30,0,8
1976,12,0,1
1977,17,0,0
1978,18,0,0
1979,12,0,4
1980,11,0,3
1981,9,0,0
1982,14,0,0
1983,19,0,7
1984,26,0,0
1985,17,0,0
1986,7,0,0
1987,7,0,0
1988,2,0,0
1989,4,0,15
1990,21,0,0
1991,11,0,0
1992,11,0,0
1993,2,0,0
1994,8,0,0
1995,16,0,0
1996,5,0,0
1997,6,0,0
1998,7,0,0
1999,4,0,0
2000,13,0,0
2001,13,0,0
2002,15,0,0
2003,6,0,0
2004,12,0,0
2005,11,0,0
2006,14,0,0
2007,11,0,0
2008,11,0,0
2009,4,0,0
2010,12,0,0
2011,3,0,0
2012,2,0,0
2013,11,0,0
2014,5,0,0
2015,8,0,0
2016,3,0,0
2017,1,0,0
2018,4,0,0
2019,5,0,0
2020,1,0,0
2021,2,0,0
2022,3,0,0
2023,3,0,0
