年度,中央文化センター_児童館利用者数,中央文化センター_高齢者福祉館利用者数,中央文化センター_施設稼働回数,白糸台文化センター_児童館利用者数,白糸台文化センター_高齢者福祉館利用者数,白糸台文化センター_施設稼働回数,西府文化センター_児童館利用者数,西府文化センター_高齢者福祉館利用者数,西府文化センター_施設稼働回数,武蔵台文化センター_児童館利用者数,武蔵台文化センター_高齢者福祉館利用者数,武蔵台文化センター_施設稼働回数,新町文化センター_児童館利用者数,新町文化センター_高齢者福祉館利用者数,新町文化センター_施設稼働回数,住吉文化センター_児童館利用者数,住吉文化センター_高齢者福祉館利用者数,住吉文化センター_施設稼働回数,是政文化センター_児童館利用者数,是政文化センター_高齢者福祉館利用者数,是政文化センター_施設稼働回数,紅葉丘文化センター_児童館利用者数,紅葉丘文化センター_高齢者福祉館利用者数,紅葉丘文化センター_施設稼働回数,押立文化センター_児童館利用者数,押立文化センター_高齢者福祉館利用者数,押立文化センター_施設稼働回数,四谷文化センター_児童館利用者数,四谷文化センター_高齢者福祉館利用者数,四谷文化センター_施設稼働回数,片町文化センター_児童館利用者数,片町文化センター_高齢者福祉館利用者数,片町文化センター_施設稼働回数
1971,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1972,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1973,…,…,…,75812,18452,912,51025,16151,480,99087,11886,572,11531,826,11,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1974,…,…,…,116647,20733,1068,53852,15719,827,95540,16963,1360,116347,21784,572,95496,21602,989,38330,5953,193,…,…,…,…,…,…,…,…,…,…,…,…
1975,…,…,…,103673,20276,1132,53335,16662,994,88518,23578,1489,93424,25538,798,95778,24131,1613,81745,12673,651,77837,15212,330,…,…,…,…,…,…,…,…,…
1976,…,…,…,90199,25178,1355,54518,15715,1107,88150,25744,1789,93714,34958,1012,100265,23753,1927,75482,13096,1155,77108,19027,894,…,…,…,…,…,…,…,…,…
1977,…,…,…,90988,23874,1420,54735,14774,1007,88603,27796,1763,90548,35053,1271,104151,24796,2502,80382,14267,1360,87136,21803,1319,…,…,…,…,…,…,…,…,…
1978,…,…,…,95719,27266,1417,56622,14574,888,88780,28897,1787,95756,39379,1536,99846,21736,2411,66721,15206,1412,95710,23441,1283,…,…,…,…,…,…,…,…,…
1979,…,…,…,93115,23334,1688,42295,11743,883,81227,26638,1402,80879,27887,1723,87243,22680,1788,65983,15747,1399,80383,23313,1522,…,…,…,…,…,…,…,…,…
1980,…,…,…,87745,20049,2420,50747,11462,1350,62299,19367,2031,69859,24891,2282,78467,23470,2508,64037,15142,1980,75371,22637,2109,…,…,…,…,…,…,…,…,…
1981,…,…,…,80055,18331,2482,61147,15328,2038,58887,19699,2382,78740,28031,1864,74840,25134,2848,63764,14352,2232,73259,23121,2433,…,…,…,…,…,…,…,…,…
1982,26406,26153,2876,88424,17551,2719,74807,20605,2250,68899,22494,2261,80964,28901,2633,88562,30121,2642,67258,18382,2077,86001,28304,2150,…,…,…,…,…,…,…,…,…
1983,27377,43679,5883,75022,15078,2700,58708,20678,2399,46223,25720,2257,55085,29038,2470,76412,28372,2308,59630,18858,2077,68701,38739,2437,…,…,…,…,…,…,…,…,…
1984,94575,104740,6647,72515,17080,2693,52349,20170,2318,40849,23341,2246,46622,27229,2367,57780,26483,2302,65739,22339,2059,51357,21458,2337,…,…,…,…,…,…,…,…,…
1985,106766,114240,6930,85176,27520,2975,65146,30470,2609,57466,30100,2607,57836,33030,2645,68166,35780,2684,71366,29540,2745,60106,28900,2590,…,…,…,…,…,…,…,…,…
