年度,総数,放送受信契約数,衛星契約数,カラー契約,普通契約
1973/3/31,38663,…,…,29748,8915
1974/3/31,40314,…,…,32808,7506
1975/3/31,41830,…,…,34994,6836
1976/3/31,42525,…,…,36102,6423
1977/3/31,44654,…,…,38456,6198
1978/3/31,46083,…,…,39746,6337
1979/3/31,45443,…,…,39650,5793
1980/3/31,45197,…,…,39741,5456
1981/3/31,45915,…,…,40519,5396
1982/3/31,46940,…,…,42189,4751
1983/3/31,48169,…,…,43677,4492
1984/3/31,49270,…,…,44859,4411
1985/3/31,49822,49822,0,45633,4189
1986/3/31,50648,50648,0,46668,3980
1987/3/31,51405,51405,0,47861,3544
1988/3/31,52304,52304,0,49073,3231
1989/3/31,53277,51617,1660,…,…
1990/3/31,58403,54881,3522,…,…
1991/3/31,61815,56226,5589,…,…
1992/3/31,64938,57333,7605,…,…
1993/3/31,65648,57068,8580,…,…
1994/3/31,68835,58852,9983,…,…
1995/3/31,71257,60107,11150,…,…
1996/3/31,73480,61307,12173,…,…
1997/3/31,76043,62992,13051,…,…
1998/3/31,78146,63706,14440,…,…
1999/3/31,81350,64965,16385,…,…
2000/3/31,85425,66392,19033,…,…
2001/3/31,88362,67690,20672,…,…
2002/3/31,88559,67638,20921,…,…
2003/3/31,89945,68175,21770,…,…
2004/3/31,91173,68261,22912,…,…
2005/3/31,91936,68320,23616,…,…
2006/3/31,94080,69122,24958,…,…
2007/3/31,96280,69968,26312,…,…
2008/3/31,99251,71281,27970,…,…
2009/3/31,103201,73285,29916,…,…
2010/3/31,106447,74573,31874,…,…
2011/3/31,113339,78251,35088,…,…
2012/3/31,119403,81304,38099,…,…
2013/3/31,124187,84203,39984,…,…
2014/3/31,126931,85099,41832,…,…
2015/3/31,130579,87018,43561,…,…
2016/3/31,134507,88406,46101,…,…
2017/3/31,137745,89449,48296,…,…
2018/3/31,140111,90554,49557,…,…
2019/3/31,142192,91441,50751,…,…
2020/3/31,139977,89815,50162,…,…
2021/3/31,139547,89274,50273,…,…
2022/3/31,139813,89452,50361,…,…
