年度,総数(稼働単位),どりーむホール(稼働単位),ウィーンホール(稼働単位),ふるさとホール(稼働単位),平成の間(稼働単位),練習室(稼働単位),その他(稼働単位)
1991,3328,384,363,256,210,812,1303
1992,5763,546,668,419,298,1729,2103
1993,6203,520,706,445,320,2029,2183
1994,5985,529,667,493,328,1789,2179
1995,6089,520,665,444,272,2061,2127
1996,6059,508,600,458,350,1997,2146
1997,5970,501,653,477,327,1872,2140
1998,6303,610,582,470,387,2013,2241
1999,6668,577,697,489,396,2112,2397
2000,6942,611,675,556,415,2125,2560
2001,7015,531,703,503,444,2213,2621
2002,6880,550,656,447,392,2325,2510
2003,7083,600,668,523,442,2180,2670
2004,7541,608,703,528,436,2644,2622
2005,7592,616,705,599,460,2565,2647
2006,8126,666,763,639,502,2749,2807
2007,8118,657,756,618,455,2847,2785
2008,7269,502,624,478,335,2893,2437
2009,7339,550,659,577,348,2731,2474
2010,3980,311,376,323,220,1353,1397
2011,7907,651,692,594,453,2868,2649
2012,8138,617,694,628,453,3001,2745
2013,8436,674,711,660,478,3037,2876
2014,8438,737,747,630,466,2967,2891
2015,8375,738,700,670,439,3047,2781
2016,8334,756,783,627,456,2907,2805
2017,8191,741,717,652,448,2916,2717
2018,8062,714,724,629,490,2818,2687
2019,7451,592,636,548,463,2729,2483
2020,4116,294,402,246,234,1580,1360
2021,6745,599,654,491,327,2392,2282
2022,7960,732,746,591,491,2742,2658
2023,8557,762,828,635,552,2867,2913
