時点,病院_施設数,病院_病床数_総数,病院_病床数_一般,病院_病床数_療養型,病院_病床数_結核,病院_病床数_精神,病院_病床数_感染症,一般診療所_施設数_総数,一般診療所_施設数_有床,一般診療所_施設数_無床,一般診療所_病床数_総数,一般診療所_病床数_一般,一般診療所_病床数_療養型,歯科診療所_施設数_総数,歯科診療所_施設数_有床,歯科診療所_施設数_無床,助産所_施設数_総数,助産所_施設数_有床,助産所_施設数_無床,施術所_総数,施術所_あマ指・はり・きゅう,施術所_柔道整復,歯科技工所,薬局
1966/3/31,7,1718,225,…,831,662,…,104,…,…,188,188,…,35,…,…,38,…,…,30,…,…,7,…
1967/3/31,7,1618,307,…,641,670,…,110,…,…,202,202,…,35,…,…,38,…,…,33,…,…,8,…
1968/3/31,8,1818,507,…,641,670,…,113,…,…,198,198,…,39,…,…,35,…,…,36,…,…,8,…
1969/3/31,8,1990,507,…,831,652,0,115,…,…,206,206,…,42,…,…,36,…,…,37,…,…,9,…
1970/3/31,9,2215,727,…,706,782,0,115,…,…,227,227,…,42,…,…,35,…,…,40,…,…,8,…
1971/3/31,10,2257,904,…,656,697,0,115,…,…,202,202,…,48,…,…,35,…,…,49,…,…,8,…
1972/3/31,10,2265,904,…,656,705,0,114,…,…,259,259,…,48,…,…,33,…,…,51,…,…,10,…
1973/3/31,9,2245,884,…,656,705,0,116,46,70,282,282,…,48,…,…,33,4,29,55,…,…,10,…
1974/3/31,9,2305,944,…,656,705,0,117,44,73,269,269,…,50,…,…,35,4,31,57,…,…,9,…
1975/3/31,9,2425,972,…,754,699,0,122,43,79,277,277,…,55,…,…,35,4,31,62,…,…,11,…
1976/3/31,9,2449,996,…,754,699,0,126,42,84,278,278,…,59,…,…,16,4,12,55,…,…,12,…
1977/3/31,9,2019,996,…,324,699,0,127,42,85,278,278,…,59,…,…,14,2,12,58,…,…,15,…
1978/3/31,9,2019,1052,…,268,699,0,127,42,85,268,268,…,60,…,…,14,2,12,58,…,…,16,…
1979/3/31,10,2099,1212,…,268,619,0,129,39,90,250,250,…,61,…,…,14,2,12,63,…,…,17,34
1980/3/31,11,2478,1535,…,268,675,0,132,39,93,250,250,…,65,…,…,14,2,12,60,…,…,17,36
1981/3/31,12,2627,1684,…,268,675,0,132,39,93,258,258,…,73,…,…,11,2,9,70,…,…,19,38
1982/3/31,12,2714,1754,…,268,692,0,133,33,100,196,196,…,75,…,…,11,2,9,73,…,…,20,37
1983/3/31,12,2710,1750,…,268,692,0,134,33,101,195,195,…,75,…,…,11,2,9,78,…,…,21,41
1984/3/31,12,2706,1746,…,268,692,0,134,32,102,187,187,…,78,…,…,11,2,9,79,…,…,24,41
1985/3/31,12,2716,1756,…,268,692,0,133,31,102,180,180,…,80,…,…,11,2,9,84,…,…,26,42
1986/3/31,12,2742,1782,…,268,692,0,134,32,102,180,180,…,84,…,…,11,2,9,88,…,…,30,44
1987/3/31,12,2739,1782,…,268,689,0,136,32,104,180,180,…,91,…,…,11,2,9,85,…,…,30,43
1988/3/31,12,2739,1782,…,268,689,0,137,31,106,179,179,…,96,…,…,11,2,9,93,…,…,30,42
1989/3/31,12,2739,1782,…,268,689,0,137,32,105,175,175,…,99,…,…,11,2,9,96,…,…,29,42
1990/3/31,12,2739,1782,…,268,689,0,138,29,109,198,198,…,102,…,…,9,1,8,99,…,…,30,45
1991/3/31,12,3032,2136,…,172,724,0,138,29,109,198,198,…,103,…,…,9,1,8,111,…,…,29,43
1992/3/31,12,3045,2136,…,220,689,0,141,27,114,182,182,…,109,…,…,9,1,8,114,…,…,29,44
1993/3/31,12,2904,2084,…,96,724,0,140,27,113,180,180,…,112,…,…,9,1,8,112,…,…,32,48
1994/3/31,12,2892,2072,…,96,724,0,141,19,122,128,128,…,115,…,…,3,1,2,117,…,…,29,48
1995/3/31,12,2904,2084,…,96,724,0,143,19,124,128,128,…,118,…,…,3,1,2,125,…,…,31,57
1996/3/31,12,2891,2119,…,48,724,0,146,22,124,134,134,…,116,…,…,3,0,3,135,…,…,30,67
1997/3/31,12,2890,2118,…,48,724,0,151,18,133,119,119,…,116,…,…,1,0,1,136,…,…,31,71
1998/3/31,12,2732,1974,…,48,710,0,154,19,135,123,123,…,118,…,…,1,0,1,142,…,…,33,75
