年度,出産育児一時金_件数,出産育児一時金_金額(円),助産費_件数,助産費_金額(円),葬祭費_件数,葬祭費_金額(円),育児手当金_件数,育児手当金_金額(円),結核・精神医療給付金_件数,結核・精神医療給付金_金額(円),傷病手当金_件数,傷病手当金_金額(円)
1954,…,…,383,283000,117,234000,0,0,…,…,…,…
1955,…,…,200,200000,132,264000,0,0,…,…,…,…
1956,…,…,249,249000,140,280000,0,0,…,…,…,…
1957,…,…,227,227000,123,246000,0,0,…,…,…,…
1958,…,…,225,225000,110,220000,0,0,…,…,…,…
1959,…,…,215,215000,132,264000,0,0,…,…,…,…
1960,…,…,241,241000,139,278000,0,0,…,…,…,…
1961,…,…,297,415000,160,383000,0,0,…,…,…,…
1962,…,…,327,526000,123,306000,0,0,…,…,…,…
1963,…,…,386,763000,136,340000,0,0,…,…,…,…
1964,…,…,451,1282000,142,413000,0,0,…,…,…,…
1965,…,…,551,1649000,151,451500,0,0,…,…,…,…
1966,…,…,560,1680000,152,456000,0,0,…,…,…,…
1967,…,…,800,2400000,188,564000,0,0,…,…,…,…
1968,…,…,800,2400000,155,465000,0,0,…,…,…,…
1969,…,…,878,5805000,184,552000,725,1450000,…,…,…,…
1970,…,…,890,8893000,211,957000,887,1774000,…,…,…,…
1971,…,…,916,9160000,218,1064000,909,1818000,…,…,…,…
1972,…,…,931,9310000,200,1000000,918,1836000,…,…,…,…
1973,…,…,936,9360000,208,1040000,924,1848000,…,…,…,…
1974,…,…,871,16980000,206,1935000,863,1726000,…,…,…,…
1975,…,…,749,14980000,248,2455000,738,1476000,…,…,…,…
1976,…,…,632,24420000,304,3040000,622,1244000,…,…,…,…
1977,…,…,615,24600000,248,2480000,609,1218000,…,…,…,…
1978,…,…,617,36480000,292,5540000,603,1206000,…,…,…,…
1979,…,…,566,33940000,279,5570000,589,1178000,…,…,…,…
1980,…,…,501,39640000,373,10920000,514,1028000,…,…,…,…
1981,…,…,510,40780000,348,10430000,521,1042000,…,…,…,…
1982,…,…,410,40560000,356,10680000,436,872000,…,…,…,…
1983,…,…,449,44900000,390,11700000,472,944000,…,…,…,…
1984,…,…,419,41900000,368,11040000,449,898000,…,…,…,…
1985,…,…,355,35500000,404,12120000,368,736000,…,…,…,…
1986,…,…,367,47140000,411,12330000,370,740000,…,…,…,…
1987,…,…,382,49660000,394,11820000,402,804000,…,…,…,…
1988,…,…,327,42510000,486,14580000,343,686000,…,…,…,…
1989,…,…,308,40040000,468,14040000,309,618000,…,…,…,…
1990,0,0,337,43810000,454,13620000,334,668000,…,…,…,…
1991,0,0,321,41730000,499,14970000,319,638000,…,…,…,…
1992,0,0,282,66250000,528,15840000,298,596000,0,0,…,…
1993,0,0,310,74400000,541,16230000,313,626000,0,0,…,…
1994,138,41400000,208,49920000,630,18900000,214,428000,0,0,…,…
1995,336,100800000,2,480000,613,18390000,1,2000,3208,2517824,…,…
1996,352,105600000,1,240000,667,20010000,1,2000,6412,5690584,…,…
1997,349,104700000,0,0,742,22260000,0,0,7350,6375556,…,…
1998,345,103500000,0,0,762,50220000,0,0,8763,7019801,…,…
1999,420,126000000,0,0,841,58710000,0,0,10346,8939228,…,…
2000,385,115500000,0,0,765,53550000,0,0,11723,9943864,…,…
2001,399,119700000,0,0,776,54320000,0,0,13369,10947698,…,…
2002,411,123300000,0,0,805,56350000,0,0,14231,11504659,…,…
2003,375,112500000,0,0,888,62160000,0,0,11171,9125957,…,…
2004,437,131100000,0,0,950,66500000,0,0,12177,9915789,…,…
2005,332,99600000,0,0,1013,70910000,0,0,13427,10858301,…,…
2006,357,123800000,0,0,978,68460000,0,0,9722,10615320,…,…
2007,374,130900000,…,…,1071,74970000,…,…,8430,9832011,…,…
2008,352,132150000,…,…,381,21170000,…,…,9334,10683927,…,…
2009,328,133132125,…,…,313,15710000,…,…,11222,13010728,…,…
2010,366,152633929,…,…,266,13300000,…,…,12032,13625406,…,…
2011,359,149760985,…,…,280,14000000,…,…,12689,14509534,…,…
2012,328,135362922,…,…,299,14950000,…,…,14050,16342918,…,…
2013,301,126630271,…,…,293,14650000,…,…,15453,17706959,…,…
2014,293,123425830,…,…,295,14750000,…,…,16358,18643054,…,…
2015,247,103658118,…,…,259,12950000,…,…,17008,19340888,…,…
2016,244,102404527,…,…,296,14800000,…,…,17732,19983920,…,…
2017,215,89710133,…,…,249,12450000,…,…,18609,21130182,…,…
2018,199,83788976,…,…,266,13300000,…,…,18946,20441767,…,…
2019,177,73604566,…,…,242,12100000,…,…,19447,20718643,…,…
2022,133,55622795,…,…,263,13150000,…,…,21174,22056819,94,3805183
2023,116,55787581,…,…,231,11550000,…,…,22127,22808409,7,111467
