時点,総数_延長(メートル),総数_面積(平方メートル),コンクリート_延長(メートル),コンクリート_面積(平方メートル),コンクリート平板_延長(メートル),コンクリート平板_面積(平方メートル),ブロック_延長(メートル),ブロック_面積(平方メートル),高級アスファルト_延長(メートル),高級アスファルト_面積(平方メートル),簡易_延長(メートル),簡易_面積(平方メートル),砂利_延長(メートル),砂利_面積(平方メートル),その他_延長(メートル),その他_面積(平方メートル)
1970/4/1,313148,1346601,1932,14438,0,37504,0,0,18330,194814,258365,984095,34521,115750,0,0
1971/4/1,318990,1470975,3335,39287,0,39960,0,0,56520,408215,230024,868781,29111,114732,0,0
1972/4/1,321658,1489151,3048,36886,0,39960,0,0,68093,483769,235868,894266,14649,34270,0,0
1973/4/1,325455,1512068,3335,39287,0,39960,0,0,67806,473188,238197,905535,16117,45918,0,8180
1974/4/1,335351,1709110,1742,30092,0,33660,0,0,86439,728613,233974,880766,13196,32084,0,3895
1975/4/1,341279,1731320,4634,64802,0,0,0,0,85179,701451,240281,938432,11185,22740,0,3895
1976/4/1,344588,1751003,4634,61848,0,0,0,0,85905,691013,243305,973640,10744,20789,0,3713
1977/4/1,361778,1903380,3758,59587,0,0,0,0,86801,690841,269674,1140420,1545,8769,0,3763
1978/4/1,363708,2101593,0,21571,0,0,0,0,91093,911467,271818,1156939,797,5848,0,5768
1979/4/1,365974,2130236,0,21942,0,0,0,0,91239,910876,272779,1165945,1956,23871,0,7602
1980/4/1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1981/4/1,371262,2212900,2230,57206,0,0,0,0,105332,1169389,261716,950772,1984,11035,0,24498
1982/4/1,358631,2448013,2230,58287,0,0,0,0,342678,2024401,1487,308605,12236,32222,0,24498
1983/4/1,358976,2461092,2230,64175,0,0,0,0,343137,2014956,1487,324850,12122,31470,0,25641
1984/4/1,364180,2508847,3022,234051,0,7920,0,0,115117,1010824,224211,1134552,12575,29746,9255,91754
1985/4/1,365813,2546427,3022,234087,0,5402,0,0,114880,1014210,226979,1176289,11889,27920,9043,88519
1986/4/1,388364,2681939,3022,260451,0,5153,0,0,122744,1055974,241663,1245459,11981,28248,8954,86654
1987/4/1,390270,2698495,3022,260740,0,5153,0,0,124564,1062784,242115,1255678,11723,27775,8846,86365
1988/4/1,391527,2705794,3022,263144,0,5153,0,0,126177,1063639,241812,1259811,11723,27775,8793,86272
1989/4/1,394494,2761530,3130,271916,0,4713,0,0,130355,1086693,241545,1278965,19464,46768,0,72475
1990/4/1,397121,2805168,3129,275352,*,4713,0,0,132344,1089430,242670,1318035,18978,45232,*,72406
1991/4/1,398760,2828257,3129,278806,*,4713,0,0,134949,1113364,241703,1311126,18979,45232,*,75016
1992/4/1,399248,2838255,3129,281701,*,4541,0,0,136673,1121150,240641,1311424,18759,44354,46,75085
1993/4/1,400866,2859398,3129,284641,*,4541,*,296,139235,1135935,239879,1314522,18623,44082,*,75381
1994/4/1,401652,2869856,3129,286208,*,4304,*,296,140192,1140669,239735,1318979,18596,44002,*,75398
1995/4/1,402198,2883567,3129,287916,*,4306,*,683,141339,1182084,239290,1302186,18440,43671,*,62721
1996/4/1,405135,2946576,3129,292740,*,14318,485,7658,145106,1214301,238086,1305085,18329,43373,*,69101
1997/4/1,406044,2959589,3129,293298,0,17332,485,7658,145851,1220185,238438,1309047,18141,43000,0,69069
1998/4/1,407878,3013387,3129,296592,0,17347,485,8102,147879,1254227,238273,1323272,18112,42937,0,70910
1999/4/1,431660,3191979,3549,301108,0,16560,358,14533,150572,1308030,259242,1431175,17939,42727,0,77846
2000/4/1,444122,3348220,3549,317432,0,16999,358,25595,154705,1358179,268138,1489816,17372,40402,0,99797
2001/4/1,446400,3364971,3549,321567,0,17118,540,26652,155122,1359964,269935,1499200,17254,40221,0,100249
2002/4/1,449495,3415168,3611,331615,0,18702,570,31082,157953,1376764,270232,1512051,17129,39991,0,104963
2003/4/1,453227,3462939,3611,338111,266,20179,570,31082,160816,1399535,270903,1528810,17061,39774,0,105448
2004/4/1,456447,3513504,3611,346416,265,20179,605,34358,162457,1409013,272608,1558727,16901,39152,0,105659
2005/4/1,460212,3550142,3611,358736,312,20368,605,37233,164696,1425611,274179,1561816,16809,39140,0,107238
2006/4/1,461989,3573068,3612,363173,335,20755,605,40329,164986,1428173,275737,1571918,16714,38969,0,109751
2007/4/1,465455,3632573,3612,366228,448,30931,1101,40041,166280,1445014,277521,1592688,16493,39831,0,117840
2008/4/1,467072,3674710,3612,371207,448,30930,1261,52281,167283,1453881,278105,1601871,16363,39522,0,125018
2009/4/1,468475,3691185,3554,373795,448,31007,1261,54153,167785,1458236,279513,1609831,15914,36869,0,127294
2010/4/1,468341,3663455,3554,377140,448,30779,1037,53908,167874,1437829,279606,1609407,15822,36728,0,117664
2011/4/1,471175,3681789,3554,378785,503,31259,1037,58127,168643,1441592,281814,1617777,15624,36249,0,118000
