時点,総数_公園数,総数_面積(100平方メートル),都市公園_住区基幹公園_公園総数,都市公園_住区基幹公園_面積(100平方メートル)総数,都市公園_住区基幹公園_街区公園(旧：児童公園)_公園数,都市公園_住区基幹公園_街区公園(旧：児童公園)_面積(100平方メートル),都市公園_住区基幹公園_近隣公園_公園数,都市公園_住区基幹公園_近隣公園_面積(100平方メートル),都市公園_住区基幹公園_地区公園_公園数,都市公園_住区基幹公園_地区公園_公園面積(100平方メートル),都市公園_都市基幹公園_総合公園_公園数,都市公園_都市基幹公園_総合公園_面積(100平方メートル),都市公園_都市基幹公園_運動公園_公園数,都市公園_都市基幹公園_運動公園_面積(100平方メートル),都市公園_広場_公園数,都市公園_広場_公園面積(100平方メートル),都市公園_特殊公園_公園数,都市公園_特殊公園_面積(100平方メートル),都市公園_特殊公園風致公園_公園数,都市公園_特殊公園風致公園_面積(100平方メートル),都市公園_特殊公園墓園_数,都市公園_特殊公園墓園_面積(100平方メートル),都市公園_広域公園_公園数,都市公園_広域公園_面積(100平方メートル),都市公園_都市緑地・緩衡緑地_数,都市公園_都市緑地・緩衡緑地_面積(100平方メートル),都市公園_緑道_数,都市公園_緑道_面積(100平方メートル),児童遊園_数,児童遊園_面積(100平方メートル),その他_公園数,その他_公園面積(100平方メートル)
1976/4/1,150,20580,51,19423,41,420,2,70,2,780,1,1390,2,2190,…,…,…,…,2,1701,1,12872,0,0,0,0,0,0,97,1117,2,40
1977/4/1,160,21172,68,20075,56,594,2,125,2,964,1,1397,2,2245,…,…,…,…,1,635,1,12818,1,1064,1,25,1,208,91,1046,1,51
1978/4/1,168,21600,76,20300,64,697,2,140,2,964,1,1397,2,2245,…,…,…,…,1,635,1,12818,1,1064,1,25,1,315,91,1074,1,226
1979/4/1,176,22177,87,20923,72,784,3,343,2,963,1,1397,2,2245,…,…,…,…,1,662,1,12818,1,1203,1,25,3,483,87,1028,2,226
1980/4/1,184,22472,95,21216,80,948,3,386,2,964,1,1397,2,2245,…,…,…,…,1,662,1,12818,1,1202,1,25,3,569,87,1030,2,226
1981/4/1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1982/4/1,190,22662,103,21451,88,1109,3,386,2,964,1,1397,2,2245,…,…,…,…,1,709,1,12818,1,1202,1,25,3,596,85,985,2,226
1983/4/1,198,22834,114,21677,99,1273,3,386,2,964,1,1397,2,2245,…,…,…,…,1,734,1,12818,1,1202,1,25,3,633,82,931,2,226
1984/4/1,206,23859,123,22711,107,1402,3,417,3,1471,1,1397,1,2597,…,…,…,…,1,734,1,12802,1,1202,1,25,4,664,82,921,1,227
1985/4/1,216,24113,130,23120,112,1531,4,478,3,1471,1,1397,1,2595,…,…,…,…,1,734,1,12802,1,1202,1,25,5,885,85,958,1,35
1986/4/1,220,24604,139,23667,118,1614,7,900,3,1513,1,1397,1,2595,…,…,…,…,1,734,1,12802,1,1202,1,25,5,885,81,937,0,0
1987/4/1,230,25663,149,24735,125,1713,7,963,3,1515,1,2235,1,2595,…,…,…,…,1,734,1,12802,1,1203,1,25,8,950,80,915,1,13
1989/3/31,228,25698,154,24807,130,1785,7,963,3,1515,1,2235,1,2595,…,…,…,…,1,734,1,12802,1,1203,1,25,8,950,74,891,0,0
1990/3/31,233,26291,159,25400,133,1836,7,963,3,1517,1,2702,1,2595,…,…,…,…,1,734,1,12802,1,1245,1,25,10,981,74,891,0,0
1991/3/31,232,26311,163,25494,136,1890,7,977,2,1006,1,2702,2,3103,…,…,…,…,1,734,1,12802,1,1248,1,25,11,1007,69,817,0,0
1992/3/31,232,25599,164,24811,138,1919,7,977,2,1006,1,2702,2,3104,…,…,…,…,0,0,1,12802,1,1269,1,25,11,1007,68,788,0,0
1993/3/31,235,28035,171,27314,142,1968,7,977,2,1006,2,4377,2,3104,…,…,…,…,3,2048,1,12802,0,0,1,25,11,1007,64,721,0,0
1994/3/31,240,28124,181,27465,151,2036,8,1068,2,968,2,4381,2,3104,…,…,…,…,3,2067,1,12802,0,0,1,25,11,1014,59,659,0,0
1995/3/31,244,28144,185,27503,155,2074,8,1068,2,968,2,4381,2,3104,…,…,…,…,3,2067,1,12802,0,0,1,25,11,1014,59,641,0,0
1996/3/31,245,28204,189,27583,156,2083,8,1068,2,968,2,4381,2,3104,…,…,…,…,3,2067,1,12802,0,0,1,26,14,1084,56,621,0,0
1997/3/31,249,28234,194,27630,161,2122,8,1061,2,968,2,4381,2,3104,…,…,…,…,3,2082,1,12802,0,0,1,26,14,1084,55,604,0,0
