年度,総数(点),カセットテープ(点),ＣＤ(点),ＤＶＤ(点),ビデオテープ(点),レーザーディスク(点),録音図書(点)
1988,140534,68813,71721,…,…,…,…
1989,238079,56061,148107,…,33911,…,…
1990,310509,71535,182025,…,56949,…,…
1991,328042,58463,203142,…,66437,…,…
1992,344936,45278,222640,…,77018,…,…
1993,359229,26495,232958,…,97578,2198,…
1994,348438,25594,215479,…,105293,2072,…
1995,372308,23525,215760,…,131335,1688,…
1996,366987,20514,201241,…,143766,1466,…
1997,360043,18994,201662,…,137764,1623,…
1998,386722,16216,197318,…,171629,1559,…
1999,384162,14208,202771,…,165720,1463,…
2000,384126,13671,210148,…,158869,1438,…
2001,417323,11970,228205,2986,172592,1570,…
2002,405908,9462,220498,9390,165404,1154,…
2003,401694,7941,222087,21041,149253,1072,300
2004,376115,5905,216617,36595,115547,1136,315
2005,357308,5377,214837,43055,92588,1027,424
2006,332566,4512,202234,51250,73324,858,388
2007,302237,2610,174331,72628,51462,441,765
2008,458729,2272,256441,136592,60829,1288,1307
2009,441647,2680,257846,131848,47221,1471,581
2010,392130,2125,226777,128824,31724,2414,266
2011,362982,2166,211445,125269,21747,2102,253
2012,331021,1349,197630,116532,13529,1771,210
2013,314042,1326,178011,122621,10083,1735,266
2014,281191,819,157700,113868,6640,2027,137
2015,249121,1064,141559,98662,6037,1694,105
2016,223176,889,129651,86513,4585,1538,…
2017,195414,498,115545,74716,3245,1410,…
2018,182056,411,106559,70884,2833,1369,…
2019,167692,382,102275,61055,2780,1200,…
2020,121848,397,74520,44924,1563,444,…
2021,144359,264,83056,58719,1679,641,…
2022,85473,178,49935,33838,961,561,…
2023,135377,150,79172,54152,1147,756,…
