年度,総数(稼働単位),あすかホール(旧：大ホール)(稼働単位),小ホール、会議室等小計(稼働単位),鳳凰の間(旧：小ホール)(稼働単位),会議室等小計(稼働単位),会議室(稼働単位),和室(稼働単位),茶室(稼働単位),結婚式場(稼働単位),宴会(稼働単位),コンベンションホール飛鳥(稼働単位),会議室(稼働単位),料理講習室(稼働単位),音楽練習室(稼働単位),レクリエーションルーム(稼働単位),その他(稼働単位)
1966,1588,157,1431,…,…,…,…,…,…,…,…,…,…,…,…,…
1967,2227,188,2039,…,…,…,…,…,…,…,…,…,…,…,…,…
1968,2612,208,2404,…,…,…,…,…,…,…,…,…,…,…,…,…
1969,2319,186,2133,…,…,…,…,…,…,…,…,…,…,…,…,…
1970,3345,217,2395,…,…,…,…,…,507,226,…,…,…,…,…,…
1971,3778,193,2513,…,…,…,…,…,865,207,…,…,…,…,…,…
1972,3841,196,2619,…,…,…,…,…,854,172,…,…,…,…,…,…
1973,3980,220,2734,335,2399,…,…,…,844,182,…,…,…,…,…,…
1974,3738,229,2618,365,2253,…,…,…,731,160,…,…,…,…,…,…
1975,3703,215,2652,294,2358,…,…,…,662,174,…,…,…,…,…,…
1976,3707,268,2652,305,2347,…,…,…,625,162,…,…,…,…,…,…
1977,3399,204,2560,302,2258,…,…,…,499,136,…,…,…,…,…,…
1978,4098,275,3184,333,2851,…,…,…,479,160,…,…,…,…,…,…
1979,5594,605,4379,529,3850,…,…,…,476,134,…,…,…,…,…,…
1980,5091,576,3951,461,3490,2087,304,262,433,131,…,…,…,…,…,837
1981,5193,572,4101,478,3623,2218,292,261,348,172,…,…,…,…,…,852
1982,5725,621,4607,514,4093,2507,328,272,356,141,…,…,…,…,…,986
1983,6040,489,5093,587,4506,2743,401,306,283,175,…,…,…,…,…,1056
1984,6254,572,5178,570,4608,2750,421,319,311,193,…,…,…,…,…,1118
1985,7421,641,6274,637,5637,3317,527,328,269,237,…,…,…,…,…,1465
1986,7805,671,6603,666,5937,3485,576,350,235,296,…,…,…,…,…,1526
1987,7649,643,6446,691,5755,3423,486,299,223,337,…,…,…,…,…,1547
1988,7486,642,6351,696,5655,3345,489,310,195,298,…,…,…,…,…,1511
1989,8050,696,6850,693,6157,3610,559,339,165,339,…,…,…,…,…,1649
1990,7988,660,6848,718,6130,4162,561,422,165,315,…,…,…,…,…,985
1991,4949,475,4044,495,3549,2308,346,254,149,281,…,…,…,…,…,641
1992,6817,590,5698,752,4946,2904,600,361,173,356,…,…,…,…,…,1081
1993,7236,611,6112,706,5406,3503,554,329,153,360,…,…,…,…,…,1020
1994,4775,435,3970,463,3507,2325,350,210,99,271,…,…,…,…,…,622
1995,6002,480,5100,551,4549,3007,424,291,107,315,…,…,…,…,…,827
1996,6646,529,5617,577,5040,3330,459,406,90,410,…,…,…,…,…,845
1997,7146,554,6006,640,5366,3440,547,444,91,495,…,…,…,…,…,935
1998,7068,496,5948,622,5326,3477,499,477,78,546,…,…,…,…,…,873
1999,7067,526,5918,651,5267,3442,495,415,85,538,…,…,…,…,…,915
2000,7050,476,5988,601,5387,3496,500,527,52,534,…,…,…,…,…,864
2001,7207,537,6131,625,5506,3571,529,534,54,485,…,…,…,…,…,872
2002,7067,529,6020,594,5426,3568,489,436,39,479,…,…,…,…,…,933
2003,7208,491,6221,656,5565,3693,553,430,15,481,…,…,…,…,…,889
2004,7128,482,6277,636,5641,3682,559,439,17,352,…,…,…,…,…,961
2005,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2007,2205,…,…,…,…,…,…,…,…,…,771,830,133,245,136,90
2008,6732,…,…,…,…,…,…,…,…,…,2000,2939,363,804,430,196
2009,7406,…,…,…,…,…,…,…,…,…,2312,3144,387,856,485,222
2010,7517,…,…,…,…,…,…,…,…,…,2164,3278,441,872,519,243
2011,7427,…,…,…,…,…,…,…,…,…,2193,3163,436,816,546,273
2012,7599,…,…,…,…,…,…,…,…,…,2243,3204,457,867,561,267
2013,7376,…,…,…,…,…,…,…,…,…,2197,3081,394,869,622,213
2014,7441,…,…,…,…,…,…,…,…,…,2142,3132,457,858,606,246
2015,7474,…,…,…,…,…,…,…,…,…,2293,3171,372,851,568,219
2016,7604,…,…,…,…,…,…,…,…,…,2231,3240,466,851,569,247
2017,6955,…,…,…,…,…,…,…,…,…,2179,2938,332,803,478,225
2018,7384,…,…,…,…,…,…,…,…,…,2403,3189,238,837,502,215
2019,6893,…,…,…,…,…,…,…,…,…,2258,2968,216,787,466,198
2020,3002,…,…,…,…,…,…,…,…,…,886,1528,51,353,162,22
2021,5116,…,…,…,…,…,…,…,…,…,1604,2525,52,608,276,51
2022,3422,…,…,…,…,…,…,…,…,…,1081,1699,45,346,193,58
2023,6807,…,…,…,…,…,…,…,…,…,2348,3155,138,652,364,150
