年度,総数(人),日本語学習会_ボランティア(人),日本語学習会_学習者(人),児童学習支援_ボランティア(人),児童学習支援_学習者(人),交流事業(人),講座・研修(人)
2004,9770,3504,4154,34,36,2042,…
2005,10341,3693,4084,220,227,2117,…
2006,10180,3792,4387,231,178,1592,…
2007,11327,4349,4996,379,271,1332,…
2008,11323,4160,4753,332,295,1783,…
2009,11594,4372,4730,359,312,1821,…
2010,11375,4092,4371,448,440,1541,483
2011,10074,3923,3390,404,379,1287,691
2012,10306,3821,3966,405,342,1462,310
2013,10754,4118,4115,348,277,1129,767
2014,11261,4265,4212,543,456,923,862
2015,12123,4650,4462,615,524,958,914
2016,13055,4918,4702,561,508,1202,1164
2017,12493,5120,4827,385,275,907,979
2018,10506,4384,4107,362,271,923,459
2019,9736,4019,3900,265,219,734,599
2020,2801,1482,1181,69,69,0,0
2021,3208,1560,1013,322,150,80,83
2022,6287,3076,2245,146,59,313,448
2023,5950,2968,2189,…,…,285,508
