年度,寿町庭球場(旧：市営庭球場),市民庭球場(旧：健康センター庭球場),武蔵台庭球場,小柳庭球場,押立庭球場,四谷庭球場,栄町庭球場,住吉庭球場,若松庭球場,西府庭球場,日新庭球場,紅葉丘庭球場,日新第２庭球場,紅葉丘第2庭球場,平和の森庭球場,浅間庭球場,浅間第二庭球場
1976,24063,17670,27911,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1977,27406,14937,18090,19696,…,…,…,…,…,…,…,…,…,…,…,…,…
1978,28752,16071,14472,26364,…,…,…,…,…,…,…,…,…,…,…,…,…
1979,28567,20261,16691,31773,14062,…,…,…,…,…,…,…,…,…,…,…,…
1980,22661,29093,18924,34389,22036,16081,…,…,…,…,…,…,…,…,…,…,…
1981,32324,31763,20263,41251,24614,22110,…,…,…,…,…,…,…,…,…,…,…
1982,24129,28370,17363,39400,22701,18148,15131,…,…,…,…,…,…,…,…,14705,…
1983,23976,20769,19368,41560,22133,18457,10184,…,…,…,…,…,…,…,…,32549,17797
1984,25404,23303,29239,45739,24909,26741,18469,…,…,…,…,…,…,…,…,38352,20311
1985,22940,23841,22120,36287,22440,18888,18774,27670,3919,…,…,…,…,…,…,27670,18596
1986,21317,19149,20139,38074,19682,10420,18897,22039,13101,6193,2244,380,…,…,…,28023,14932
1987,21713,21257,28537,43527,18580,10361,30832,23913,14188,17331,15939,14457,14498,10690,…,45642,24262
1988,20391,27546,19097,38705,14932,8809,20386,19524,14923,14869,13808,13095,13120,13179,…,10854,7964
1989,21121,26732,14016,41621,16416,7220,19737,11954,16049,15925,14648,14277,13606,15218,14382,…,…
1990,18524,38733,33334,66194,19916,10333,43214,22168,19569,21964,16464,16222,20186,15359,21391,…,…
1991,20825,30418,22981,49971,20286,11282,28320,23662,15204,19750,17027,15932,17498,15227,19113,…,…
1992,23449,30904,24542,59721,19572,18988,28664,23104,21006,19895,17710,17176,20244,17425,22284,…,…
1993,22308,28762,24984,56896,19883,20013,29169,21040,20842,20155,16764,16082,20239,16778,18814,…,…
1994,33319,46030,29634,66753,29690,30165,40186,28323,29724,29742,23600,21202,25237,22912,27658,…,…
1995,33722,36105,26838,77999,28161,29429,29657,25668,29196,27605,23537,15439,18323,21879,27058,…,…
1996,35188,32132,31051,82789,28492,30006,40395,26784,31755,27403,23606,23879,24040,20708,26677,…,…
1997,21016,21725,23122,56018,15881,19433,32949,18080,20002,17379,16104,15941,19531,13789,23775,…,…
1998,21874,17277,24322,55534,19256,20879,33449,19166,19253,17931,12410,18461,22202,11527,25094,…,…
1999,22610,16697,23908,55625,21010,20682,32509,19053,19900,17373,18532,18563,21275,16118,25835,…,…
2000,20712,18108,19843,49836,19709,18166,26673,17037,18475,14390,16175,16697,19366,14446,24384,…,…
2001,22315,18510,21029,57813,22551,19481,26914,17234,18398,16562,17024,17754,20527,15701,23313,…,…
2002,20726,19777,18112,59099,18989,19391,28538,17445,15134,14739,17169,17446,19688,15716,28260,…,…
2003,15200,24935,21336,46037,19090,18753,29976,15870,18701,14537,17711,17530,19966,16014,29530,…,…
2004,20371,25074,20821,59912,17877,15349,25024,17856,18502,14014,16806,17140,19504,16101,29564,…,…
2005,21420,25406,21033,53315,18723,18092,27997,15730,19403,13971,19605,17774,16523,16838,29970,…,…
2006,21845,21962,22260,51192,19182,18500,29236,14650,18917,14322,19786,17011,15980,17056,32322,…,…
2007,20507,20343,30378,91255,16964,15733,35667,23394,21126,10940,17981,13026,16448,16934,30959,…,…
2008,26732,26275,23831,88095,11896,17278,35728,20607,20403,17597,16835,33021,22977,15414,30360,…,…
2009,18761,21638,24876,92674,15697,16816,35857,20259,18419,12947,17502,18498,15639,11675,29728,…,…
2010,19735,17292,28367,93149,15866,16881,36715,23192,19677,13711,17758,17991,15627,15248,31824,…,…
2011,23921,17714,27353,84440,15697,17997,37272,24602,18962,20403,14663,18458,17216,15977,30871,…,…
2012,17199,18274,30508,83519,14798,14672,37771,23495,15965,13526,16173,19228,15090,15422,22138,…,…
2013,15667,19920,23925,73541,14061,13950,35420,22735,14892,11734,15668,16601,13950,13182,28857,…,…
2014,17598,20036,25080,65222,14973,15498,26730,23811,16599,11580,16294,17238,14200,13146,29944,…,…
2015,15954,21162,26507,26921,17167,14535,36016,23512,15430,11964,18571,17915,13948,13585,28589,…,…
2016,15988,17812,24568,78605,15929,14822,33695,25057,8879,11706,16306,18058,14704,14018,29203,…,…
2017,15575,17189,20296,77750,14442,14098,36330,22876,15264,13691,15598,15235,14093,13385,25854,…,…
2018,15174,15454,20144,73993,15488,15659,39920,20575,16103,11038,3918,15099,16063,4714,26386,…,…
2019,10680,38073,19404,69412,15285,15366,42942,20634,14534,10204,…,14384,11551,7135,26273,…,…
2020,12867,35263,13874,48361,11918,7978,28318,14650,10848,8216,…,10735,12386,5282,20876,…,…
2023,15835,50584,18429,64986,15842,14032,40483,17626,14187,10474,…,13974,15541,7314,25276,…,…
