時点,総数,総数_一般(人),総数_児童(人),中央図書館_総数(人),中央図書館_一般(人),中央図書館_児童(人),移動図書館_総数(人),移動図書館_一般(人),移動図書館_児童(人),白糸台図書館_総数(人),白糸台図書館_一般(人),白糸台図書館_児童(人),西府図書館_総数(人),西府図書館_一般(人),西府図書館_児童(人),武蔵台図書館_総数(人),武蔵台図書館_一般(人),武蔵台図書館_児童(人),新町図書館_総数(人),新町図書館_一般(人),新町図書館_児童(人),住吉図書館_総数(人),住吉図書館_一般(人),住吉図書館_児童(人),是政図書館_総数(人),是政図書館_一般(人),是政図書館_児童(人),紅葉丘図書館_総数(人),紅葉丘図書館_一般(人),紅葉丘図書館_児童(人),押立図書館_総数(人),押立図書館_一般(人),押立図書館_児童(人),四谷図書館_総数(人),四谷図書館_一般(人),四谷図書館_児童(人),片町図書館_総数(人),片町図書館_一般(人),片町図書館_児童(人),中文・桜通り図書館_総数(人),中文・桜通り図書館_一般(人),中文・桜通り図書館_児童(人),宮町図書館_総数(人),宮町図書館_一般(人),宮町図書館_児童(人),生涯学習センター図書館_総数(人),生涯学習センター図書館_一般(人),生涯学習センター図書館_児童(人),,,,,押立図書館_総数(人),押立図書館_一般(人),押立図書館_児童(人)
1974/3/31,22794,…,…,9954,…,…,2557,…,…,3385,…,…,1532,…,…,3802,…,…,1564,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1975/3/31,27063,…,…,8125,…,…,1565,…,…,2841,…,…,1092,…,…,1479,…,…,5755,…,…,4349,…,…,1857,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1976/3/31,50140,25458,24682,16281,11024,5257,3094,1395,1699,5326,2637,2689,3177,1288,1889,4236,1764,2472,7863,3734,4129,3553,1290,2263,4147,1541,2606,2463,785,1678,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1977/3/31,69348,35055,34293,22949,15567,7382,4079,1797,2282,7204,3453,3751,4483,1724,2759,6032,2493,3539,9624,4592,5032,5706,2099,3607,5553,2084,3469,3718,1246,2472,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1978/3/31,86542,43500,43042,28179,19239,8940,4802,2106,2696,8840,4164,4676,5951,2252,3699,7849,3230,4619,11294,5362,5932,7524,2780,4744,7004,2592,4412,5099,1775,3324,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1979/3/31,105476,52740,52736,35339,11175,24164,5500,3070,2430,10355,5553,4802,7373,4635,2738,9195,5386,3809,12619,6709,5910,9192,5861,3331,8147,5156,2991,6450,4173,2277,431,331,100,875,691,184,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1980/3/31,49797,26352,23445,16011,11474,4537,2282,1002,1280,4567,2227,2340,3682,1560,2122,4174,1957,2217,4430,2206,2224,4921,2034,2887,3658,1553,2105,4072,1874,2198,652,162,490,1348,303,1045,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1981/3/31,68997,36498,32499,23760,16851,6909,2985,1296,1689,5895,2881,3014,5038,2063,2975,5732,2645,3087,5808,2750,3058,6749,2798,3951,5001,2047,2954,5506,2552,2954,866,229,637,1657,386,1271,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1982/3/31,86945,45650,41295,30849,21573,9276,4088,1793,2295,7061,3466,3595,6373,2550,3823,7138,3252,3886,7218,3341,3877,8187,3376,4811,6333,2505,3828,6709,3062,3647,1074,292,782,1915,440,1475,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,
1983/3/31,51126,27008,24118,17940,11900,6040,1900,815,1085,3871,2029,1842,3629,1403,2226,4299,2161,2138,4426,2162,2264,4948,2266,2682,3836,1675,2161,4284,2090,2194,762,203,559,808,204,604,…,…,…,423,100,323,…,…,…,…,…,…,,,,,,,
1984/3/31,69817,37012,32805,25795,17224,8571,2499,1094,1405,5130,2710,2420,4844,1864,2980,5600,2794,2806,5757,2747,3010,6510,2912,3598,5087,2199,2888,5381,2581,2800,1077,295,782,1090,277,813,…,…,…,1047,315,732,…,…,…,…,…,…,,,,,,,
