時点,総数,総数_一般(冊),総数_児童(冊),中央図書館_総数(冊),中央図書館_一般(冊),中央図書館_児童(冊),白糸台図書館_総数(冊),白糸台図書館_一般(冊),白糸台図書館_児童(冊),西府図書館_総数(冊),西府図書館_一般(冊),西府図書館_児童(冊),武蔵台図書館_総数(冊),武蔵台図書館_一般(冊),武蔵台図書館_児童(冊),新町図書館_総数(冊),新町図書館_一般(冊),新町図書館_児童(冊),住吉図書館_総数(冊),住吉図書館_一般(冊),住吉図書館_児童(冊),是政図書館_総数(冊),是政図書館_一般(冊),是政図書館_児童(冊),紅葉丘図書館_総数(冊),紅葉丘図書館_一般(冊),紅葉丘図書館_児童(冊),押立図書館_総数(冊),押立図書館_一般(冊),押立図書館_児童(冊),四谷図書館_総数(冊),四谷図書館_一般(冊),四谷図書館_児童(冊),片町図書館_総数(冊),片町図書館_一般(冊),片町図書館_児童(冊),中文・桜通り図書館_総数(冊),中文・桜通り図書館_一般(冊),中文・桜通り図書館_児童(冊),宮町図書館_総数(冊),宮町図書館_一般(冊),宮町図書館_児童(冊),生涯学習センター図書館_総数(冊),生涯学習センター図書館_一般(冊),生涯学習センター図書館_児童(冊),テーマブックス_総数(冊),テーマブックス_一般(冊),テーマブックス_児童(冊),保存書庫_総数(冊),保存書庫_一般(冊),保存書庫_児童(冊)
1962/3/31,6328,…,994,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1963/3/31,8884,…,1371,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1964/3/31,11233,…,1591,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1965/3/31,12933,…,1807,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1966/3/31,15040,…,2065,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1967/3/31,19050,…,3372,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1968/3/31,26544,…,5091,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1969/3/31,41269,…,10453,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1970/3/31,57182,…,14630,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1971/3/31,70306,…,20876,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1972/3/31,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1973/3/31,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1974/3/31,157615,…,…,103798,…,…,20647,…,…,13445,…,…,11572,…,…,9197,…,…,8956,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1975/3/31,210842,…,…,118227,…,…,23881,…,…,15754,…,…,13924,…,…,11996,…,…,11888,…,…,9270,…,…,5902,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,-,…,…,…,…,…
1976/3/31,247255,…,…,132128,…,…,26530,…,…,18446,…,…,17041,…,…,14811,…,…,14866,…,…,12435,…,…,10411,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,587,…,…,…,…,…
1977/3/31,294016,…,…,151044,…,…,29922,…,…,21811,…,…,20626,…,…,19407,…,…,18277,…,…,15422,…,…,15234,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,2273,…,…,…,…,…
1978/3/31,322449,213488,108961,160297,118536,41761,32674,18338,14336,24216,12586,11630,23558,12859,10699,22315,13934,8381,20680,11737,8943,17849,11704,6145,17878,10812,7066,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,2982,2982,…,…,…,…
1979/3/31,366188,242530,123658,177531,132094,45437,35795,20117,15678,26997,14035,12962,26479,14754,11725,25246,16008,9238,23065,13346,9719,21086,13478,7608,21643,13419,8224,2430,881,1549,2452,934,1518,…,…,…,…,…,…,…,…,…,…,…,…,3464,3464,…,…,…,…
1980/3/31,406742,269964,136778,190675,142714,47961,38936,21865,17071,29861,15709,14152,29683,16783,12900,28127,17843,10284,26525,15849,10676,24495,15524,8971,25615,16144,9471,4286,1682,2604,4579,1891,2688,…,…,…,…,…,…,…,…,…,…,…,…,3960,3960,…,…,…,…
1981/3/31,447371,297368,150003,205383,154165,51218,41884,23411,18473,33114,17772,15342,32827,18828,13999,31132,19442,11690,29943,18102,11841,28250,18189,10061,29489,18689,10800,5385,2067,3318,5490,2229,3261,…,…,…,…,…,…,…,…,…,…,…,…,4474,4474,…,…,…,…
1982/3/31,468919,317472,151447,211417,160097,51320,42467,25228,17239,35068,19313,15755,34274,20369,13905,33857,21520,12337,31243,19817,11426,30820,20346,10474,32292,20740,11552,6217,2437,3780,6245,2586,3659,…,…,…,…,…,…,…,…,…,…,…,…,5019,5019,…,…,…,…
1983/3/31,509249,342672,166577,230300,175380,54920,45460,27029,18431,37643,20857,16786,37787,22829,14958,36657,23078,13579,34568,21963,12605,34266,22439,11827,35698,23156,12542,6898,2731,4167,6931,2878,4053,…,…,…,3041,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1984/3/31,550600,370082,180518,246139,187936,58203,48707,29074,19633,40401,22420,17981,41143,25176,15967,39451,24639,14812,37551,23759,13792,37691,24636,13055,39249,25633,13616,7607,3010,4597,7447,3135,4312,…,…,…,5214,664,4550,…,…,…,…,…,…,…,…,…,…,…,…
1985/3/31,554589,376826,177763,247482,189238,58244,48911,30107,18804,37612,21350,16262,44348,27453,16895,37730,24189,13541,34140,23298,10842,39401,25891,13510,41171,27574,13597,8084,3211,4873,8096,3409,4687,…,…,…,7614,1106,6508,…,…,…,…,…,…,…,…,…,…,…,…
1986/3/31,566623,395598,171025,249934,199839,50095,50709,31878,18831,39401,22636,16765,43221,28258,14963,38869,24917,13952,37796,25389,12407,40476,27073,13403,37844,26246,11598,9059,3497,5562,9673,4474,5199,…,…,…,9641,1391,8250,…,…,…,…,…,…,…,…,…,…,…,…
1987/3/31,597454,422600,174854,265482,212830,52652,50472,32332,18140,40773,23782,16991,44765,29804,14961,41265,27170,14095,40970,28051,12919,42252,28646,13606,40964,28553,12411,8064,3199,4865,10757,5854,4903,…,…,…,11690,2379,9311,…,…,…,…,…,…,…,…,…,…,…,…
1988/3/31,662205,467416,194789,287447,231904,55543,54307,34494,19813,43939,25637,18302,48067,32298,15769,44395,29543,14852,45107,31091,14016,45931,30828,15103,43957,30588,13369,9445,3661,5784,12671,6737,5934,13948,7908,6040,12991,2727,10264,…,…,…,…,…,…,…,…,…,…,…,…
1989/3/31,735835,524017,211818,324915,266834,58081,58631,36967,21664,47609,27784,19825,48140,31346,16794,49049,33211,15838,49191,33960,15231,50350,33672,16678,46888,32376,14512,11141,4237,6904,16098,8889,7209,18368,10495,7873,15455,4246,11209,…,…,…,…,…,…,…,…,…,…,…,…
1990/3/31,779109,562809,216300,354158,295529,58629,61156,38607,22549,48490,28298,20192,48890,31955,16935,51413,34895,16518,50973,35440,15533,47111,32202,14909,49293,34103,15190,11272,4724,6548,17869,9727,8142,21668,12422,9246,16816,4907,11909,…,…,…,…,…,…,…,…,…,…,…,…
