年度,総量,可燃ごみ(雑芥)(t),厨芥(t),不燃・粗大ごみ(t),し尿取集人口,し尿(ｋ?)収集量
1954,636,636,0,0,…,…
1955,1960,1960,0,0,…,…
1956,2232,2232,0,0,…,…
1957,2894,2849,0,45,…,12516
1958,3013,2945,0,68,…,18906
1959,3634,3554,0,80,…,21376
1960,4339,4141,0,198,…,25892
1961,6292,5565,622,105,…,28872
1962,7442,5631,1664,147,…,34082
1963,10083,7075,2838,170,…,42469
1964,12303,8712,3355,236,…,45334
1965,16212,11061,4853,298,…,49069
1966,18512,12010,6099,403,…,63147
1967,23148,18245,3343,1560,…,70853
1968,29218,25507,673,3038,…,73899
1969,34600,29574,0,5026,…,76085
1970,39766,32955,0,6811,…,74026
1971,46071,38691,0,7380,…,72985
1972,50597,41677,0,8920,…,73734
1973,49811,40667,…,9144,114260,69429.7
1974,52372,40806,…,11566,102834,60696
1975,56839,45961,…,10878,94716,50400
1976,54048,47392,…,6656,61213,45324
1977,56751,48893,…,7858,52254,39229.2
1978,58270,49631,…,8639,46072,32648.2
1979,55999,46771,…,9228,39610,29908.8
1980,54142,44542,…,9600,33267,25592.4
1981,55287,44929,…,10358,26867,21333.6
1982,56144,45073,…,11071,22360,18406.8
1983,56183,44392,…,11791,13590,13014
1984,56056,44621,…,11435,10116,9525.6
1985,59626,47299,…,12327,7555,7133.2
1986,65655,52501,…,13154,5804,5194.5
1987,69318,55382,…,13936,3971,3816.2
1988,71699,57084,…,14615,2868,3008.2
1989,74047,58918,…,15129,2394,2167.8
1990,75461,59819,…,15642,1936,1505.9
1991,78417,62471,…,15946,1469,1787
1992,78644,63120,…,15524,…,1547
1993,74246,59396,…,14850,…,1423
1994,72377,58448,…,13929,…,1213
1995,69457,56672,…,12785,…,982
1996,68017,57104,…,10913,…,963
1997,66816,56684,…,10132,…,866
1998,66739,56668,…,10071,…,754
1999,66401,56401,…,10000,…,740
2000,67468,57102,…,10366,…,711
2001,68395,58125,…,10270,…,660
2002,69180,58693,…,10487,…,559
2003,69854,58698,…,11156,…,587
2004,69885,58680,…,11205,…,540
2005,70023,58458,…,11565,…,560
2006,67097,56246,…,10851,…,523
2007,61978,51784,…,10194,…,503
2008,59071,49051,…,10020,…,470
2009,57683,46478,…,11205,…,460
2010,42294,37580,…,4714,…,499
2011,43322,37854,…,5468,…,449
2012,43362,37990,…,5372,…,410
2013,43052,37550,…,5502,…,381
2014,42813,37399,…,5414,…,362
2015,42821,37255,…,5566,…,382
2016,42229,36914,…,5315,…,358
2017,42096,36813,…,5283,…,377
2018,42116,36673,…,5443,…,333
2019,43390,37878,…,5512,…,311
2020,44028,37680,…,6347,…,259
2021,44414,38936,…,5478,…,305
2022,43314,38178,…,5136,…,296
2023,41967,37026,…,4941,…,309
