年度,総数(稼働単位),第1音楽練習室(稼働単位),第2音楽練習室(稼働単位),第3音楽練習室(稼働単位),第4音楽練習室(稼働単位)
2017,2127,607,525,545,450
2018,3869,973,1004,978,914
2019,3695,899,953,931,912
2020,1978,442,561,525,450
2021,2931,682,828,739,682
2022,3584,892,948,877,867
2023,3590,927,919,908,836
