年度,総数(回),教育の振興(回),生活文化活動(回),教育相談_来室相談(件),教育相談_延回数,教育相談_電話相談(件),
1982,1110,662,448,211,3694,643,0
1983,1765,1116,649,236,3980,668,0
1984,2019,1221,798,222,3365,453,0
1985,2254,1258,996,206,3352,497,0
1986,2215,1297,918,238,4007,461,0
1987,2250,1316,934,223,3687,424,0
1988,2095,1270,825,199,3481,507,0
1989,2048,1269,779,212,3066,445,0
1990,2087,1318,769,196,3214,403,0
1991,2044,1158,886,152,2608,409,0
1992,2173,1076,1097,154,2481,361,0
1993,1874,946,928,169,2220,306,0
1994,1939,972,967,195,2401,369,0
1995,1859,984,875,250,2492,345,0
1996,1973,896,1077,206,2334,402,0
1997,1979,851,1128,202,2385,465,0
1998,1930,838,1092,229,3605,430,0
1999,2145,820,1325,252,3686,443,0
2000,2239,840,1399,249,4074,443,0
2001,2488,989,1499,251,3967,422,0
2002,2459,1038,1421,231,3768,424,0
2003,2375,1216,1159,282,4224,468,0
2004,2528,1492,1036,283,3223,602,0
2005,3309,2549,760,340,3871,511,0
2006,3807,3289,518,376,4144,397,0
2007,3617,3138,479,351,3381,479,0
2008,3497,3131,366,360,3911,453,0
2009,3413,2986,427,396,4493,527,0
2010,2373,1857,516,396,4445,463,0
2011,1887,1357,530,435,5138,576,0
2012,1685,1131,554,421,4717,526,0
2013,1689,1187,502,500,5145,451,0
2014,1683,1171,512,527,5368,359,0
2015,1684,1210,474,614,6414,438,0
2016,1582,1197,385,627,6698,562,0
2017,1508,1120,388,721,7507,511,0
2018,1491,1089,402,809,8212,470,0
2019,1381,1077,304,635,6195,397,0
2020,1396,1202,194,620,5594,326,0
2021,1523,1322,201,540,7163,541,0
2022,1714,1370,344,538,7252,483,0
2023,1573,1255,318,534,6733,481,0
