時点,総数_棟数,総数_床面積(平方メートル),木造家屋_総数_棟数,木造家屋_総数_床面積(平方メートル),木造家屋_専用住宅_棟数,木造家屋_専用住宅_床面積(平方メートル),木造家屋_共同住宅・寄宿舎_棟数,木造家屋_共同住宅・寄宿舎_床面積(平方メートル),木造家屋_併用住宅_棟数,木造家屋_併用住宅_床面積(平方メートル),木造家屋_農家、養蚕、漁業者住宅_棟数,木造家屋_農家、養蚕、漁業者住宅_床面積(平方メートル),木造家屋_旅館、料亭、ホテル_棟数,木造家屋_旅館、料亭、ホテル_床面積(平方メートル),木造家屋_事務所、銀行、店舗_棟数,木造家屋_事務所、銀行、店舗_床面積(平方メートル),木造家屋_劇場、病院_棟数,木造家屋_劇場、病院_床面積(平方メートル),木造家屋_公衆浴場_棟数,木造家屋_公衆浴場_床面積(平方メートル),木造家屋_工場、倉庫_棟数,木造家屋_工場、倉庫_床面積(平方メートル),木造家屋_土蔵_棟数,木造家屋_土蔵_床面積(平方メートル),木造家屋_附属家_棟数,木造家屋_附属家_床面積(平方メートル),非木造家屋_総数_棟数,非木造家屋_総数_床面積(平方メートル),非木造家屋_事務所、店舗、百貨店_棟数,非木造家屋_事務所、店舗、百貨店_床面積(平方メートル),非木造家屋_住宅、アパート_棟数,非木造家屋_住宅、アパート_床面積(平方メートル),非木造家屋_病院、ホテル_棟数,非木造家屋_病院、ホテル_床面積(平方メートル),非木造家屋_工場、倉庫、市場_棟数,非木造家屋_工場、倉庫、市場_床面積(平方メートル),非木造家屋_その他_棟数,非木造家屋_その他_床面積(平方メートル)
2001/1/1,50373,9331073,36361,3564218,28240,2673292,3169,494715,1985,235542,94,12367,2,756,419,35587,21,2451,8,2750,306,43810,121,4076,1996,58872,14012,5766855,1365,1375943,9141,2778165,80,95795,1424,1127338,2002,389614
2002/1/1,51952,9512937,36703,3618301,28706,2734407,3157,494262,1943,230498,91,11941,2,756,417,36081,22,2496,9,2928,298,42859,119,3996,1939,58077,15249,5894636,1354,1382353,9407,2926302,83,96358,1398,1097247,3007,392376
2003/1/1,51105,9564662,36835,3650957,28960,2773298,3148,494767,1915,226992,87,11625,2,619,405,34934,23,2827,8,2616,292,42280,116,3913,1879,57086,14270,5913705,1335,1369640,9563,2989880,85,97761,1366,1080766,1921,375658
2004/1/1,51476,9898273,37062,3679456,29360,2819340,3123,492134,1867,220606,84,11454,1,230,390,31596,22,2660,8,2616,279,39285,112,3819,1816,55716,14414,6218817,1326,1379740,9769,3190279,87,124745,1327,1076615,1905,447438
2005/1/1,52070,10054214,37512,3737029,29907,2880932,3118,493347,1833,216979,82,11262,1,230,391,31581,21,2648,8,2616,270,38440,112,3761,1769,55233,14558,6317185,1319,1386501,9940,3280591,87,124791,1311,1072551,1901,452751
2006/1/1,52139,10360526,37548,3759479,30062,2908060,3101,494041,1795,213436,80,11008,1,230,388,31385,22,2815,8,2616,264,38149,110,3721,1717,54018,14591,6601047,1286,1414201,10062,3483608,90,127728,1279,1070393,1874,505117
2007/1/1,52415,10451939,37731,3791826,30382,2946922,3086,494597,1748,208391,79,10868,1,230,382,31232,22,2791,7,2344,255,37205,109,3708,1660,53538,14684,6660113,1276,1425613,10208,3537648,87,129107,1256,1066003,1857,501742
2008/1/1,52622,10614935,37785,3808895,30568,2972913,3052,492176,1712,205503,77,10634,1,230,375,30712,20,2540,6,2020,246,35883,104,3414,1624,52870,14837,6806040,1279,1456053,10361,3626742,89,129831,1254,1047938,1854,545476
2009/1/1,52904,10743364,37986,3836056,30884,3010503,3041,493660,1671,200207,77,10603,1,230,365,29126,21,2703,5,1740,242,32038,104,3414,1575,51832,14918,6907308,1280,1479157,10467,3705952,87,129637,1243,1054299,1841,538263
2010/1/1,53334,10874459,38296,3875201,31295,3056460,3025,492956,1639,195672,76,10534,1,230,365,29264,21,2703,5,1740,242,32194,100,3297,1527,50151,15038,6999258,1290,1524565,10591,3763911,90,131902,1226,1037746,1841,541134
