時点,総数_延長(メートル),総数_面積(平方メートル),国道_延長(メートル),国道_面積(平方メートル),都道_延長(メートル),都道_面積(平方メートル),市道_延長(メートル),市道_面積(平方メートル)
1968/4/1,306176,1307475,7059,122584,21427,168249,277690,1016642
1969/4/1,306486,1313122,7059,122584,21427,168249,278000,1022289
1970/4/1,313148,1346601,7059,122584,21427,168249,284662,1055768
1971/4/1,318990,1470975,7059,122584,23658,270379,288273,1078012
1972/4/1,321658,1489151,7059,122584,23658,275831,290941,1090736
1973/4/1,325455,1511953,7059,122584,23658,275831,294738,1113538
1974/4/1,335351,1709110,14294,306353,24320,280031,296737,1122726
1975/4/1,341279,1731320,13915,288809,24320,280614,303044,1161897
1976/4/1,344588,1751003,13915,288809,24320,281226,306353,1180968
1977/4/1,361778,1903380,13935,262719,24320,282026,323523,1358635
1978/4/1,363708,2101593,13733,410326,25056,314146,324919,1377121
1979/4/1,365974,2130236,13733,410326,25202,316482,327039,1403428
1980/4/1,…,…,…,…,…,…,…,…
1981/3/31,371322,2212900,13733,410326,25707,339665,331882,1462909
1982/3/31,358631,2448013,13733,410326,25719,339953,319179,1697734
1983/3/31,358976,2461092,13733,410326,25329,342049,319914,1708717
1984/4/1,364180,2508847,13733,410326,26108,366794,324339,1731727
1985/4/1,365813,2546427,13733,410326,26108,368135,325972,1767966
1986/4/1,388364,2681939,13733,410326,26140,371290,348491,1900323
1987/4/1,390270,2698495,13733,410326,26140,372085,350397,1916084
1988/4/1,391527,2705794,13733,410326,26665,373120,351129,1922348
1989/4/1,394494,2761530,13733,410326,28157,412123,352604,1939081
1990/4/1,397121,2805168,13899,410326,28157,412917,355065,1981925
1991/4/1,398760,2828257,13899,410326,27781,413192,357080,2004739
1992/4/1,399248,2838255,13899,410326,27781,413640,357568,2014289
1993/4/1,400866,2859398,13899,410326,27782,414323,359185,2034749
1994/4/1,401652,2869856,13899,410326,27713,414323,360040,2045207
1995/4/1,402198,2883567,13899,410326,27712,414305,360587,2058936
1996/4/1,405135,2946576,13899,410326,29881,458832,361355,2077418
1997/4/1,406044,2959589,13899,410326,29881,458832,362264,2090431
1998/4/1,407878,3013387,13899,410326,30747,497467,363232,2105594
1999/4/1,431660,3191979,13898,410326,32600,568264,385162,2213389
2000/4/1,444122,3348220,13898,410326,36051,667314,394173,2270580
2001/4/1,446400,3364971,13898,410326,36051,667314,396451,2287331
2002/4/1,449495,3415168,13898,410326,36638,694638,398959,2310204
2003/4/1,453227,3462939,13898,410326,36638,694638,402691,2357975
2004/4/1,456447,3513504,13898,410326,36673,697732,405876,2405446
2005/4/1,460212,3550142,13898,410326,36791,702019,409523,2437797
2006/4/1,461989,3573068,13898,410326,36763,708328,411328,2454414
2007/4/1,465455,3633573,13898,410326,37660,741961,413897,2481286
2008/4/1,467072,3674710,13898,410326,37862,767209,415312,2497175
2009/4/1,468475,3671465,13898,410326,37917,750940,416660,2510199
2010/4/1,468341,3663455,13898,410326,36709,717125,417734,2536004
2011/4/1,471175,3681789,13898,410326,36713,717035,420564,2554428
2012/4/1,473412,3703718,13888,410326,36715,717865,422809,2575527
2013/4/1,475162,3725359,13888,410326,36747,721591,424527,2593442
2014/4/1,477348,3756614,13888,410326,36747,721569,426713,2624719
2015/4/1,479525,3777972,13888,414320,36747,721569,428890,2642083
2016/4/1,481553,3802342,13888,414320,36747,721569,430918,2666453
2017/4/1,482340,3809375,13888,414320,36746,721945,431706,2673110
2018/4/1,483835,3828444,13888,414320,36746,721945,433201,2692179
2019/4/1,484520,3835985,13888,414320,36746,721945,433886,2699720
2020/4/1,485102,3840302,13888,414320,36746,722063,434468,2703919
2021/4/1,486100,3846705,13888,414320,36746,722063,435466,2710322
2022/4/1,486887,3850382,13888,414320,36746,721948,436253,2714114
2023/4/1,487587,3854421,13888,414320,36746,721948,436953,2718153
