年度,総数_許可件数,総数_手数料(円),市許可_総計_単位,市許可_総計_件数,市許可_総計_手数料(円),市許可_広告板・広告塔_単位,市許可_広告板・広告塔_件数,市許可_広告板・広告塔_手数料(円),市許可_立看板_単位,市許可_立看板_件数,市許可_立看板_手数料(円),市許可_はり紙・はり札・ポスター_単位,市許可_はり紙・はり札・ポスター_件数,市許可_はり紙・はり札・ポスター_手数料(円),市許可_広告幕ほか_単位,市許可_広告幕ほか_件数,市許可_広告幕ほか_手数料(円),市許可_アドバルーン_基,市許可_アドバルーン_件数,市許可_アドバルーン_手数料(円),都許可_総計_単位,都許可_総計_件数,都許可_総計_手数料(円),都許可_広告塔_単位,都許可_広告塔_件数,都許可_広告塔_手数料(円),都許可_広告板_単位,都許可_広告板_件数,都許可_広告板_手数料(円),都許可_アーチほか_単位,都許可_アーチほか_件数,都許可_アーチほか_手数料(円)
1969,122,209177,0,112,179677,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0,10,29500,…,…,…,…,…,…,…,…,…
1970,109,134610,0,90,78510,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0,19,56100,…,…,…,…,…,…,…,…,…
1971,111,142500,0,94,81330,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0,17,61170,…,…,…,…,…,…,…,…,…
1972,111,626054,0,78,174904,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0,33,451150,…,…,…,…,…,…,…,…,…
1973,102,392164,35913,86,262034,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,36,16,130130,…,…,…,…,…,…,…,…,…
1974,122,610174,21913,96,195854,7,6,14250,2821,47,141050,19077,40,38154,…,…,…,8,3,2400,49,26,414320,10,10,256500,39,16,157820,…,…,…
1975,94,359274,31256,78,209724,12,7,18000,2680,42,134000,28562,28,57124,…,…,…,2,1,600,30,16,149550,4,4,42000,26,12,107550,…,…,…
1976,98,928590,4909,74,304290,83,9,83250,3505,52,210300,1310,11,5240,…,…,…,11,2,5500,582,24,624300,431,11,474100,151,13,150200,…,…,…
1977,73,443500,3818,59,229000,8,1,8800,3660,55,219600,150,3,600,…,…,…,…,…,…,195,14,214500,132,7,145200,63,7,69300,…,…,…
1978,94,956410,3959,67,310100,60,9,76400,3784,56,233240,115,2,460,…,…,…,…,…,…,608,27,646310,540,18,598400,68,9,47910,…,…,…
1979,81,598466,3594,64,270916,9,5,16750,3144,53,251520,441,6,2646,0,0,0,…,…,…,20,17,327550,8,8,201000,12,9,126550,…,…,…
