年度,総額(円),居宅サービス(円),施設サービス(円),その他(円)
2001,5562645209,2364104314,3162264334,36276561
2002,6496189809,2903237643,3551397699,41554467
2003,7236703494,3419962255,3747906902,68834337
2004,7892746342,3929312038,3899069729,64364575
2005,8307532043,4399249363,3722922185,185360495
2006,8392306318,4646687726,3350064868,395553724
2007,8840245955,4966877947,3435263621,438104387
2008,9291149013,5295591647,3534286696,461270670
2009,9968604197,5752795029,3723369709,492439459
2010,10492147268,6149233524,3807555525,535358219
2011,11060933259,6701309870,3829061566,530561823
2012,11653872953,7144405332,3937864964,571602657
2013,12220205664,7678039585,3954318590,587847489
2014,12961961872,8383653031,3948041041,630267800
2015,13366909445,8761078024,3941691563,664139858
2016,13758730054,9102766732,3932182448,723780874
2017,14642386914,9807877582,4090009248,744500084
2018,15132626905,10046406697,4311068286,775151922
2019,15715537248,10191742516,4625628104,898166628
2020,16067542093,10255917774,4853237780,958386539
2021,16318156194,10751173998,4711633051,855349145
2022,16595645397,11041805171,4764189936,789650290
2023,17355204355,11512295641,5025259623,817649091
