時点,総数,結核,悪性新生物,糖尿病,高血圧性疾患,心疾患,脳血管疾患,大動脈瘤及び解離,肺炎,慢性閉塞性肺疾患,喘息,肝疾患,腎不全,老衰,不慮の事故,自殺,その他の全死因
1966/12/31,577,24,100,…,…,40,148,…,61,…,…,…,9,49,37,11,98
1967/12/31,565,20,90,…,…,80,124,…,48,…,…,…,13,63,33,10,84
1968/12/31,555,12,129,…,…,70,95,…,44,…,…,…,…,43,26,10,126
1969/12/31,621,24,124,…,…,60,146,…,43,…,…,…,…,33,31,13,147
1970/12/31,690,23,133,…,…,72,176,…,36,…,…,…,13,33,47,13,144
1971/12/31,669,18,143,…,…,104,145,…,25,…,…,…,7,22,43,22,140
1972/12/31,616,20,152,…,…,74,150,…,27,…,…,…,9,12,39,20,113
1973/12/31,656,11,122,…,…,87,156,…,32,…,…,…,24,17,36,20,151
1974/12/31,672,16,141,…,…,103,139,…,25,…,…,16,10,26,29,24,143
1975/12/31,672,18,161,…,…,106,158,…,29,…,…,20,17,23,30,22,88
1976/12/31,714,9,171,…,…,78,158,…,29,…,…,17,10,22,35,23,162
1977/12/31,698,18,163,…,…,101,167,…,29,…,…,21,3,16,29,19,132
1978/12/31,736,11,180,…,…,89,159,…,32,…,…,17,15,19,22,28,164
1979/12/31,702,7,189,…,14,124,163,…,29,…,…,16,17,13,24,26,80
1980/12/31,776,7,196,…,14,173,163,…,45,…,…,19,12,11,25,24,87
1981/12/31,778,3,211,…,13,176,133,…,40,…,…,14,15,19,22,21,111
1982/12/31,804,7,216,…,10,166,77,…,54,…,…,23,7,12,27,20,185
1983/12/31,810,4,209,…,6,171,141,…,56,…,…,26,9,10,22,39,117
1984/12/31,812,3,218,…,9,183,128,…,54,…,…,21,13,19,29,23,112
1985/12/31,815,6,237,…,9,147,138,…,56,…,…,27,13,20,22,30,110
1986/12/31,880,1,219,…,16,198,116,…,72,…,…,30,17,22,30,33,126
1987/12/31,872,4,249,…,13,171,107,…,74,…,…,26,15,19,36,36,122
1988/12/31,949,10,288,…,10,172,140,…,76,…,…,16,20,20,32,24,141
1989/12/31,981,4,250,…,12,207,144,…,94,…,…,24,16,15,31,22,162
1990/12/31,989,6,280,…,8,198,158,…,96,…,…,19,16,16,25,27,140
1991/12/31,998,7,291,…,5,203,116,…,87,…,…,23,15,9,45,26,171
1992/12/31,1078,3,324,…,10,223,123,…,96,…,…,23,27,21,32,28,168
1993/12/31,1071,4,330,…,15,248,120,…,109,…,…,19,13,9,23,19,162
1994/12/31,1124,7,355,…,7,242,131,…,107,…,…,18,15,17,28,22,175
1995/12/31,1157,3,351,…,9,212,155,…,122,…,…,27,15,20,31,32,180
1996/12/31,1162,5,388,…,11,197,149,…,128,…,…,20,14,5,35,32,178
1997/12/31,1283,7,399,…,10,216,153,…,121,…,…,31,19,15,49,41,222
1998/12/31,1162,2,404,…,8,194,162,…,101,…,…,26,24,8,35,37,161
1999/12/31,1407,6,462,…,8,254,150,…,120,…,…,28,23,12,37,49,258
2000/12/31,1276,5,427,…,8,186,161,…,128,…,…,26,18,20,47,31,219
2001/12/31,1263,5,423,…,6,199,159,…,114,…,…,24,26,21,38,32,216
2002/12/31,1297,5,422,…,6,209,137,…,136,…,…,26,25,25,34,38,234
2003/12/31,1378,4,471,…,9,235,115,…,151,…,…,22,33,33,43,45,217
2004/12/31,1425,4,458,…,11,261,140,…,142,…,…,25,35,31,28,44,246
2005/12/31,1533,5,482,…,18,231,149,…,185,…,…,23,33,29,34,44,300
2006/12/31,1504,5,507,…,11,248,149,…,165,…,…,22,27,24,32,41,273
2007/12/31,1584,6,529,30,23,261,139,10,144,29,6,25,30,27,30,50,245
2008/12/31,1606,4,536,17,12,228,156,18,154,26,2,23,28,38,56,43,265
2009/12/31,1573,9,501,26,11,272,138,14,144,24,1,26,20,41,30,42,274
2010/12/31,1762,4,587,13,13,328,157,18,157,16,2,30,28,56,40,40,273
2011/12/31,1752,3,595,19,5,295,142,21,164,22,6,27,29,47,45,45,287
2012/12/31,1843,4,552,20,8,353,142,33,173,19,4,22,30,80,39,47,317
2013/12/31,1915,5,573,23,13,361,161,33,184,25,1,27,33,87,45,42,302
2014/12/31,1903,2,556,19,6,348,160,31,143,26,3,28,34,101,47,46,353
2015/12/31,1887,6,577,18,7,307,140,30,159,19,1,27,28,108,36,40,384
2016/12/31,2018,5,576,15,3,277,146,45,181,21,1,36,35,169,45,41,422
2017/12/31,2093,4,626,19,14,352,158,25,132,30,2,32,30,142,66,25,436
2018/12/31,2121,3,581,12,10,339,148,26,126,23,0,31,23,151,47,22,579
2019/12/31,2087,1,591,14,6,308,139,44,150,27,2,22,27,174,53,37,492
2020/12/31,2171,4,618,22,13,295,128,43,108,32,1,35,29,218,67,35,523
2021/12/31,2309,5,619,15,4,314,184,32,97,30,0,37,39,233,77,43,580
2022/12/31,2513,2,619,24,13,350,143,35,92,35,3,40,52,298,66,52,689
