年度,バルトホール(稼働単位),第1会議室A(稼働単位),第1会議室B(稼働単位),第2会議室(稼働単位),第3会議室(稼働単位),第4会議室(稼働単位),第5会議室(稼働単位),第6会議室A(稼働単位),第6会議室B(稼働単位),第7会議室A(稼働単位),第7会議室B(稼働単位),スタジオ(稼働単位),和室1(稼働単位),和室2(稼働単位),料理室(稼働単位)
2017,333,395,314,289,362,537,322,542,490,440,404,345,363,299,292
2018,742,838,833,733,798,952,790,972,920,898,847,814,785,681,407
2019,691,798,835,812,799,957,828,969,944,926,888,821,839,716,444
2020,293,520,578,487,493,620,501,637,596,567,508,441,447,371,125
2021,416,676,725,646,691,769,677,764,703,687,642,694,580,505,175
2022,673,775,812,842,808,899,832,906,838,835,791,870,724,647,281
2023,681,807,836,716,806,942,842,945,886,832,782,837,727,653,334
